"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230529\hematite_etoh_01_5_light.txt"


  Open Circuit Potential (V): -0.3365
"E (Volts)"	"I (Amps/cm^2~)"
-0.49673659	-1.6595E-05
-0.4730964	-1.0932E-05
-0.4523657	-7.3956E-06
-0.43181691	-4.7601E-06
-0.41072249	-2.7111E-06
-0.38756731	-9.446E-07
-0.36507869	4.9721E-07
-0.3428326	1.877E-06
-0.3233749	3.4288E-06
-0.30422029	5.8775E-06
-0.28015569	1.0313E-05
-0.25948569	1.7779E-05
-0.2402098	2.9117E-05
-0.22008529	4.6896E-05
-0.199294	7.1952E-05
-0.1794119	0.00010218
-0.1613829	0.00013393
-0.1411289	0.00017473
-0.1205415	0.00022074
-0.099287197	0.0002721
-0.078572482	0.00032606
-0.05639676	0.00038731
-0.037815951	0.00044121
-0.01385187	0.00051368
0.005323037	0.00057401
0.025498221	0.00063877
0.046534229	0.00070941
0.066369921	0.0007786
0.087205887	0.00085197
0.1055078	0.00091619
0.1256769	0.00098501
0.1473071	0.0010575
0.1673367	0.0011202
0.18889409	0.0011856
0.20958459	0.0012451
0.23235241	0.0013074
0.25399229	0.0013589
0.2740562	0.0014032
0.29605979	0.0014472
0.318609	0.0014913
0.34067321	0.0015215
0.35910049	0.0015494
0.3810434	0.0015823
0.4007436	0.0016091
0.42001951	0.001635
0.44172001	0.0016595
0.4634206	0.0016844
0.4817872	0.0017038
0.50082058	0.0017259
0.52355158	0.0017461
0.54379737	0.0017686
0.56343693	0.0017874
0.58186418	0.0018039
0.60344338	0.0018231
0.62556827	0.0018425
0.64514732	0.0018579
0.66593862	0.0018748
0.68782091	0.0018917
0.71006697	0.00191
0.73158562	0.0019267
0.74995232	0.0019403
0.77201653	0.0019564
0.79226232	0.0019742
0.79038322	0.0019699
0.77177411	0.001953
0.75189197	0.0019388
0.73188871	0.0019231
0.71176422	0.0019069
0.68963939	0.0018885
0.6676358	0.0018707
0.64545041	0.0018527
0.62423468	0.001834
0.60501951	0.0018166
0.58507693	0.0017975
0.56440681	0.001776
0.54216069	0.0017532
0.52191502	0.0017345
0.50348771	0.0017152
0.47960499	0.0016908
0.46081409	0.0016685
0.44129571	0.0016453
0.41850409	0.0016185
0.3987433	0.001591
0.3801342	0.0015705
0.35916099	0.0015419
0.33933961	0.0015115
0.31842709	0.0014765
0.2962417	0.0014358
0.2744199	0.0013907
0.2498098	0.0013345
0.2293822	0.0012824
0.21016701	0.0012276
0.18973941	0.0011673
0.1677964	0.001097
0.1468403	0.0010262
0.1270652	0.00095566
0.1062232	0.00088071
0.086514793	0.00080886
0.068891823	0.00074288
0.04671004	0.00066339
0.02621356	0.00059111
0.0056382739	0.00052186
-0.01472483	0.00045698
-0.036900561	0.00038925
-0.05793051	0.00032952
-0.077293336	0.00027786
-0.096862301	0.00022929
-0.1172921	0.00018235
-0.1381887	0.00013938
-0.1575515	0.00010439
-0.176981	7.4076E-05
-0.1978109	4.7491E-05
-0.2202065	2.6155E-05
-0.2406947	1.2954E-05
-0.26100111	4.9649E-06
-0.2800951	6.4008E-07
-0.3016744	-2.1253E-06
-0.32119271	-3.5685E-06
-0.34125659	-4.6455E-06
-0.3614417	-5.5654E-06
-0.38241491	-6.5702E-06
-0.40211499	-7.7533E-06
-0.4222396	-9.4167E-06
-0.44054559	-1.1491E-05
-0.46121559	-1.4742E-05
-0.48170379	-1.9299E-05
-0.49388769	-2.2815E-05
-0.4828555	-1.4956E-05
-0.4636403	-1.0472E-05
-0.4436976	-7.1033E-06
-0.42363369	-4.5679E-06
-0.40072089	-2.3054E-06
-0.3792628	-7.2993E-07
-0.3579866	6.2826E-07
-0.33719531	2.0195E-06
-0.31755579	3.5125E-06
-0.29967409	5.4233E-06
-0.27724609	9.3049E-06
-0.25742471	1.4618E-05
-0.2365122	2.4389E-05
-0.21426611	4.0846E-05
-0.19353551	6.2704E-05
-0.1719562	9.2189E-05
-0.1513377	0.00012592
-0.1314778	0.00016373
-0.110757	0.00020673
-0.091654822	0.00025239
-0.071200788	0.0003043
-0.051546961	0.00035729
-0.03063219	0.00041726
-0.01165733	0.00047444
0.0091786301	0.00054066
0.02970542	0.00060821
0.048940949	0.00067442
0.067915797	0.00074052
0.089218557	0.00081541
0.1112548	0.00089381
0.1316907	0.00096536
0.15192039	0.0010347
0.1741568	0.0011079
0.19451991	0.0011706
0.2136827	0.0012262
0.23380721	0.0012837
0.2541742	0.0013348
0.27593529	0.0013845
0.29508999	0.001424
0.31466889	0.0014603
0.33691499	0.001498
0.35697889	0.0015283
0.376376	0.0015581
0.39868271	0.0015873
0.42105001	0.001614
0.4417806	0.0016359
0.46360239	0.0016591
0.48057491	0.0016797
0.50245732	0.0017021
0.52161193	0.0017213
0.54106963	0.0017403
0.56083041	0.0017598
0.58047003	0.0017769
0.60223109	0.0017977
0.62193131	0.0018151
0.64223772	0.0018331
0.66248351	0.0018494
0.68321413	0.0018656
0.70327789	0.0018826
0.72388738	0.0018974
0.74558789	0.0019135
0.76753098	0.00193
0.78953463	0.0019466
0.79177731	0.0019544
0.76977372	0.0019336
0.74801248	0.0019166
0.72831237	0.0019024
0.70909709	0.0018875
0.68903333	0.0018704
0.66896927	0.0018542
0.64945102	0.0018391
0.62938708	0.0018207
0.60762602	0.0018018
0.58847129	0.001784
0.5664677	0.0017643
0.54694939	0.0017441
0.52670372	0.0017254
0.50470012	0.001702
0.4851211	0.0016822
0.46323869	0.0016588
0.44341731	0.0016439
0.4235352	0.0016207
