"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230607\hematite_meoh_01_3_light.txt"


  Open Circuit Potential (V): -0.2969
"E (Volts)"	"I (Amps/cm^2~)"
-0.49800959	-1.1056E-05
-0.4777638	-5.4939E-06
-0.45697251	-3.4861E-06
-0.43818149	-2.1356E-06
-0.41369271	-8.2331E-07
-0.3940531	7.9359E-08
-0.37362549	8.5894E-07
-0.3545315	1.6235E-06
-0.3356193	2.3743E-06
-0.31452489	3.387E-06
-0.2936731	4.7496E-06
-0.27324551	6.8884E-06
-0.2530604	1.0478E-05
-0.2331783	1.6515E-05
-0.2140843	2.5579E-05
-0.18995909	4.3346E-05
-0.1672511	6.66E-05
-0.1485915	9.1892E-05
-0.12779801	0.00012467
-0.107744	0.00016121
-0.085756257	0.00020691
-0.065769002	0.00025512
-0.046715342	0.0003083
-0.026600789	0.000373
-0.0054920232	0.00045286
0.01675038	0.00055194
0.036064729	0.00064975
0.05443335	0.00076071
0.077803344	0.00089229
0.1001064	0.0010312
0.1182143	0.0011434
0.1385168	0.0012644
0.1579463	0.0013722
0.1787156	0.0014782
0.19707809	0.001564
0.21919879	0.001657
0.24011131	0.0017343
0.2597509	0.0018008
0.28054211	0.001861
0.30248511	0.0019185
0.32091239	0.0019671
0.34285539	0.0020089
0.36310109	0.002051
0.3835893	0.0020892
0.40516859	0.002125
0.42535371	0.0021559
0.44632691	0.002188
0.46633011	0.0022153
0.48439369	0.0022438
0.50657922	0.0022741
0.52621871	0.0022996
0.54585832	0.0023244
0.56610399	0.0023481
0.59035039	0.0023754
0.61071742	0.0023984
0.62962961	0.002419
0.64866298	0.0024378
0.66818142	0.002459
0.6862449	0.0024772
0.70885468	0.0024972
0.72794873	0.0025148
0.74770951	0.0025306
0.76977372	0.00255
0.78989828	0.0025657
0.78971642	0.0025651
0.76825827	0.0025366
0.74637598	0.0025142
0.72782743	0.0024942
0.7063694	0.0024724
0.68545687	0.0024493
0.66521108	0.0024299
0.6459353	0.0024093
0.62732607	0.0023869
0.60520142	0.002362
0.58525872	0.0023372
0.56452799	0.0023117
0.54240322	0.0022856
0.52215737	0.0022584
0.50373018	0.0022341
0.48293889	0.0022044
0.46069291	0.0021699
0.4395985	0.0021377
0.4198983	0.0021068
0.39904639	0.0020704
0.3802554	0.0020359
0.35867611	0.0019971
0.33867279	0.0019541
0.318609	0.0019098
0.29999989	0.0018662
0.27787501	0.0018037
0.2578111	0.0017419
0.2383534	0.0016734
0.2163498	0.0015867
0.19683141	0.0015015
0.1769494	0.0014027
0.1575523	0.0012958
0.13581911	0.0011677
0.1130311	0.0010265
0.091122113	0.0008875
0.069007002	0.00075095
0.049498681	0.00063926
0.02999641	0.00053708
0.0096878586	0.00044491
-0.01174827	0.00036366
-0.02971679	0.00030763
-0.051959191	0.00024633
-0.070661239	0.00020224
-0.09243685	0.00015713
-0.1137396	0.00011907
-0.13270231	8.9222E-05
-0.15326551	6.16E-05
-0.17296781	3.9839E-05
-0.19393709	2.2199E-05
-0.21475101	1.0065E-05
-0.2337845	2.9231E-06
-0.25312099	-1.249E-06
-0.27482149	-3.8062E-06
-0.29585531	-4.9426E-06
-0.31507051	-5.3659E-06
-0.33549809	-5.5794E-06
-0.35647121	-5.734E-06
-0.375929	-5.9905E-06
-0.39562911	-6.338E-06
-0.41514751	-7.0141E-06
-0.43739349	-8.1821E-06
-0.45733619	-9.8285E-06
-0.4784306	-1.2446E-05
-0.4980095	-1.6025E-05
-0.48012781	-7.5902E-06
-0.45891219	-4.805E-06
-0.4365449	-2.8336E-06
-0.4154506	-1.4849E-06
-0.3938106	-3.3758E-07
-0.37374681	5.8537E-07
-0.35253119	1.4538E-06
-0.33198231	2.3391E-06
-0.3134945	3.2057E-06
-0.29209709	4.5749E-06
-0.27233621	6.5142E-06
-0.2516056	9.9113E-06
-0.2296626	1.6013E-05
-0.2094775	2.5221E-05
-0.18850429	3.9839E-05
-0.1656567	6.1867E-05
-0.1458029	8.6837E-05
-0.1240939	0.00011958
-0.101706	0.00015912
-0.078663424	0.00020746
-0.058009319	0.00025548
-0.039434578	0.00030496
-0.01878654	0.0003696
0.002316159	0.00044728
0.02189724	0.00053253
0.043727409	0.00064004
0.06416326	0.00075319
0.086920962	0.00088756
0.1065687	0.0010087
0.12827159	0.0011479
0.1522357	0.0012794
0.17173789	0.0013836
0.1914281	0.0014809
0.21079101	0.0015682
0.2322312	0.001654
0.2500523	0.0017162
0.27254081	0.0017864
0.27326819	0.0017909
0.29345331	0.0018441
0.31291109	0.0018915
0.3348541	0.0019409
0.3566758	0.0019859
0.37461811	0.0020198
0.3948639	0.0020547
0.41438219	0.0020832
0.43311259	0.0021123
0.4539645	0.0021408
0.4762105	0.0021741
0.49718371	0.0022014
0.51821738	0.0022275
0.53846312	0.0022523
0.55901188	0.0022766
0.5793789	0.0022984
0.6005339	0.0023251
0.62090093	0.0023487
0.63932812	0.0023711
0.66133171	0.0023923
0.68109262	0.0024105
0.70012587	0.0024287
0.71921998	0.0024433
0.73934448	0.0024621
0.75843853	0.0024796
0.77729011	0.0024948
0.80020303	0.002513
0.77995718	0.002493
0.75801432	0.0024718
0.73837471	0.0024524
0.71697718	0.0024293
0.69642842	0.0024117
0.67666757	0.0023905
0.65642178	0.0023675
0.63229668	0.0023432
0.61289948	0.0023178
0.59386611	0.0022917
0.57452959	0.0022759
0.55501127	0.0022511
0.53397763	0.002225
0.51512599	0.0022002
0.49336481	0.0021717
0.4736647	0.0021426
0.45341891	0.0021141
0.43165779	0.0020795
0.40935111	0.002045
0.3875294	0.0020086
0.36728361	0.0019704
0.3454012	0.0019286
0.32685271	0.0018874
0.3049098	0.0018346
0.2845428	0.0017801
0.26478201	0.0017261
0.2407174	0.0016413
0.22022919	0.0015652
0.2001653	0.0014754
0.1786467	0.0013703
0.1604619	0.0012723
0.139511	0.001149
0.1189297	0.0010236
0.098827228	0.00089824
0.079725057	0.00077993
