"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_2.txt"


  Open Circuit Potential (V): -0.343
"E (Volts)"	"I (Amps/cm^2~)"
-0.4960092	-5.7176E-06
-0.4736419	-3.4757E-06
-0.45388111	-2.0883E-06
-0.43072581	-9.6825E-07
-0.40860099	-1.9204E-07
-0.38744599	4.1982E-07
-0.36513931	1.0182E-06
-0.3446511	1.5289E-06
-0.32264751	2.9473E-06
-0.3016744	4.9909E-06
-0.2827622	8.2819E-06
-0.26251641	1.4236E-05
-0.2416039	2.3692E-05
-0.2177819	3.8534E-05
-0.19814231	5.3159E-05
-0.1785633	6.9385E-05
-0.1594914	8.6261E-05
-0.14048021	0.00010497
-0.1179589	0.0001282
-0.095170937	0.00015427
-0.074577473	0.00017749
-0.055899661	0.00020131
-0.03438472	0.00022814
-0.0142641	0.00025257
0.0055291541	0.00028022
0.027571511	0.00031024
0.047564819	0.00033856
0.06755206	0.00036754
0.08659967	0.00039513
0.1076478	0.00042581
0.12915669	0.00045825
0.14927121	0.0004873
0.1690584	0.00051774
0.1872391	0.00054381
0.2082812	0.00057389
0.2282912	0.00059954
0.24871869	0.00062616
0.26890391	0.00065096
0.28739169	0.00067273
0.30787989	0.0006951
0.32945919	0.00071596
0.35103849	0.00073688
0.37098119	0.00075622
0.39104509	0.00077114
0.41183639	0.00078951
0.4321427	0.00080267
0.45475239	0.00081777
0.47645301	0.0008342
0.49585009	0.00084718
0.51464111	0.000859
0.53828132	0.00087301
0.55713278	0.00088271
0.57695431	0.00089666
0.59756368	0.00090812
0.61696082	0.00091788
0.63757032	0.00093001
0.65581572	0.00094165
0.6793347	0.00095287
0.69800442	0.00096342
0.72170532	0.00097907
0.74055678	0.00098956
0.76037818	0.0010048
0.77971482	0.001024
0.80050611	0.0010402
0.77644151	0.0010157
0.75661999	0.00099671
0.73661679	0.00098434
0.71818948	0.00097179
0.69697392	0.00095966
0.67648572	0.00094717
0.65569448	0.00093474
0.6352669	0.00092316
0.61332393	0.00091067
0.59429049	0.00089999
0.57325667	0.00088502
0.55319279	0.00087247
0.53209847	0.00085973
0.51312572	0.0008487
0.49154639	0.00083475
0.468876	0.0008182
0.44911519	0.00080467
0.42899069	0.00079048
0.4094117	0.0007763
0.3889235	0.00075932
0.36807159	0.00074034
0.34715909	0.00071984
0.3251555	0.00069807
0.30509159	0.00067734
0.28684619	0.00065666
0.26635799	0.00063307
0.24623349	0.00060584
0.22701821	0.00058123
0.2038023	0.0005506
0.1843446	0.0005201
0.16131049	0.00048651
0.1397171	0.00045407
0.1202512	0.00042478
0.099712327	0.00039277
0.076972798	0.00036014
0.057312921	0.00032995
0.03710743	0.00030357
0.016441209	0.00027337
-0.0042250119	0.00024499
-0.024357749	0.00022062
-0.042823382	0.00019673
-0.063477479	0.00017199
-0.082343213	0.00014973
-0.1043371	0.00012634
-0.1254701	0.0001042
-0.1473245	8.3057E-05
-0.1663903	6.609E-05
-0.186911	4.885E-05
-0.20523719	3.4833E-05
-0.22663181	2.158E-05
-0.24518029	1.2296E-05
-0.2681537	3.8424E-06
-0.28730839	1.2858E-07
-0.3072511	-1.5565E-06
-0.32834539	-2.3515E-06
-0.3475607	-2.665E-06
-0.3682307	-3.0264E-06
-0.38829461	-2.7493E-06
-0.40896469	-3.1004E-06
-0.42757371	-3.5619E-06
