"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_hematite_new_700_12.txt"


  Open Circuit Potential (V): -0.3749
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-8.1912E-06
-0.47873369	-4.3757E-06
-0.45763931	-2.2387E-06
-0.43648431	-8.9972E-07
-0.41484439	8.8682E-09
-0.39647779	5.8601E-07
-0.3704735	1.3203E-06
-0.35053089	1.7782E-06
-0.3290728	2.5416E-06
-0.31040311	3.1881E-06
-0.2895512	4.96E-06
-0.26560789	8.1085E-06
-0.2469988	1.2506E-05
-0.2256619	2.0652E-05
-0.2068104	3.0367E-05
-0.1903834	4.1787E-05
-0.16697221	5.9445E-05
-0.1468153	7.8281E-05
-0.1268038	9.8445E-05
-0.1061194	0.00012178
-0.084046699	0.00014791
-0.063168302	0.00017441
-0.0405076	0.00020788
-0.021096259	0.00023086
-0.0025457679	0.00025645
0.017920399	0.00028604
0.037719719	0.00031576
0.058573861	0.00034729
0.078173123	0.00037712
0.1015007	0.0004129
0.1200997	0.00044212
0.14036579	0.00047311
0.1604864	0.00050276
0.1802918	0.00053278
0.20074581	0.00056146
0.22307821	0.00059147
0.241263	0.00061179
0.2652669	0.00064095
0.28290609	0.00065836
0.3069101	0.00068122
0.326186	0.00069668
0.34673479	0.00071317
0.36861709	0.00072851
0.39001459	0.00074264
0.41038159	0.00075465
0.43062729	0.00076581
0.45360079	0.00077818
0.47245231	0.00078818
0.49227369	0.00079782
0.51282263	0.00080825
0.53191662	0.00081668
0.55179858	0.00082602
0.57210511	0.00083578
0.59119898	0.00084366
0.60986882	0.0008527
0.62999332	0.00086155
0.64957219	0.0008715
0.67060602	0.00088247
0.68939692	0.00089205
0.71018821	0.00090303
0.73055518	0.00091619
0.7498917	0.00093062
0.77110732	0.00094826
0.79014069	0.00096779
0.79220158	0.00096779
0.77213782	0.00094572
0.75116462	0.00092668
0.72897917	0.00091006
0.70812732	0.00089599
0.68976063	0.00088484
0.6676358	0.00087265
0.64763248	0.00086307
0.62653822	0.0008524
0.60683793	0.00084233
0.58798641	0.00083402
0.56828618	0.00082329
0.54713118	0.00081456
0.52749163	0.00080473
0.50682157	0.00079624
0.48881859	0.00078642
0.46802741	0.00077666
0.44626629	0.00076574
0.42583859	0.00075459
0.40522921	0.00074216
0.38389239	0.00072876
0.36237371	0.00071445
