"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_tio2_hematite_new_700_6.txt"


  Open Circuit Potential (V): -0.295
"E (Volts)"	"I (Amps/cm^2~)"
-0.49710029	-2.3901E-05
-0.47703639	-1.4778E-05
-0.45703319	-9.3464E-06
-0.43666619	-5.9123E-06
-0.41690531	-3.7856E-06
-0.39587161	-2.2884E-06
-0.37392861	-1.1944E-06
-0.35447091	-4.9706E-07
-0.33137619	1.9149E-07
-0.31282771	7.7833E-07
-0.2922183	1.5963E-06
-0.27191189	2.9837E-06
-0.25172681	5.3026E-06
-0.2289958	9.6548E-06
-0.209235	1.5118E-05
-0.18771631	2.2982E-05
-0.1657477	3.3565E-05
-0.1446874	4.6557E-05
-0.1282769	5.8948E-05
-0.104622	7.9488E-05
-0.084549859	0.00010137
-0.064101882	0.00012901
-0.04470874	0.00016141
-0.024576001	0.00020277
-0.0049888552	0.00025124
0.01559855	0.00031218
0.036034409	0.00038422
0.056773379	0.00046559
0.078742981	0.00056061
0.0982695	0.00065163
0.1185114	0.00074871
0.1366981	0.00084039
0.15734009	0.0009476
0.17786691	0.0010538
0.199303	0.0011641
0.22186591	0.0012779
0.2430208	0.001383
0.26502439	0.0014898
0.28490651	0.0015802
0.30521289	0.0016666
0.3263678	0.0017565
0.34861389	0.0018412
0.368011	0.0019149
0.38692319	0.001979
0.4079569	0.0020462
0.4286876	0.0021105
0.44784221	0.0021668
0.46681511	0.002219
0.48639399	0.0022626
0.50554872	0.0023166
0.52767348	0.0023675
0.54967707	0.002413
0.56871051	0.0024511
0.58895618	0.0024972
0.60835338	0.0025342
0.62732607	0.0025645
0.64720821	0.0025978
0.66909063	0.0026354
0.69097298	0.0026718
0.71079439	0.0027057
0.73079759	0.0027391
0.75152832	0.0027724
0.77310759	0.0028003
0.79147428	0.0028252
0.79008007	0.0028215
0.77074349	0.0027991
0.7485581	0.0027645
0.73019153	0.0027324
