"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_tio2_hematite_new_700_7.txt"


  Open Circuit Potential (V): -0.3015
"E (Volts)"	"I (Amps/cm^2~)"
-0.4972215	-2.7864E-05
-0.47661209	-1.6212E-05
-0.45533589	-9.2882E-06
-0.43818149	-5.8705E-06
-0.41605681	-3.0597E-06
-0.39265889	-1.2805E-06
-0.37138271	-1.7691E-07
-0.34907609	6.1056E-07
-0.32992139	1.1804E-06
-0.3088271	1.8249E-06
-0.28858131	2.6496E-06
-0.2677294	4.0565E-06
-0.24808981	6.4809E-06
-0.2276016	1.0756E-05
-0.2089925	1.6449E-05
-0.1890499	2.4911E-05
-0.16863941	3.5063E-05
-0.1484278	4.7588E-05
-0.1284163	6.1703E-05
-0.1074834	7.8779E-05
-0.088472143	9.6534E-05
-0.068606153	0.00011777
-0.0482006	0.00014345
-0.027734431	0.00017428
-0.0080745434	0.0002091
0.01079725	0.00024857
0.030190401	0.00029459
0.05058381	0.0003488
0.069782972	0.00040386
0.089509539	0.00046541
0.1114246	0.00053587
0.13068441	0.0005996
0.1506716	0.00066569
0.1715318	0.00073397
0.19357421	0.00080467
0.21090619	0.00085955
0.23235241	0.00092334
0.25223449	0.00098064
0.27205589	0.0010347
0.2921198	0.0010869
0.31400219	0.0011415
0.33503589	0.0011884
0.3540087	0.0012294
0.3741332	0.0012713
0.39346969	0.0013076
0.4117758	0.0013399
0.43244579	0.0013764
0.45238841	0.0014082
0.47469509	0.0014466
0.4937892	0.0014742
0.51348943	0.0014993
0.5325228	0.0015243
0.55416268	0.0015515
0.57580262	0.0015772
0.59653318	0.0015979
0.61859739	0.0016233
0.63944942	0.0016406
0.66121048	0.001662
0.68115318	0.0016795
0.70315683	0.0017002
0.72212958	0.0017162
0.74237531	0.0017325
0.76177239	0.0017468
0.78347301	0.0017629
0.79626292	0.001771
0.77510792	0.0017578
0.75637758	0.001743
0.73655617	0.0017278
0.71691662	0.0017087
0.69454932	0.0016891
0.67266691	0.0016685
0.65108758	0.0016466
0.63199359	0.0016278
0.61253589	0.0016071
0.59216893	0.0015845
0.57271123	0.0015582
0.5542233	0.0015364
0.53367448	0.0015099
0.51433802	0.0014863
0.4941529	0.0014566
0.47214931	0.0014229
0.452934	0.0013934
0.432567	0.0013585
0.41274559	0.0013252
0.39353031	0.0012885
0.37231469	0.0012458
0.35018989	0.0011961
0.32848939	0.0011474
0.30951661	0.0011
0.289877	0.0010491
0.26951	0.00099295
0.2499917	0.00093656
0.229261	0.00087429
0.20804539	0.0008071
0.18707231	0.00073894
0.16591731	0.00066915
0.14681	0.000605
0.1268045	0.00053726
0.1069325	0.00047087
0.086793654	0.00040592
0.068194658	0.00035056
0.047722429	0.00029381
0.026850101	0.00024269
0.006723417	0.00020103
-0.0138155	0.00016471
-0.0318022	0.00013879
-0.053935491	0.00011081
-0.07646282	8.7037E-05
-0.097262397	6.8414E-05
-0.1175224	5.1872E-05
-0.1388434	3.7873E-05
-0.157309	2.709E-05
-0.1774357	1.7053E-05
-0.1971623	9.4965E-06
-0.2192973	3.5271E-06
-0.2389369	1.1844E-07
-0.2589401	-1.9003E-06
-0.2787616	-2.9385E-06
-0.29821929	-3.3763E-06
-0.31919241	-3.7407E-06
-0.33822581	-4.0627E-06
-0.3586534	-4.6516E-06
-0.37926289	-5.6903E-06
-0.39914489	-7.4101E-06
-0.420118	-1.057E-05
-0.4390302	-1.5421E-05
-0.4599427	-2.4162E-05
-0.48012781	-3.7846E-05
-0.49473631	-5.1972E-05
-0.4836435	-3.3738E-05
-0.46321601	-1.9144E-05
-0.4422428	-1.0573E-05
-0.42211831	-5.8729E-06
-0.4012664	-2.9846E-06
-0.3808389	-1.1981E-06
-0.36016881	5.8405E-08
-0.3370741	1.0499E-06
-0.3167071	1.7278E-06
-0.29627949	2.4701E-06
-0.27657941	3.2966E-06
-0.256273	4.7538E-06
