"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\1-butanol_6_20240118_light.txt"


  Open Circuit Potential (V): -0.3255
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-3.0351E-05
-0.47891551	-1.7014E-05
-0.45618451	-9.3567E-06
-0.43884829	-5.4993E-06
-0.41648099	-1.9609E-06
-0.39508361	3.3811E-07
-0.37441349	2.042E-06
-0.35550141	3.1238E-06
-0.33616489	4.1917E-06
-0.3160404	5.732E-06
-0.2952491	8.1327E-06
-0.27585199	1.2396E-05
-0.2541514	2.1325E-05
-0.2337238	3.5106E-05
-0.21547849	5.2212E-05
-0.19480839	7.7219E-05
-0.1753507	0.00010425
-0.1544719	0.00013609
-0.133836	0.00016892
-0.1104599	0.00020806
-0.090957671	0.00024135
-0.07158877	0.00027452
-0.051013481	0.00031036
-0.031517271	0.0003448
-0.01068131	0.00038264
0.01021527	0.00041963
0.03216669	0.00045971
0.051274911	0.00049397
0.071625903	0.00052962
0.090061203	0.00055958
0.1113458	0.00059451
0.1317756	0.00062749
0.1539937	0.00066272
0.17587849	0.00069504
0.19523519	0.00072142
0.2139252	0.00074392
0.23477709	0.00076963
0.2529619	0.00078909
0.2767233	0.00081486
0.29484749	0.00083172
0.31873021	0.00085221
0.34049141	0.00087022
0.36116141	0.00088429
0.38098279	0.00089757
0.40050119	0.00091
0.4215349	0.00092146
0.44196251	0.00093238
0.46220821	0.0009405
0.48118109	0.00094929
0.50160861	0.00095736
0.52094507	0.00096439
0.5418576	0.00097118
0.56004238	0.000977
0.5800457	0.00098222
0.59956402	0.00098749
0.61968857	0.00099222
0.64138907	0.00099495
0.65975571	0.00099914
0.68181998	0.0010034
0.70164138	0.0010064
0.72491789	0.0010105
0.74655777	0.0010142
0.76850069	0.0010173
0.78826159	0.001021
0.79408079	0.0010211
0.77262259	0.0010179
0.75286192	0.0010143
0.73376793	0.0010102
0.71176422	0.0010059
0.69248837	0.0010014
0.67121208	0.00099641
0.65066332	0.00099216
0.63005388	0.00098531
0.60992938	0.00098095
0.59065348	0.00097531
0.56931669	0.00096718
0.54985899	0.00096112
0.53021938	0.0009536
0.51003432	0.00094644
0.49081901	0.0009371
0.47081569	0.00092716
0.4502669	0.0009177
0.4306879	0.00090624
0.40971479	0.00089423
0.38534719	0.0008775
0.3636466	0.00086325
0.34061259	0.00084512
0.31763911	0.00082541
0.29569611	0.00080498
0.27514729	0.00078412
0.25611389	0.00076405
0.2348377	0.00073882
0.2150768	0.0007136
0.19374	0.00068552
0.1717971	0.00065417
0.1501442	0.00062149
0.12836251	0.00058662
0.1063808	0.00055054
0.084338441	0.00051337
0.065230221	0.00048045
0.043460671	0.00044243
0.019551139	0.00040089
0.00057629269	0.00036772
-0.02032635	0.00033158
-0.0416958	0.00029544
-0.062998563	0.00026009
-0.08510153	0.00022383
-0.1046705	0.00019266
-0.1252943	0.00016016
-0.14472979	0.00013006
-0.1646928	9.9841E-05
-0.1858622	7.0301E-05
-0.2056191	4.5743E-05
-0.2287534	2.2897E-05
-0.2496659	8.9641E-06
-0.27288181	1.9585E-09
-0.29294571	-3.6237E-06
-0.31507051	-5.2234E-06
-0.3348313	-5.8183E-06
-0.35495591	-6.2925E-06
-0.37611079	-6.6642E-06
-0.39611411	-7.3974E-06
-0.4165417	-8.7418E-06
-0.4379997	-1.1488E-05
-0.45745751	-1.599E-05
-0.4784306	-2.4295E-05
-0.49819139	-3.2202E-05
-0.47830939	-1.8227E-05
-0.4591547	-1.0527E-05
-0.43551439	-4.731E-06
-0.41605681	-1.6559E-06
-0.39556849	5.8165E-07
-0.37495911	2.2215E-06
-0.35519829	3.4422E-06
-0.33434641	4.7769E-06
-0.31507051	6.151E-06
-0.2948854	7.9714E-06
-0.2738516	1.1824E-05
-0.25409079	1.8477E-05
-0.2330571	3.0263E-05
-0.2148117	4.595E-05
-0.1937173	6.8693E-05
-0.17413829	9.4022E-05
-0.1559571	0.00012
-0.1360487	0.00015039
-0.1164009	0.00018137
-0.095686227	0.00021552
-0.076111212	0.00024718
-0.05646345	0.00027998
-0.036821749	0.00031412
-0.018453119	0.00034589
0.002194914	0.00038221
0.021957859	0.00041763
0.040732659	0.00045092
0.060768399	0.00048584
0.080670781	0.00052095
0.1003064	0.00055364
0.1206756	0.00058693
0.1393716	0.00061749
0.15967409	0.00064768
0.1816982	0.00067946
0.2053289	0.00071172
0.2264121	0.00073731
0.2482944	0.00076289
0.26660049	0.00078145
0.28727049	0.00080316
0.30642521	0.00082117
0.32703459	0.00083875
0.34728029	0.0008533
0.36673811	0.00086937
0.38619581	0.00088162
