"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\2-ethyl-1-butanol_3_20240119_light.txt"


  Open Circuit Potential (V): -0.3214
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-3.4981E-05
-0.4792186	-2.1953E-05
-0.4597609	-1.489E-05
-0.44066679	-1.0534E-05
-0.42042109	-5.8862E-06
-0.39926609	-2.8287E-06
-0.38011149	-3.7336E-07
-0.35907769	1.2494E-06
-0.33495259	3.2536E-06
-0.31719211	4.6914E-06
-0.29603711	8.0891E-06
-0.27573079	9.9847E-06
-0.25645491	1.5639E-05
-0.23808821	2.408E-05
-0.2143268	4.456E-05
-0.194869	6.7352E-05
-0.1751688	9.9168E-05
-0.155945	0.00013583
-0.1337148	0.00018615
-0.1148066	0.00023002
-0.094437413	0.00028089
-0.074074291	0.00033255
-0.053971861	0.00038506
-0.034275599	0.000436
-0.0155008	0.00048336
0.0047228741	0.00053842
0.02481924	0.00058953
0.046097752	0.00064659
0.065927379	0.0007002
0.086945213	0.00075592
0.1092301	0.00081589
0.1299205	0.00087101
0.148277	0.00091988
0.16883411	0.00097124
0.188979	0.001022
0.2090026	0.0010663
0.22798809	0.0011082
0.24841569	0.0011488
0.26769161	0.0011833
0.28769481	0.0012182
0.30909231	0.0012499
0.3315202	0.0012804
0.35376629	0.0013072
0.37255719	0.0013291
0.39456081	0.0013491
0.4147459	0.0013656
0.43299139	0.0013792
0.45214599	0.00139
0.4725129	0.0014054
0.4924556	0.0014141
0.51209521	0.0014236
0.53403819	0.0014354
0.55561751	0.0014442
0.57428718	0.0014485
0.59610891	0.0014556
0.61568791	0.001463
0.63490307	0.0014666
0.65393662	0.0014721
0.67357618	0.0014751
0.6934582	0.0014813
0.71352208	0.0014836
0.73643488	0.0014874
0.75813538	0.0014904
0.7763809	0.0014944
0.79838449	0.0014978
0.78377599	0.0014926
0.7634697	0.0014931
0.74370879	0.0014865
0.72516042	0.0014861
0.70364171	0.0014794
0.67939532	0.0014758
0.66096812	0.001469
0.63884318	0.0014645
0.61665767	0.0014586
0.59653318	0.0014511
0.57586318	0.0014407
0.55634493	0.0014355
0.53646278	0.0014247
0.51609588	0.0014152
0.49221319	0.0014018
0.47281599	0.0013911
0.45341891	0.0013765
0.433355	0.0013644
0.41401851	0.0013462
0.3919543	0.0013261
0.37110239	0.0013079
0.3525539	0.0012861
0.33224761	0.0012609
0.31321421	0.0012335
0.29393831	0.0012042
0.2740562	0.0011701
0.254356	0.0011327
0.2324737	0.0010894
0.2127735	0.0010458
0.19374	0.0010003
0.17203949	0.00094772
0.14981081	0.0008906
0.1296356	0.00083335
0.1100606	0.00078042
0.088624448	0.00072227
0.06971629	0.00066982
0.049013689	0.00061397
0.025898321	0.0005537
0.0049956748	0.00050021
-0.01564629	0.00044479
-0.03608821	0.00039089
-0.05705148	0.00033783
-0.07582628	0.0002898
-0.099256881	0.00023238
-0.1176255	0.00018721
-0.1387949	0.00013917
-0.159546	9.6922E-05
-0.1795817	6.2425E-05
-0.20001151	3.5324E-05
-0.21863049	1.6046E-05
-0.23954301	4.0183E-06
-0.25954631	-2.7365E-06
-0.28070119	-5.1622E-06
-0.30028021	-6.1955E-06
-0.320041	-8.3931E-06
-0.34010491	-8.1524E-06
-0.35956261	-7.7709E-06
-0.3805964	-8.1463E-06
-0.40532771	-1.0351E-05
-0.42696759	-1.4526E-05
-0.44733459	-1.6243E-05
