"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\meoh_10_20240119_light.txt"


  Open Circuit Potential (V): -0.2958
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-1.8415E-05
-0.48982641	-1.2978E-05
-0.47030801	-9.4234E-06
-0.45030481	-6.9068E-06
-0.42951351	-4.9802E-06
-0.4097527	-3.5928E-06
-0.38835531	-2.3606E-06
-0.36774579	-1.5801E-06
-0.34737879	-4.0911E-07
-0.3274968	4.1448E-07
-0.30331099	1.478E-06
-0.28403509	2.495E-06
-0.26354691	3.8751E-06
-0.24372549	5.6028E-06
-0.22257049	7.8168E-06
-0.2031128	1.0121E-05
-0.18256401	1.2732E-05
-0.1613162	1.5591E-05
-0.14127439	1.8512E-05
-0.1221601	2.1628E-05
-0.1037975	2.5002E-05
-0.083682969	2.9202E-05
-0.063386537	3.4068E-05
-0.042950679	3.9675E-05
-0.023854589	4.5877E-05
-0.002757946	5.4178E-05
0.01813864	6.4221E-05
0.039095849	7.626E-05
0.060198549	9.0526E-05
0.079828121	0.00010531
0.1007065	0.00012194
0.1197359	0.00013755
0.1418207	0.00015521
0.1622445	0.00017133
0.18273491	0.00018701
0.2043408	0.00020322
0.2266545	0.00021989
0.2463547	0.00023432
0.26490319	0.0002479
0.28593701	0.00026324
0.30654639	0.00027853
0.32891369	0.00029502
0.34825021	0.00030957
0.36861709	0.00032479
0.38734749	0.00033916
0.4100785	0.0003565
0.43105161	0.00037276
0.45166111	0.00038864
0.47414961	0.00040629
0.496335	0.00042375
0.51997519	0.00044218
0.5418576	0.00045941
0.56610399	0.00047845
0.58586478	0.00049391
0.60550439	0.00050925
0.62556827	0.00052459
0.64745069	0.00054145
0.66909063	0.00055812
0.68818462	0.00057268
0.70776361	0.00058753
0.7275244	0.00060178
0.7468003	0.00061621
0.76631862	0.00063071
0.7875948	0.0006458
0.79505062	0.00064975
0.77335012	0.00062773
0.75455922	0.00061033
0.73485887	0.00059238
0.71467382	0.00057365
0.69418561	0.00055533
0.67600077	0.00053878
0.65466398	0.00051998
0.63356972	0.00050112
0.61380881	0.00048384
0.59253258	0.00046511
