"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230526\hematite_butanol_1_light.txt"


  Open Circuit Potential (V): -0.3347
"E (Volts)"	"I (Amps/cm^2~)"
-0.49807021	-1.3868E-05
-0.47837001	-7.4598E-06
-0.4572756	-4.5606E-06
-0.4375754	-2.5388E-06
-0.41557181	-8.0997E-07
-0.39381069	6.5396E-07
-0.36938241	2.0147E-06
-0.3493185	3.0983E-06
-0.32980019	4.3857E-06
-0.31028181	6.3669E-06
-0.28924811	1.0273E-05
-0.26966909	1.6525E-05
-0.25087821	2.6574E-05
-0.23129921	4.1405E-05
-0.2117202	6.166E-05
-0.190929	8.7068E-05
-0.1708651	0.0001151
-0.1512953	0.00014453
-0.13019259	0.00017829
-0.1104963	0.00021225
-0.089654282	0.00024802
-0.070358127	0.00028319
-0.050255701	0.00032018
-0.030559439	0.00035784
-0.0097295372	0.00040077
0.0091543803	0.00043794
0.030784501	0.00048299
0.050789941	0.00052853
0.070886299	0.00057274
0.09157677	0.00062064
0.111661	0.00066903
0.13088439	0.00071226
0.1513021	0.00075926
0.17152581	0.00080219
0.1921314	0.00084615
0.21289469	0.00088732
0.23356479	0.00092328
0.25387111	0.00095669
0.27351069	0.00098489
0.29393831	0.001011
0.31606311	0.0010353
0.33794549	0.001056
0.35982779	0.0010737
0.38407421	0.0010904
0.40413809	0.0011025
0.42753589	0.0011136
0.44687241	0.001123
0.47093689	0.0011316
0.49106139	0.0011384
0.51051909	0.0011435
0.52900702	0.0011484
0.54913151	0.0011534
0.56907421	0.0011569
0.58938062	0.001161
0.61138421	0.0011635
0.63138741	0.0011668
0.65436089	0.0011701
0.67545527	0.0011722
0.69515538	0.0011747
0.71497679	0.0011766
0.73401028	0.0011792
0.75322562	0.0011815
0.77389562	0.0011852
0.79438382	0.0011911
0.78838283	0.0011883
0.76686418	0.0011826
0.7485581	0.001179
0.72813052	0.0011759
0.70885468	0.001174
0.69042742	0.0011715
0.67030293	0.0011679
0.65017837	0.001166
0.62829602	0.0011628
0.61041433	0.0011592
0.58998668	0.0011562
0.56822562	0.0011533
0.5482223	0.00115
0.5277341	0.0011462
0.50566989	0.0011396
0.48724261	0.0011341
0.46378419	0.0011262
0.44165939	0.0011176
0.42317161	0.0011093
0.4032895	0.0010972
0.38346809	0.0010855
0.36376789	0.0010724
0.3437646	0.0010562
0.32054871	0.0010335
0.30084851	0.0010124
0.27914801	0.00098446
0.25811419	0.00095366
0.2396263	0.0009231
0.21932	0.00088575
0.1996804	0.00084591
0.1779193	0.00079952
0.1576129	0.00075295
0.1368679	0.00070377
0.1176263	0.00065623
0.096256822	0.00060591
0.076021031	0.00055691
0.05624596	0.00051052
0.0359556	0.00046377
0.01558643	0.00041951
-0.001703114	0.00038415
-0.02354541	0.00034062
-0.04517553	0.00029811
-0.066678338	0.00025803
-0.08710207	0.00022171
-0.1078592	0.00018575
-0.1287619	0.00015217
-0.15058599	0.00011819
-0.1692092	9.1686E-05
-0.1927065	6.1606E-05
-0.2119299	4.0713E-05
-0.23299649	2.2575E-05
-0.25409079	9.8489E-06
-0.27470031	2.2112E-06
-0.2931881	-1.4206E-06
-0.3131308	-3.5443E-06
-0.33537689	-4.7146E-06
-0.35628939	-5.298E-06
-0.37635329	-5.7831E-06
-0.39520481	-6.3574E-06
-0.41739029	-7.3234E-06
-0.43630251	-8.6363E-06
-0.4572756	-1.0987E-05
-0.47740021	-1.4781E-05
-0.49443319	-1.993E-05
-0.4803097	-1.0765E-05
-0.4601852	-6.4411E-06
-0.439697	-3.466E-06
-0.42090601	-1.471E-06
-0.4009634	1.7852E-07
-0.38096011	1.4692E-06
-0.3621085	2.495E-06
-0.3391957	3.7696E-06
-0.31901059	5.2474E-06
-0.29943159	7.3541E-06
-0.27870089	1.1276E-05
-0.2579703	1.8043E-05
-0.23711839	2.9299E-05
-0.2175394	4.4469E-05
-0.1977786	6.4919E-05
-0.1751688	9.1291E-05
-0.1547447	0.00011915
-0.1338966	0.00015011
-0.1143095	0.00018109
-0.094273724	0.00021437
-0.073765106	0.00025003
-0.053723309	0.00028635
-0.033214711	0.00032497
-0.01311227	0.00036439
0.0093180621	0.00041041
0.033548892	0.00046274
0.053911999	0.0005081
0.073541567	0.00055285
0.093704619	0.00060021
0.1157955	0.00065247
0.1360919	0.00070098
0.1564489	0.00074883
0.1782731	0.00079782
0.19863009	0.00084069
0.2203505	0.00088393
0.24138419	0.0009217
0.26314539	0.00095712
0.283876	0.0009861
0.30309129	0.0010101
0.32224599	0.0010301
0.34182489	0.0010497
0.36031279	0.0010645
0.38219509	0.0010797
0.40238029	0.0010915
0.42383829	0.0011021
0.44244739	0.0011097
0.46432981	0.0011181
0.48475739	0.0011253
0.50870073	0.0011313
0.52852207	0.0011368
0.5482223	0.0011427
0.56852871	0.0011464
0.59053218	0.0011507
0.61083859	0.0011533
0.63023567	0.0011559
0.65066332	0.0011576
0.67206073	0.0011609
0.69163972	0.0011643
0.71079433	0.0011664
0.73043388	0.0011686
0.7498917	0.0011698
0.77189529	0.0011733
0.79389888	0.0011792
0.7891708	0.0011761
0.76837963	0.001173
0.74540609	0.0011689
0.72534221	0.0011669
0.70485401	0.0011644
0.68442643	0.0011618
0.66321081	0.0011592
0.64351058	0.0011569
0.62362862	0.0011526
0.60398901	0.0011505
0.58495557	0.0011467
0.56561911	0.0011422
0.5459795	0.001138
0.52409708	0.001132
0.50554872	0.0011274
0.48518169	0.0011207
0.4651784	0.0011134
0.44723609	0.0011065
0.42692971	0.0010977
0.40735069	0.0010869
0.38686249	0.0010741
0.36704111	0.0010612
0.347644	0.0010462
0.32679209	0.0010265
0.30709201	0.0010056
0.28805849	0.00098095
0.26581249	0.00094832
0.2458698	0.00091673
0.226109	0.00088108
0.20604511	0.00084063
0.18416271	0.00079339
0.1633108	0.00074507
0.14424559	0.0007005
0.1243372	0.00065199
0.1049744	0.00060481
0.082404584	0.00054976
0.059834819	0.00049603
0.04075085	0.00045249
0.02031499	0.0004075
-0.00058159762	0.00036396
-0.020811331	0.00032291
-0.03970132	0.00028659
-0.060531221	0.00024857
-0.079821311	0.00021431
-0.098777972	0.0001826
-0.1194685	0.00014934
-0.1416927	0.00011618
-0.1594429	9.1552E-05
-0.1816005	6.3766E-05
-0.20202421	4.1811E-05
-0.22178251	2.4559E-05
-0.24172521	1.2094E-05
-0.26021299	4.2923E-06
-0.28100431	-6.9475E-07
-0.30191681	-3.1422E-06
-0.32258689	-4.3423E-06
-0.3450754	-4.9796E-06
-0.36562419	-5.469E-06
-0.3860518	-5.9917E-06
-0.40605509	-6.697E-06
-0.42684641	-7.8352E-06
-0.44818321	-9.6987E-06
-0.4698838	-1.2939E-05
-0.48849279	-1.748E-05
-0.49225101	-1.8621E-05
