"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230526\hematite_butanol_3_dark.txt"


  Open Circuit Potential (V): -0.3105
"E (Volts)"	"I (Amps/cm^2~)"
-0.49449381	-1.535E-05
-0.47339949	-9.3603E-06
-0.45388111	-5.8802E-06
-0.43442339	-3.4818E-06
-0.41435951	-1.6717E-06
-0.3944169	-4.2165E-07
-0.37174651	7.279E-07
-0.35277361	1.4162E-06
-0.33210361	2.0304E-06
-0.31173661	2.4713E-06
-0.29082409	2.8406E-06
-0.2711845	3.0832E-06
-0.2501508	3.1984E-06
-0.2274804	3.2633E-06
-0.2083257	3.2287E-06
-0.1874132	3.1159E-06
-0.1628499	2.9607E-06
-0.1434143	2.7709E-06
-0.1236332	2.5677E-06
-0.1033368	2.3834E-06
-0.08250688	2.1875E-06
-0.0616103	2.0189E-06
-0.04071977	1.8752E-06
-0.02095077	1.7303E-06
-0.001460624	1.6393E-06
0.017568789	1.5653E-06
0.035791919	1.4968E-06
0.056603629	1.4453E-06
0.076499946	1.4043E-06
0.098311938	1.3658E-06
0.1172686	1.3311E-06
0.13615251	1.3159E-06
0.15982559	1.3184E-06
0.1815103	1.3155E-06
0.2012611	1.3052E-06
0.2200474	1.333E-06
0.2419904	1.3949E-06
0.26266041	1.3561E-06
0.28023899	1.4131E-06
0.30260631	1.3803E-06
0.32648909	1.4483E-06
0.34600741	1.4078E-06
0.36716241	1.4604E-06
0.39068139	1.4052E-06
0.41359419	1.4107E-06
0.43329439	1.4073E-06
0.45275211	2.048E-06
0.47451329	1.398E-06
0.49706241	1.3986E-06
0.5170657	1.4149E-06
0.53809941	1.4252E-06
0.5588907	1.4331E-06
0.57998508	1.4783E-06
0.60138249	1.5289E-06
0.62605321	1.685E-06
0.646299	1.8952E-06
0.66690838	2.2906E-06
0.68739659	3.0571E-06
0.70594507	4.5155E-06
0.72655451	8.1631E-06
0.74637592	1.6048E-05
0.76710659	3.337E-05
0.78747362	6.6903E-05
0.79547489	8.0666E-05
0.77159232	3.9475E-05
0.74952799	1.8024E-05
0.73079759	8.9138E-06
0.71055192	3.9934E-06
0.68939692	1.7006E-06
0.66866618	7.8512E-07
0.64557159	4.3775E-07
0.62575018	3.6254E-07
0.60501951	3.6775E-07
0.58465248	3.9024E-07
0.56458873	4.1315E-07
0.5447672	4.34E-07
0.52506697	4.3418E-07
0.50615478	4.2733E-07
0.4870002	4.1987E-07
0.46348119	3.9575E-07
0.44208369	3.6793E-07
0.4216561	3.4296E-07
0.40274391	3.0453E-07
0.38261941	2.4531E-07
0.36219189	1.7646E-07
0.3429766	8.3117E-08
0.31963941	-5.635E-08
0.29999989	-2.0685E-07
0.27866301	-3.8892E-07
0.25696251	-5.9294E-07
0.23532259	-7.6405E-07
0.21240979	-9.0127E-07
0.1922247	-9.7243E-07
0.1723426	-1.0153E-06
0.1511808	-1.0492E-06
0.12646499	-1.0792E-06
0.1038165	-1.1544E-06
0.084514253	-1.2455E-06
0.062878057	-1.2945E-06
0.0391686	-1.3448E-06
0.0192056	-1.3871E-06
-0.006177058	-1.3424E-06
-0.03262667	-1.4018E-06
-0.052310798	-1.4576E-06
-0.076014213	-1.5577E-06
-0.0971836	-1.679E-06
-0.1190744	-1.8275E-06
-0.1402377	-1.9694E-06
-0.1598673	-2.1053E-06
-0.1793635	-2.2702E-06
-0.20238189	-2.4315E-06
-0.22135819	-2.6043E-06
-0.2428769	-2.7929E-06
-0.26360759	-2.9979E-06
-0.28385329	-3.238E-06
-0.30361411	-3.4897E-06
-0.32452661	-3.7826E-06
-0.34380251	-4.1458E-06
-0.36374521	-4.5527E-06
-0.38411209	-5.1058E-06
-0.40435791	-5.8365E-06
-0.42175469	-6.734E-06
-0.44442499	-8.4428E-06
-0.4628523	-1.0553E-05
-0.48346171	-1.4207E-05
-0.4977065	-1.3629E-05
-0.47733951	-8.4368E-06
-0.454366	-4.9044E-06
-0.4346658	-2.8772E-06
-0.4150869	-1.3946E-06
-0.39526549	-2.5928E-07
-0.37720191	5.4279E-07
-0.35513771	1.3437E-06
-0.33495259	1.9565E-06
-0.31507051	2.3876E-06
-0.29427919	2.7709E-06
-0.2751852	3.0159E-06
-0.25500011	3.2069E-06
-0.2360273	3.3009E-06
-0.2166907	3.3057E-06
-0.19620261	3.2263E-06
-0.1756538	3.1123E-06
-0.1555206	2.9376E-06
-0.1352727	2.7466E-06
-0.1180862	2.5623E-06
-0.095783234	2.327E-06
-0.074874513	2.1263E-06
-0.053899109	1.9328E-06
-0.033257142	1.7849E-06
-0.01329414	1.6587E-06
0.0074811992	1.5538E-06
0.03090575	1.4725E-06
