"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230524\pec\hematite_etoh_01_2_dark.txt"


  Open Circuit Potential (V): -0.1045
"E (Volts)"	"I (Amps/cm^2~)"
-0.49697909	-1.9957E-05
-0.47461179	-1.346E-05
-0.45412359	-9.6775E-06
-0.43478709	-7.1991E-06
-0.41484439	-5.2683E-06
-0.39587161	-3.9263E-06
-0.3760502	-2.853E-06
-0.35538009	-2.0349E-06
-0.3345888	-1.3879E-06
-0.312464	-7.8708E-07
-0.29070291	-3.4395E-07
-0.27160889	1.4384E-08
-0.25063571	3.8314E-07
-0.231178	6.6135E-07
-0.21038669	9.415E-07
-0.1889286	1.2894E-06
-0.16971339	1.4848E-06
-0.1486703	1.7363E-06
-0.12576111	1.9765E-06
-0.105992	2.182E-06
-0.08503484	2.3688E-06
-0.065732628	2.5447E-06
-0.044836041	2.6957E-06
-0.020878021	2.8564E-06
-0.001521247	2.9625E-06
0.019435961	3.051E-06
0.03905341	3.0989E-06
0.060210679	3.1189E-06
0.07856112	3.1008E-06
0.09911821	3.0383E-06
0.1199966	2.9249E-06
0.1400142	2.7824E-06
0.16036519	2.6181E-06
0.1797765	2.4689E-06
0.1997941	2.3258E-06
0.21974429	2.2203E-06
0.23938391	2.1505E-06
0.25859919	2.1026E-06
0.2821182	2.0656E-06
0.30139399	2.0505E-06
0.32170039	2.0408E-06
0.34237051	2.0317E-06
0.3632223	2.0317E-06
0.38280129	2.0347E-06
0.40238029	2.0323E-06
0.4229897	2.0274E-06
0.446145	2.0256E-06
0.4663907	2.0268E-06
0.48918241	2.0298E-06
0.5094887	2.0365E-06
0.52973437	2.0523E-06
0.55046511	2.0644E-06
0.56925613	2.0874E-06
0.58895618	2.1244E-06
0.60847461	2.1784E-06
0.62859911	2.2754E-06
0.64914793	2.441E-06
0.66769642	2.7199E-06
0.68879068	3.3912E-06
0.70703608	4.6677E-06
0.72613019	7.5973E-06
0.7464366	1.4426E-05
0.76753098	2.9189E-05
0.78789783	5.6472E-05
0.79305023	6.5659E-05
0.77128911	3.3298E-05
0.75146759	1.7253E-05
0.73055518	8.2983E-06
0.70976388	4.0261E-06
0.68951821	2.1269E-06
0.67030293	1.3657E-06
0.64932978	1.0474E-06
0.63005388	9.612E-07
0.60974753	9.4871E-07
0.59041101	9.4428E-07
0.56919539	9.6017E-07
0.5501014	9.6447E-07
0.53058302	9.9713E-07
0.50748843	9.061E-07
0.4882125	8.8531E-07
0.47039139	8.5961E-07
0.44990319	8.1106E-07
0.43050611	7.7051E-07
0.40789631	7.8064E-07
0.38692319	6.6487E-07
0.3673442	5.8443E-07
0.34703791	5.154E-07
0.3278226	4.2375E-07
0.3074556	3.2126E-07
0.28417909	1.7908E-07
0.26187241	2.5961E-08
0.2421722	-1.3484E-07
0.22016861	-3.1613E-07
0.2003472	-4.9506E-07
0.1780405	-6.7899E-07
0.1580372	-8.7879E-07
0.1353462	-1.1186E-06
0.1109639	-1.3842E-06
0.090188511	-1.5837E-06
0.068285599	-1.7639E-06
0.0480498	-1.8293E-06
0.0279413	-1.8281E-06
0.0071780859	-1.7657E-06
-0.01398524	-1.7153E-06
-0.03601547	-1.6996E-06
-0.05711817	-1.7202E-06
-0.076887183	-1.782E-06
-0.096644074	-1.8554E-06
-0.117474	-1.9652E-06
-0.1370369	-2.1095E-06
-0.1542536	-2.2284E-06
-0.1764172	-2.3872E-06
