"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230524\pec\hematite_etoh_01_2_light.txt"


  Open Circuit Potential (V): -0.3409
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-1.5443E-05
-0.4804309	-9.5016E-06
-0.46048829	-6.6169E-06
-0.43909079	-4.3459E-06
-0.41672349	-2.5182E-06
-0.39411381	-1.098E-06
-0.37417111	1.2505E-08
-0.35368291	1.199E-06
-0.33337659	2.5447E-06
-0.31434309	4.3675E-06
-0.29391551	7.1704E-06
-0.2725181	1.1155E-05
-0.2493628	1.6923E-05
-0.2297838	2.3158E-05
-0.2090532	3.1423E-05
-0.1894742	4.1386E-05
-0.1668753	5.609E-05
-0.1448268	7.5514E-05
-0.1258399	9.7754E-05
-0.105992	0.00012777
-0.085804753	0.00016792
-0.066096373	0.00021819
-0.044260129	0.0002892
-0.02501248	0.00036481
-0.004649369	0.00045704
0.01492564	0.00055467
0.036101099	0.00066678
0.056997679	0.00077787
0.079500757	0.00089417
0.099857807	0.00099222
0.1193601	0.0010811
0.1407174	0.0011676
0.16274761	0.0012498
0.1825712	0.0013171
0.2022614	0.0013793
0.22429051	0.0014409
0.2454455	0.001497
0.26532751	0.0015452
0.28405789	0.0015877
0.3069101	0.0016333
0.32503429	0.0016697
0.34728029	0.0017077
0.37122369	0.0017462
0.39322719	0.0017801
0.41480649	0.0018105
0.43238521	0.0018334
0.4541463	0.0018592
0.47627109	0.0018896
0.49621379	0.0019066
0.51676261	0.0019299
0.53670532	0.0019508
0.55676919	0.0019685
0.57616627	0.0019854
0.59604841	0.0019991
0.61556667	0.0020149
0.63653982	0.0020305
0.65611881	0.0020426
0.67581892	0.0020565
0.69539791	0.0020686
0.71703792	0.0020826
0.73734409	0.0020911
0.75892347	0.0021038
0.77674448	0.0021129
0.80068779	0.0021286
0.78256369	0.0021153
0.76074189	0.0020959
0.73849583	0.002082
0.71843201	0.0020711
0.6981256	0.0020595
0.67903161	0.0020468
0.65884638	0.0020304
0.6392675	0.0020165
0.61708212	0.0019977
0.59507853	0.0019813
0.57337791	0.0019662
0.55313218	0.0019486
0.53525048	0.0019334
0.51185268	0.001908
0.49275869	0.001888
0.47305849	0.0018649
0.45378259	0.0018413
0.433355	0.0018152
0.4115333	0.0017855
0.3923786	0.0017583
0.3710418	0.0017261
0.3478865	0.0016873
0.3263678	0.0016491
0.30412179	0.0016061
0.28460339	0.0015693
0.26466069	0.0015232
0.24502119	0.0014747
0.2265939	0.0014246
0.2042872	0.001359
0.184587	0.0012938
0.163129	0.0012163
0.1430089	0.0011363
0.1213727	0.0010442
0.1017371	0.00095366
0.083374538	0.00086204
0.060671411	0.00074258
0.039574768	0.00062858
0.0148044	0.00049712
-0.0049585439	0.00039834
-0.02724945	0.00030199
-0.048352148	0.0002262
-0.068036288	0.00016998
-0.09006045	0.00012309
-0.1095506	9.2863E-05
-0.1316414	6.7213E-05
-0.1497373	5.1708E-05
-0.17062169	3.7976E-05
-0.1931127	2.6677E-05
-0.2141449	1.8698E-05
-0.2352999	1.2014E-05
-0.25530311	7.0655E-06
-0.27579129	2.9928E-06
-0.2954309	3.8204E-08
-0.31464621	-2.1695E-06
-0.33689231	-3.9742E-06
-0.35768351	-5.1415E-06
-0.377505	-6.1221E-06
-0.39653841	-7.213E-06
-0.41696599	-8.7254E-06
-0.43612069	-1.0713E-05
-0.45818481	-1.4204E-05
-0.47903669	-1.9419E-05
-0.49406949	-2.5127E-05
-0.48115829	-1.5574E-05
-0.4628523	-1.0408E-05
-0.44224289	-6.5521E-06
-0.42169401	-3.9275E-06
-0.40090281	-1.9919E-06
-0.3796871	-5.5355E-07
-0.3574411	8.0258E-07
-0.33616489	2.1129E-06
-0.31688899	3.6453E-06
-0.29652199	5.8187E-06
-0.2753064	8.9623E-06
-0.2556062	1.2771E-05
-0.2355423	1.7803E-05
-0.2126901	2.5045E-05
-0.19553579	3.1975E-05
-0.1726229	4.3929E-05
-0.152435	5.751E-05
-0.1315202	7.657E-05
-0.1117391	0.00010031
-0.091630578	0.00013206
-0.072176807	0.00017324
-0.051274162	0.0002308
-0.03109898	0.00030139
-0.01052369	0.00038761
0.0094453683	0.00048245
0.03020859	0.00058887
0.050383762	0.00069516
0.070280083	0.00079976
0.090109713	0.00089902
0.1113518	0.0009995
0.13024791	0.0010819
0.15207811	0.0011708
0.1719683	0.0012445
0.1915251	0.0013094
0.2140464	0.0013795
0.23386779	0.0014366
0.25387111	0.0014888
0.27581409	0.0015395
0.29381701	0.0015803
0.3158206	0.0016235
0.33794549	0.0016623
0.35782751	0.0016935
0.3780126	0.0017282
0.39716721	0.001755
0.41607949	0.0017812
0.43650699	0.001806
0.45711651	0.0018301
0.4773016	0.0018521
0.49906269	0.0018761
0.52094507	0.001898
0.54106963	0.0019177
0.55973941	0.0019365
0.5793789	0.001951
0.60023081	0.0019662
0.62047648	0.0019833
0.64096469	0.001998
0.6600588	0.0020048
0.67975903	0.0020241
0.69964099	0.0020395
0.7182501	0.0020517
0.7385565	0.0020638
0.76080263	0.0020783
0.78256369	0.0020892
0.79565668	0.0020959
0.77722949	0.0020838
0.75704432	0.0020711
0.73716241	0.0020589
0.71685588	0.0020462
0.69739819	0.0020298
0.67733431	0.0020219
0.65763408	0.0020086
0.63902497	0.0019929
0.61859739	0.0019795
0.59871542	0.0019613
0.57665122	0.0019425
0.55707228	0.0019274
0.5371902	0.001908
0.51730812	0.0018892
0.4930011	0.0018631
0.4727554	0.0018395
0.452934	0.0018207
0.4303242	0.001791
0.41032091	0.0017655
0.39256051	0.0017376
0.37073869	0.0017061
0.35000801	0.0016728
0.3293986	0.0016419
0.3074556	0.0015861
0.28811911	0.0015491
0.2648426	0.0015021
0.2458698	0.0014554
0.224048	0.0013966
0.2035598	0.001334
0.1836172	0.0012655
0.1622197	0.001185
0.1426634	0.0011064
0.1229004	0.0010221
0.1028708	0.00092946
0.083101749	0.00082972
0.06214454	0.00072008
0.043036308	0.00061791
0.02321275	0.00051192
0.003255809	0.00041162
-0.01676175	0.00032067
-0.038131189	0.00023935
-0.05715454	0.00018114
-0.077845007	0.00013284
-0.097201787	9.9441E-05
-0.1173588	7.3815E-05
-0.13817661	5.4433E-05
-0.15726051	4.0901E-05
-0.1778176	2.9748E-05
-0.198302	2.1222E-05
-0.22081269	1.3898E-05
-0.24033099	8.7701E-06
-0.2611829	4.3954E-06
-0.28294399	9.2428E-07
-0.30519009	-1.6919E-06
-0.3228294	-3.1841E-06
-0.34580281	-4.5018E-06
-0.36568481	-5.4344E-06
-0.38647619	-6.4957E-06
-0.40623689	-7.7922E-06
-0.4234519	-9.3203E-06
-0.4449099	-1.1949E-05
-0.46557999	-1.5634E-05
-0.48637131	-2.1437E-05
-0.49085689	-2.3033E-05
