"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230529\hematite_etoh_01_6_dark.txt"


  Open Circuit Potential (V): -0.2239
"E (Volts)"	"I (Amps/cm^2~)"
-0.4972215	-2.6783E-05
-0.47521791	-1.7748E-05
-0.45375991	-1.1933E-05
-0.43393841	-8.2191E-06
-0.41429889	-5.5776E-06
-0.3935076	-3.5619E-06
-0.37241319	-2.0428E-06
-0.35071269	-8.8448E-07
-0.33010331	-5.1137E-08
-0.30997881	5.885E-07
-0.2895512	1.1529E-06
-0.26869929	1.6017E-06
-0.2494234	1.9607E-06
-0.2292989	2.2512E-06
-0.2085076	2.4877E-06
-0.1862615	2.6708E-06
-0.1642261	2.8073E-06
-0.1444449	2.8952E-06
-0.1232695	2.9079E-06
-0.1035005	2.8855E-06
-0.082725123	2.843E-06
-0.062022541	2.7982E-06
-0.044714801	2.7248E-06
-0.021284189	2.6381E-06
-0.00078771421	2.5495E-06
0.018841861	2.4683E-06
0.03980514	2.39E-06
0.060695659	2.31E-06
0.08092539	2.2676E-06
0.1018826	2.2112E-06
0.1221669	2.176E-06
0.14259671	2.1499E-06
0.16121989	2.1208E-06
0.1823045	2.1111E-06
0.203201	2.1032E-06
0.223745	2.0984E-06
0.24599101	2.105E-06
0.26520631	2.1056E-06
0.28648251	2.1087E-06
0.30484909	2.1105E-06
0.32430691	2.1299E-06
0.3448557	2.1347E-06
0.36540449	2.1378E-06
0.38619569	2.1396E-06
0.40668401	2.1384E-06
0.4252325	2.1463E-06
0.44475079	2.1475E-06
0.4657239	2.1475E-06
0.48809129	2.1535E-06
0.5077914	2.1796E-06
0.52809781	2.1911E-06
0.54901028	2.2057E-06
0.56774068	2.2403E-06
0.58859253	2.293E-06
0.60805029	2.3779E-06
0.62981141	2.5265E-06
0.65036023	2.7684E-06
0.67103028	3.2045E-06
0.68976063	3.9467E-06
0.70976388	5.5913E-06
0.73085833	9.7415E-06
0.7504372	1.8454E-05
0.76831901	3.4123E-05
0.79050428	7.1205E-05
0.79098928	7.1679E-05
0.77134973	3.797E-05
0.74916428	1.7393E-05
0.7280699	7.9078E-06
0.70733923	3.5077E-06
0.68988192	1.8103E-06
0.66727209	8.9343E-07
0.6475113	6.2207E-07
0.62787169	5.517E-07
0.60447389	5.331E-07
0.58356142	5.4838E-07
0.56337631	5.2655E-07
0.54549462	5.2879E-07
0.52506697	5.12E-07
0.50197232	4.8297E-07
0.48293889	4.4727E-07
0.46014729	4.0109E-07
0.43978041	3.5363E-07
0.42014071	2.918E-07
0.39904639	2.2574E-07
0.37649721	1.3973E-07
0.35625151	6.063E-08
0.3339448	-3.9833E-08
0.31333539	-1.7082E-07
0.29327151	-3.1818E-07
0.27157101	-4.6917E-07
0.2499311	-6.367E-07
0.230534	-7.7666E-07
0.2097427	-8.9127E-07
0.1870117	-9.9978E-07
0.1674933	-1.1032E-06
0.14784659	-1.172E-06
0.1266712	-1.2714E-06
0.1062171	-1.3491E-06
0.083574601	-1.4613E-06
0.060047001	-1.5674E-06
0.03747116	-1.6323E-06
0.017896149	-1.6777E-06
-0.00341267	-1.7075E-06
-0.024654809	-1.7463E-06
-0.045296781	-1.8105E-06
-0.066059992	-1.8948E-06
-0.086568587	-1.9913E-06
-0.1069378	-2.1089E-06
-0.1278404	-2.2314E-06
-0.1469426	-2.3236E-06
-0.16777851	-2.4515E-06
-0.19048169	-2.5898E-06
-0.2153572	-2.7529E-06
-0.2350574	-2.8991E-06
-0.25524259	-3.0907E-06
-0.2783978	-3.3199E-06
-0.29827991	-3.5473E-06
-0.319253	-3.9045E-06
-0.33901379	-4.2811E-06
-0.36028999	-4.859E-06
-0.3801721	-5.6424E-06
-0.40035719	-6.7619E-06
-0.4214516	-8.5629E-06
-0.44218221	-1.12E-05
-0.4621855	-1.4837E-05
-0.483886	-2.026E-05
-0.49740341	-2.4902E-05
-0.4810977	-1.5239E-05
-0.46157941	-1.0653E-05
