"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230607\hematite_meoh_01_1_dark.txt"


  Open Circuit Potential (V): -0.2849
"E (Volts)"	"I (Amps/cm^2~)"
-0.497464	-4.4424E-06
-0.4749755	-2.8578E-06
-0.45654821	-2.0246E-06
-0.43484771	-1.249E-06
-0.41351089	-5.6195E-07
-0.39302269	-5.4653E-08
-0.36810949	4.52E-07
-0.34671211	8.0245E-07
-0.3256177	1.0556E-06
-0.30458391	1.2215E-06
-0.2860961	1.3039E-06
-0.26069799	1.3422E-06
-0.2346331	1.3676E-06
-0.21378119	1.3288E-06
-0.19062591	1.4689E-06
-0.1672208	1.2183E-06
-0.1473427	1.1639E-06
-0.127804	1.1299E-06
-0.108514	1.0984E-06
-0.086580724	1.0802E-06
-0.065629572	1.0455E-06
-0.044690549	1.048E-06
-0.024285009	1.0414E-06
-0.002945876	1.0481E-06
0.018387189	1.056E-06
0.03720443	1.082E-06
0.057616029	1.1112E-06
0.07762146	1.1626E-06
0.099415272	1.2088E-06
0.120421	1.2652E-06
0.1410872	1.3131E-06
0.1612927	1.3689E-06
0.1813648	2.1093E-06
0.2029586	1.4571E-06
0.2221083	1.5035E-06
0.24083871	1.5362E-06
0.26090261	1.5696E-06
0.2817544	1.5969E-06
0.3009091	1.6211E-06
0.31963941	1.6411E-06
0.34049141	1.6563E-06
0.3622525	1.6812E-06
0.38328621	1.6939E-06
0.40225911	1.7018E-06
0.42286849	1.7169E-06
0.4441447	1.7291E-06
0.4647541	1.7454E-06
0.48578781	1.7679E-06
0.50548798	1.7764E-06
0.52609748	1.7952E-06
0.54500967	1.8127E-06
0.56507349	1.8346E-06
0.58507693	1.8564E-06
0.60592872	1.8801E-06
0.62829602	1.9292E-06
0.64908731	1.9971E-06
0.66812068	2.0838E-06
0.68842709	2.2506E-06
0.71261293	2.6399E-06
0.731525	3.239E-06
0.75134653	4.4221E-06
0.77207708	6.8635E-06
0.79226232	1.1452E-05
0.78874648	9.331E-06
0.76668233	5.031E-06
0.74570918	3.0049E-06
0.72631198	2.0517E-06
0.70218688	1.4865E-06
0.68388093	1.2864E-06
0.66193789	1.1747E-06
0.64175278	1.1313E-06
0.62047648	1.1821E-06
0.59992772	1.0851E-06
0.58113682	1.0631E-06
0.55986059	1.0398E-06
0.53900868	1.0438E-06
0.51858109	1.0159E-06
0.497123	9.8136E-07
0.47651359	9.4861E-07
0.45529801	8.6573E-07
0.4366889	8.264E-07
0.41559449	7.9518E-07
0.39419711	7.436E-07
0.37140551	6.9657E-07
0.34982619	6.4662E-07
0.32848939	5.7783E-07
0.30854669	5.2667E-07
0.28763419	4.463E-07
0.2652669	3.6145E-07
0.2432027	2.7671E-07
0.22326	1.3809E-07
0.19901361	-2.2248E-08
0.1769494	-2.2903E-07
0.1572492	-4.3341E-07
0.13500071	-6.4078E-07
0.1152135	-8.0815E-07
0.094359353	-9.9389E-07
0.073571883	-1.0465E-06
0.053257272	-1.0901E-06
0.030535949	-1.0841E-06
0.008475408	-1.0622E-06
-0.01265154	-1.0343E-06
-0.034754518	-1.0519E-06
-0.05840943	-1.0695E-06
-0.078190558	-1.098E-06
-0.1015727	-1.1386E-06
-0.1242212	-1.2005E-06
-0.1489431	-1.2557E-06
-0.1699124	-2.2751E-06
-0.1908333	-1.4049E-06
-0.21220879	-1.4819E-06
-0.2331783	-1.5928E-06
-0.2521511	-1.6874E-06
-0.2717301	-1.8057E-06
-0.29270321	-1.9785E-06
-0.3149493	-2.1574E-06
-0.3356193	-2.4376E-06
-0.35562259	-2.8087E-06
-0.3758077	-3.2841E-06
-0.39459869	-3.9306E-06
-0.41490501	-4.8796E-06
-0.43606001	-6.0863E-06
-0.45654821	-7.4386E-06
-0.47740009	-8.9983E-06
-0.49807021	-1.0084E-05
-0.48037031	-2.4885E-06
-0.45921531	-1.5668E-06
-0.43915141	-9.2558E-07
-0.4198755	-3.848E-07
-0.4008421	4.4436E-09
-0.37853539	4.6448E-07
-0.35695621	7.8518E-07
-0.33386141	1.0453E-06
-0.31404001	1.179E-06
-0.29373369	1.2791E-06
-0.27336669	1.3494E-06
-0.25130251	1.3373E-06
-0.22960199	1.32E-06
-0.21038669	1.2864E-06
-0.1905047	1.2603E-06
-0.1665297	1.2005E-06
-0.1464818	1.1487E-06
-0.123712	1.1117E-06
-0.1038703	1.0758E-06
-0.085162148	1.0633E-06
-0.064853601	1.0247E-06
-0.043484159	1.0117E-06
-0.0226482	9.9302E-07
0.001849366	1.008E-06
0.02447976	1.0232E-06
0.04437001	1.0344E-06
0.063732848	1.0594E-06
0.086229868	1.1554E-06
0.1086602	1.2039E-06
0.1284171	1.2092E-06
0.1487074	1.2592E-06
0.16873109	1.3077E-06
0.18996111	1.3735E-06
0.2130765	1.4301E-06
0.23774721	1.5144E-06
0.25653821	1.5477E-06
0.2767233	1.5726E-06
0.29563549	1.6005E-06
0.31685111	1.6211E-06
0.3361876	1.6387E-06
0.35673639	1.6551E-06
0.3789219	1.6727E-06
0.40007681	1.6921E-06
0.418686	1.709E-06
0.44020471	1.6854E-06
0.46214759	1.7036E-06
0.48318139	1.7169E-06
0.50148737	1.7303E-06
0.52252108	1.7479E-06
0.54337299	1.7606E-06
0.5630126	1.7842E-06
0.58337963	1.8018E-06
0.60404962	1.8285E-06
0.62641692	1.871E-06
0.64769322	1.9298E-06
0.66605979	2.0104E-06
0.68679041	2.1651E-06
0.70733923	2.441E-06
0.72946411	3.0371E-06
0.75013423	4.1383E-06
0.77244091	6.5033E-06
0.79280782	1.072E-05
0.78941327	8.7676E-06
0.77074349	5.2153E-06
0.74813378	3.0092E-06
0.72800928	2.0298E-06
0.70594507	1.5135E-06
0.68479007	1.2712E-06
0.66260469	1.1649E-06
0.64035863	1.1148E-06
0.62041593	1.0929E-06
0.59913981	1.0619E-06
0.57616627	1.0317E-06
0.55398083	9.947E-07
0.53470492	9.8441E-07
0.51385301	9.3925E-07
0.49154639	9.1101E-07
0.47081569	8.6404E-07
0.4490546	8.3294E-07
0.42717221	7.9239E-07
0.40807819	8.4856E-07
0.38801429	7.0787E-07
0.3665562	6.5577E-07
0.34655291	6.1286E-07
0.32642841	5.588E-07
0.30606151	4.9455E-07
0.2855733	4.1327E-07
0.26557001	3.4023E-07
0.2444756	2.3125E-07
0.2255028	1.1294E-07
0.20459031	-2.346E-08
0.1835566	-2.1448E-07
0.1637958	-4.3172E-07
0.14295439	-5.7469E-07
0.1233794	-1.3824E-06
0.098651417	-9.7067E-07
0.077676021	-1.0671E-06
0.057027992	-1.1108E-06
0.03351251	-1.1828E-06
0.01273111	-1.158E-06
-0.01439141	-1.9373E-06
-0.036749002	-1.1144E-06
-0.059864368	-1.1308E-06
-0.081379309	-1.1741E-06
-0.1017485	-1.2084E-06
-0.1208446	-1.2369E-06
-0.1419594	-1.2927E-06
-0.1629954	-1.3636E-06
-0.187499	-1.4564E-06
-0.2073347	-1.5213E-06
-0.2291777	-1.6317E-06
-0.2509388	-1.7535E-06
-0.27221501	-1.8742E-06
-0.29276389	-2.0088E-06
-0.31307021	-2.2108E-06
-0.33337659	-2.4358E-06
-0.3541072	-2.7935E-06
-0.37271631	-3.1877E-06
-0.39356819	-3.8323E-06
-0.41357139	-4.677E-06
-0.43327171	-5.7146E-06
-0.45242631	-6.9141E-06
-0.47346011	-8.455E-06
-0.49170551	-9.8424E-06
