"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230607\hematite_meoh_01_1_light.txt"


  Open Circuit Potential (V): -0.3244
"E (Volts)"	"I (Amps/cm^2~)"
-0.49613041	-2.5801E-06
-0.47158101	-1.289E-06
-0.4498198	-6.0501E-07
-0.42781621	-4.6531E-08
-0.40672189	3.4932E-07
-0.38720351	7.6002E-07
-0.36695781	1.0784E-06
-0.34683329	1.5144E-06
-0.32695121	1.9371E-06
-0.3044627	2.6447E-06
-0.28367141	3.5556E-06
-0.2636075	4.7338E-06
-0.2434224	6.2171E-06
-0.2229342	8.0988E-06
-0.201658	1.0479E-05
-0.18329141	1.3078E-05
-0.16141319	1.7097E-05
-0.140359	2.2678E-05
-0.1201838	3.0615E-05
-0.1006027	4.2266E-05
-0.079627313	6.1502E-05
-0.059985619	8.9228E-05
-0.03974982	0.00013092
-0.017580161	0.00019538
0.003516485	0.00027574
0.023952341	0.00036991
0.04524903	0.00048184
0.066212296	0.00060172
0.085841872	0.00071893
0.1069385	0.00084566
0.1251798	0.00095427
0.1485983	0.0010872
0.167555	0.0011915
0.1891124	0.0013015
0.2087419	0.0013951
0.22720011	0.0014759
0.2490218	0.0015643
0.26920691	0.0016403
0.28896779	0.0016991
0.31030461	0.00181
0.33200511	0.0018789
0.35279641	0.0019422
0.3741332	0.0020044
0.3932879	0.0020547
0.41323051	0.0021062
0.4344461	0.0021577
0.45347959	0.0022062
0.47354341	0.0022547
0.49348611	0.0023002
0.51385301	0.0023475
0.53276533	0.0023881
0.55307162	0.0024311
0.57483268	0.0024742
0.594836	0.0025112
0.61702138	0.0025572
0.63617611	0.0025924
0.65957391	0.0026294
0.68418401	0.0026742
0.70594507	0.0027112
0.72540277	0.0027427
0.74546671	0.0027706
0.76601559	0.0028052
0.78377599	0.0028355
0.79505062	0.0028524
0.77619898	0.002813
0.75589269	0.0027767
0.7363137	0.0027439
0.71485561	0.0027045
0.69582218	0.00267
0.67375797	0.0026275
0.65320921	0.0025881
0.63369077	0.0025475
0.61405122	0.0025057
0.594836	0.0024669
0.57319611	0.0024227
0.55288982	0.0023742
0.53312892	0.0023299
0.51270127	0.002282
0.49397099	0.0022396
0.47330099	0.0021868
0.45384321	0.0021377
0.43299139	0.0020783
0.41074529	0.0020201
0.38868111	0.0019571
0.3685565	0.0018965
0.34934121	0.0018389
0.32891369	0.001771
0.30945599	0.0017037
0.29072559	0.0016267
0.26775211	0.0015432
0.2485369	0.0014639
0.2270788	0.0013649
0.2070756	0.0012653
0.1872541	0.0011592
0.166281	0.0010398
0.1442759	0.00090739
0.1220942	0.00076866
0.1010521	0.00063556
0.081871107	0.00051677
0.061635301	0.00039919
0.041126698	0.00029229
0.02047867	0.00020291
-0.00095745717	0.00013204
-0.02039304	8.7086E-05
-0.039695252	5.7546E-05
-0.06007655	3.8207E-05
-0.080306292	2.6568E-05
-0.1013423	1.8946E-05
-0.1230452	1.3715E-05
-0.14222009	1.0376E-05
-0.16257709	7.6052E-06
-0.1833525	5.2941E-06
-0.20352159	3.4088E-06
-0.2219644	1.9601E-06
-0.2423313	5.8953E-07
-0.26251641	-5.0409E-07
-0.28494439	-1.4382E-06
-0.30555379	-2.1144E-06
-0.3256177	-2.6935E-06
-0.3461059	-3.2781E-06
-0.36665469	-4.007E-06
-0.38508201	-4.8772E-06
-0.40605509	-6.1621E-06
-0.4283618	-8.0256E-06
-0.44763759	-9.9528E-06
-0.46891391	-1.2479E-05
-0.48849279	-1.5225E-05
-0.49516061	-1.6235E-05
-0.48394659	-7.093E-06
-0.46309471	-4.5467E-06
-0.4429096	-2.873E-06
-0.42333069	-1.6577E-06
-0.40023601	-5.4497E-07
-0.3785961	2.2992E-07
-0.35768351	8.6416E-07
-0.33846831	1.3901E-06
-0.31785879	2.0602E-06
-0.29773429	2.7684E-06
-0.27724609	3.689E-06
-0.25718221	4.8442E-06
-0.2394824	6.0722E-06
-0.2187517	7.7998E-06
-0.1988091	9.7658E-06
-0.1778359	1.2288E-05
-0.1585518	1.518E-05
-0.13863119	1.9173E-05
-0.1156553	2.5263E-05
-0.095073938	3.3698E-05
-0.074353151	4.672E-05
-0.051456019	6.9537E-05
-0.029741039	0.0001043
-0.0077714291	0.00015759
0.01280992	0.00022613
0.03311241	0.00031169
0.052948099	0.00041053
0.073917434	0.00052708
0.093419693	0.00064217
0.1134554	0.00076362
0.13335779	0.00088423
0.1527207	0.0009992
0.17281701	0.0011145
0.19439261	0.0012312
0.21556181	0.0013367
0.2341103	0.0014238
0.25514409	0.0015156
0.2777538	0.0016051
0.2978783	0.0016808
0.31751791	0.0017508
0.33649069	0.0018116
0.35697889	0.0018749
0.37643659	0.0019311
0.39540941	0.0019853
0.4167462	0.0020432
0.4371132	0.0020923
0.4568134	0.0021414
0.4788776	0.0021935
0.50082058	0.002245
0.51967221	0.002285
0.53961492	0.0023287
0.56095171	0.0023742
0.58028817	0.0024142
0.6005339	0.0024524
0.61902177	0.0024875
0.6399343	0.0025233
0.66011941	0.0025651
0.68200183	0.0026051
0.70127767	0.0026391
0.72061408	0.002673
0.74116302	0.0027082
0.76310593	0.0027415
0.7817151	0.002767
0.79941487	0.0027949
0.77941167	0.0027639
0.76031762	0.0027276
0.74128431	0.0026924
0.7174015	0.0026518
0.69509488	0.0026112
0.67660701	0.002576
0.65605807	0.0025342
0.63369077	0.0024912
0.6134451	0.0024511
0.59101719	0.0024008
0.57101393	0.0023608
0.55161679	0.0023172
0.53173482	0.0022723
0.51009482	0.002222
0.48960659	0.0021711
0.4705126	0.0021238
0.4512367	0.0020765
0.43129411	0.0020219
0.411897	0.0019656
0.3914088	0.0019086
0.37019321	0.0018474
0.3509779	0.0017904
0.33103529	0.0017237
