"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_1_dark.txt"


  Open Circuit Potential (V): -0.1719
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-9.5635E-06
-0.47600591	-6.0196E-06
-0.45666939	-4.3029E-06
-0.43666619	-3.0737E-06
-0.41623861	-2.155E-06
-0.3975082	-1.5207E-06
-0.37374681	-9.4338E-07
-0.35386479	-5.7287E-07
-0.33477071	-3.0544E-07
-0.31367639	-9.2591E-08
-0.2927638	8.8119E-08
-0.26966909	2.1304E-07
-0.24778681	3.0885E-07
-0.22687431	3.9617E-07
-0.2065679	4.5985E-07
-0.1854129	5.1928E-07
-0.16319551	5.6718E-07
-0.1421231	6.1206E-07
-0.1224571	6.6421E-07
-0.1035187	6.9817E-07
-0.082331084	7.3819E-07
-0.06100408	7.8124E-07
-0.040877391	8.1399E-07
-0.02002931	8.5159E-07
0.0038135359	8.7402E-07
0.02592257	8.9963E-06
0.045121729	9.2162E-07
0.066103183	9.9773E-07
0.088012166	1.0196E-06
0.1086602	1.0066E-06
0.1283807	1.0578E-06
0.1481618	1.0838E-06
0.1696707	1.1051E-06
0.1895185	1.1269E-06
0.2127735	1.1111E-06
0.2334435	1.1293E-06
0.25308311	1.1518E-06
0.27569291	1.1803E-06
0.29563549	1.196E-06
0.31685111	1.2197E-06
0.3384304	1.2445E-06
0.35867611	1.2603E-06
0.3811647	1.4198E-06
0.40244091	1.3094E-06
0.42426261	1.3313E-06
0.44353849	1.3573E-06
0.46633011	1.384E-06
0.48706079	1.4137E-06
0.51154959	1.4574E-06
0.53512919	1.5162E-06
0.55482942	1.5908E-06
0.57386291	1.7054E-06
0.59477538	1.928E-06
0.61483932	2.3379E-06
0.63563049	3.1208E-06
0.65848279	4.7156E-06
0.67903161	7.1667E-06
0.70121711	1.1551E-05
0.72128087	1.8402E-05
0.74207222	3.2078E-05
0.76310593	6.1405E-05
0.7850489	0.00011993
0.79608101	0.00016318
0.77419871	9.0581E-05
0.7550441	4.8061E-05
0.73431343	2.0882E-05
0.71564358	8.1916E-06
0.69661021	1.8819E-06
0.67303061	-1.2933E-06
0.65163308	-2.1617E-06
0.62999332	-2.1877E-06
0.60986882	-1.91E-06
0.58895618	-1.5474E-06
0.56792247	-1.2223E-06
0.54519153	-9.2034E-07
0.52300608	-7.0324E-07
0.50421512	-5.6134E-07
0.48227209	-4.3703E-07
0.4602685	-3.4971E-07
0.43838611	-2.8907E-07
0.41801921	-2.5026E-07
0.3995313	-2.3388E-07
0.37752771	-2.2054E-07
0.3581306	-2.2964E-07
0.33600569	-2.448E-07
0.3150326	-2.733E-07
0.29424131	-2.9271E-07
0.2729651	-3.1696E-07
0.25302249	-3.2363E-07
0.2299884	-3.303E-07
0.2068937	-3.4364E-07
0.1839809	-3.5759E-07
0.16276529	-3.8245E-07
0.1430877	-4.0853E-07
0.1228156	-4.3703E-07
0.1034042	-4.7038E-07
0.080549531	-5.1708E-07
0.056809749	-5.7165E-07
0.03787734	-6.2441E-07
0.015871361	-6.8505E-07
-0.0079229875	-7.7359E-07
-0.02911056	-8.7122E-07
-0.05217744	-9.737E-07
-0.074771449	-1.1077E-06
-0.097959563	-1.2429E-06
-0.1202868	-1.3927E-06
-0.143281	-1.5462E-06
-0.1624741	-1.6814E-06
-0.1853288	-1.8118E-06
-0.2052554	-1.89E-06
-0.2252982	-1.9264E-06
-0.245847	-1.9197E-06
-0.2659716	-1.8718E-06
-0.28524739	-1.8263E-06
-0.30506891	-1.7827E-06
-0.32731491	-1.7893E-06
-0.34804559	-1.8827E-06
-0.3710191	-2.1423E-06
-0.39102229	-2.5346E-06
-0.41205609	-3.141E-06
-0.43181691	-3.9651E-06
-0.45278999	-5.1543E-06
-0.47236899	-6.7115E-06
-0.4920086	-8.8649E-06
-0.4950394	-9.2791E-06
-0.48127961	-6.3871E-06
-0.46176121	-4.6625E-06
-0.44121239	-3.3435E-06
-0.41896629	-2.3102E-06
-0.39769009	-1.5868E-06
-0.37271631	-9.4823E-07
-0.35240999	-5.7529E-07
-0.3305276	-2.6845E-07
-0.30706921	-4.2259E-08
-0.28415641	1.4088E-07
-0.26221341	2.7671E-07
-0.2405735	3.6343E-07
-0.2183274	4.5378E-07
-0.19771799	5.0679E-07
-0.1751688	5.787E-07
-0.154478	6.3025E-07
-0.13287809	6.7937E-07
-0.1126787	7.2303E-07
-0.092800587	7.6123E-07
-0.073195256	7.8973E-07
-0.053062521	8.2309E-07
-0.03046244	8.437E-07
-0.01159671	8.6058E-07
0.01231888	9.0313E-07
0.032384928	9.1587E-07
0.05476677	9.3648E-07
0.076427206	9.6013E-07
0.094692767	9.7044E-07
0.1166078	9.856E-07
0.13753469	1.0038E-06
0.1585162	1.0214E-06
0.1779093	1.0287E-06
0.1992242	1.0408E-06
0.22113851	1.0596E-06
0.2421722	1.0766E-06
0.26496381	1.0917E-06
0.2869674	1.1039E-06
0.30684951	1.1233E-06
0.32721639	1.133E-06
0.3489776	1.1493E-06
0.3710418	1.1609E-06
0.39268169	1.1736E-06
0.41438219	1.1875E-06
0.43511289	1.2124E-06
0.45420691	1.2251E-06
0.4780896	1.2542E-06
0.4970018	1.2785E-06
0.52021772	1.3216E-06
0.5419789	1.3573E-06
0.56410372	1.4574E-06
0.58259147	1.5866E-06
0.60271609	1.8425E-06
0.62435597	2.3791E-06
0.64454108	3.3512E-06
0.66557479	5.1213E-06
0.68533558	7.8635E-06
0.70497519	1.2173E-05
0.72485727	1.9582E-05
0.74546671	3.4584E-05
0.76486379	6.3469E-05
0.78238177	0.00010771
0.79923308	0.00016918
0.77838123	9.776E-05
0.75801432	5.0574E-05
0.73704112	2.1841E-05
0.71697718	7.9617E-06
0.69424617	8.2794E-07
0.67151523	-1.9349E-06
0.65266359	-2.6419E-06
0.63259977	-2.6723E-06
0.61277843	-2.3697E-06
0.5936237	-2.0028E-06
0.5700441	-1.568E-06
0.54804039	-1.2357E-06
0.52506697	-9.6703E-07
0.50336647	-7.7783E-07
0.48051429	-6.2381E-07
0.45729831	-5.0737E-07
0.4353554	-4.3218E-07
0.41323051	-3.8003E-07
0.39031771	-3.5577E-07
0.3692233	-3.491E-07
0.3463105	-3.5759E-07
0.3230339	-3.7336E-07
0.30096969	-3.9943E-07
0.27902669	-4.1884E-07
0.25665939	-4.2975E-07
0.2334435	-4.3279E-07
0.2076817	-4.2915E-07
0.187436	-4.2733E-07
0.1673115	-4.4673E-07
0.1440759	-4.6856E-07
0.122076	-5.001E-07
0.1017432	-5.5506E-07
0.081483118	-5.7105E-07
0.057215922	-6.2926E-07
0.035222068	-6.9112E-07
0.01436186	-7.554E-07
-0.0079047997	-8.3423E-07
-0.029886531	-9.3125E-07
-0.055281311	-1.0507E-06
-0.076135457	-1.1647E-06
-0.095862024	-1.2842E-06
-0.1178498	-1.434E-06
-0.13983759	-1.5953E-06
-0.1610252	-1.7457E-06
-0.18134589	-1.8754E-06
-0.2016605	-1.9634E-06
-0.2228736	-2.0046E-06
-0.2446347	-2.0022E-06
-0.26554719	-1.964E-06
-0.28755081	-1.8979E-06
-0.30852401	-1.853E-06
-0.32719371	-1.8463E-06
-0.347985	-1.9324E-06
-0.36883691	-2.1532E-06
-0.3887189	-2.5134E-06
-0.4086616	-3.0719E-06
-0.4299984	-3.9372E-06
-0.44854689	-4.979E-06
-0.4726114	-6.8716E-06
-0.48728049	-8.4647E-06
