"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_6.txt"


  Open Circuit Potential (V): -0.35
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-6.5229E-06
-0.47885489	-3.5212E-06
-0.45945781	-2.0198E-06
-0.4387877	-1.0004E-06
-0.41872391	-2.6057E-07
-0.3988418	2.8326E-07
-0.37695941	1.0808E-06
-0.3553195	1.7412E-06
-0.33646801	3.0043E-06
-0.31549481	5.1953E-06
-0.29537031	9.4232E-06
-0.27288181	1.779E-05
-0.25293911	3.0197E-05
-0.2323903	4.7661E-05
-0.21184149	6.9197E-05
-0.19189879	9.3075E-05
-0.1737746	0.00011587
-0.15409601	0.00014314
-0.13382991	0.00017067
-0.1157523	0.00019627
-0.094164602	0.00022529
-0.072304107	0.00025615
-0.05190463	0.00028495
-0.029528851	0.0003163
-0.00960223	0.00034583
0.01331309	0.00037815
0.03211819	0.00040641
0.052693479	0.00043491
0.072013877	0.00046232
0.091940507	0.00049063
0.1121884	0.00051895
0.1315088	0.00054593
0.1516234	0.00057553
0.1734596	0.00060603
0.19364689	0.00063434
0.213319	0.00065921
0.2355651	0.00068977
0.2561745	0.00071299
0.27666271	0.00073634
0.29605979	0.00075859
0.3156994	0.00077896
0.3348541	0.00079825
0.35473609	0.00081674
0.37449691	0.00083287
0.39534879	0.00084961
0.41371539	0.00086246
0.43450671	0.00087944
0.45541921	0.00089369
0.47524059	0.00090685
0.49445599	0.00091873
0.51403493	0.00093098
0.53682661	0.00094347
0.55676919	0.00095651
0.57652998	0.00096403
0.59665447	0.00097834
0.6187793	0.0009878
0.63702482	0.00099732
0.65648252	0.001008
0.6783042	0.0010204
0.69854999	0.0010332
0.72006857	0.0010436
0.73958689	0.0010572
0.76171178	0.0010686
0.7817151	0.0010864
0.79892999	0.0011025
0.77735072	0.001079
0.75516528	0.0010629
0.73601061	0.0010502
0.71552241	0.0010359
0.695701	0.0010241
0.67527342	0.0010133
0.65290612	0.0010013
0.63447893	0.00099216
0.61326319	0.00097943
0.59350252	0.00096797
0.57337791	0.00095687
0.55246538	0.00094669
0.53240162	0.00093547
0.51421672	0.00092443
0.4902128	0.00090933
0.4682698	0.00089442
0.4497214	0.00088229
0.42771769	0.00086677
0.4049868	0.00084821
0.38528651	0.00083366
0.36285859	0.00081553
0.34115809	0.00079491
0.32091239	0.00077508
0.30121219	0.00075538
0.28205749	0.00073433
0.25981149	0.00070802
0.2367774	0.00067946
0.216471	0.00065217
0.19707391	0.00062713
0.17610081	0.00059723
0.15513951	0.00056867
0.1344066	0.00053896
0.1148679	0.00051022
0.094862521	0.00048263
0.074929819	0.00045298
0.05433635	0.00042369
0.03387019	0.00039495
0.01200364	0.00036487
-0.006989399	0.0003388
-0.028128469	0.00030721
-0.048382461	0.0002781
-0.068648569	0.0002496
-0.088035673	0.00022256
-0.108029	0.00019412
-0.127895	0.0001661
-0.14900979	0.0001374
-0.1690031	0.00011046
-0.1909909	8.1764E-05
-0.21018399	5.916E-05
-0.2305112	3.8164E-05
-0.25106001	2.0803E-05
-0.27088141	9.4832E-06
-0.29173341	1.8825E-06
-0.3102212	-1.326E-06
-0.33083069	-2.6074E-06
-0.35089451	-3.0106E-06
-0.3708978	-2.9736E-06
-0.39144671	-2.8966E-06
-0.412541	-2.9112E-06
-0.43205941	-3.2344E-06
-0.45266879	-3.8608E-06
-0.47315699	-5.2841E-06
-0.49394831	-8.0705E-06
-0.49710029	-7.1791E-06
-0.47715771	-3.973E-06
-0.45800301	-2.1629E-06
-0.43727231	-9.5066E-07
-0.41793579	-1.7745E-07
-0.39544731	5.4813E-07
-0.37495911	1.1841E-06
-0.3548952	1.8127E-06
-0.33277041	3.2457E-06
-0.31234279	4.9697E-06
-0.29294571	7.8392E-06
-0.2725181	1.4268E-05
-0.2513631	2.533E-05
-0.23178419	3.956E-05
-0.2119627	5.8669E-05
-0.1934748	7.9476E-05
-0.1718955	0.00010582
-0.15156201	0.00013218
-0.1306169	0.00016007
-0.1096173	0.0001888
-0.089084432	0.00021625
-0.069006249	0.0002456
-0.048473399	0.00027367
-0.02933486	0.00029945
-0.0097295372	0.00032691
0.0098697273	0.00035584
0.02793524	0.00038185
0.048801512	0.00041059
0.068522021	0.00043824
0.088060662	0.00046741
0.1073144	0.00049397
0.1271137	0.00052277
0.14770719	0.00055145
0.1670942	0.0005785
0.18794841	0.00060803
0.20680811	0.00063398
0.22792751	0.00066145
0.2478095	0.00068455
0.26823711	0.00070887
0.28769481	0.00073409
0.30709201	0.00075331
0.32751951	0.00077387
0.3478865	0.000792
0.36722299	0.00080989
0.38631701	0.00082675
0.40838131	0.00084184
0.42826331	0.00085937
