"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_hematite_new_700_10_dark.txt"


  Open Circuit Potential (V): -0.2147
"E (Volts)"	"I (Amps/cm^2~)"
-0.49819139	-1.4431E-05
-0.4806734	-9.1111E-06
-0.4606095	-5.737E-06
-0.44018191	-3.6104E-06
-0.4176327	-2.1799E-06
-0.39665961	-1.3363E-06
-0.3745954	-7.3296E-07
-0.35380411	-3.5274E-07
-0.33404329	-9.2591E-08
-0.31216091	1.1177E-07
-0.2888844	2.8581E-07
-0.26578969	4.0588E-07
-0.2438467	4.9563E-07
-0.2238435	5.7021E-07
-0.2018398	6.3328E-07
-0.1829277	6.7937E-07
-0.1580244	7.3516E-07
-0.1360911	7.6608E-07
-0.1117027	7.9155E-07
-0.08818721	8.1156E-07
-0.068775877	8.2733E-07
-0.045587759	8.3521E-07
-0.027316131	8.3036E-07
-0.0034672299	8.2672E-07
0.01546519	8.2369E-07
0.03631328	8.1399E-07
0.059368022	8.0611E-07
0.07921584	8.0065E-07
0.1005368	7.8439E-07
0.1220517	7.9337E-07
0.1440334	7.8852E-07
0.1645481	7.8731E-07
0.1848627	7.8791E-07
0.207772	7.7882E-07
0.2287761	7.8609E-07
0.2531437	7.833E-07
0.2724196	9.0677E-07
0.29430199	9.189E-07
0.31388089	8.0853E-07
0.33721811	8.1823E-07
0.35843369	8.1221E-07
0.37898251	8.34E-07
0.40347129	8.437E-07
0.4285664	9.2921E-07
0.45063061	9.4134E-07
0.47784719	9.8015E-07
0.4988203	1.6393E-06
0.52149069	1.0978E-06
0.54282749	1.1954E-06
0.56428558	1.344E-06
0.58410698	1.5793E-06
0.60471642	1.9686E-06
0.62714428	2.6453E-06
0.64981472	3.9722E-06
0.66975731	5.9054E-06
0.69012427	9.0684E-06
0.71018821	1.4333E-05
0.73128259	2.5087E-05
0.75310439	5.0094E-05
0.773835	9.6959E-05
0.79298967	0.00016535
0.78723109	0.00014266
0.76680362	7.8639E-05
0.74564862	3.5409E-05
0.72479671	1.1914E-05
0.70158082	3.3311E-07
0.68169868	-3.0009E-06
0.66084683	-3.6031E-06
0.6421771	-3.1986E-06
0.62138581	-2.4982E-06
0.60041273	-1.8524E-06
0.57725739	-1.3194E-06
0.55713278	-9.9008E-07
0.53421998	-7.4448E-07
0.51191342	-5.9894E-07
0.49009159	-5.098E-07
0.46984589	-4.5401E-07
0.44826651	-4.1035E-07
0.42583859	-3.7518E-07
0.40686581	-3.5517E-07
0.38286191	-3.3515E-07
0.3618888	-3.2303E-07
0.34024891	-3.115E-07
0.31818461	-3.1514E-07
0.29527181	-3.1393E-07
0.27423811	-3.2424E-07
0.25265881	-3.4122E-07
0.23210999	-3.5031E-07
0.2095608	-3.7215E-07
0.190588	-3.8245E-07
0.1682813	-3.9701E-07
0.1475192	-4.1702E-07
0.12777451	-4.3339E-07
0.1045682	-4.4613E-07
0.083362423	-4.8475E-07
0.060489539	-4.8676E-07
0.040417422	-5.1647E-07
0.01427698	-5.571E-07
-0.007056084	-5.9712E-07
-0.02644923	-6.3533E-07
-0.04845522	-6.8263E-07
-0.072049499	-7.5661E-07
-0.093916044	-8.3665E-07
-0.1157098	-9.0821E-07
-0.1395769	-9.8765E-07
-0.16043711	-1.0531E-06
-0.182431	-1.1047E-06
-0.2016301	-1.1283E-06
-0.2214188	-1.1568E-06
-0.2424525	-1.1756E-06
-0.2634863	-1.1981E-06
-0.28524739	-1.246E-06
-0.30549321	-1.3175E-06
-0.32834539	-1.4261E-06
-0.3504096	-1.5589E-06
-0.36938241	-1.7341E-06
-0.3893857	-1.9731E-06
-0.40823731	-2.3236E-06
-0.4286648	-2.9282E-06
-0.4494561	-3.9748E-06
-0.47036859	-5.8147E-06
-0.49073559	-8.9753E-06
-0.4962517	-1.0174E-05
-0.48000661	-6.1348E-06
-0.46036699	-3.9093E-06
-0.440485	-2.5103E-06
-0.42042109	-1.628E-06
-0.39787191	-9.5976E-07
-0.37598959	-5.3102E-07
-0.3548952	-2.4844E-07
-0.33180049	-4.1691E-10
-0.31288829	1.4694E-07
-0.2923395	2.8035E-07
-0.26803249	4.0406E-07
-0.24711999	4.9744E-07
-0.2263287	5.4873E-07
-0.2056587	6.2418E-07
-0.18213961	6.733E-07
-0.16018251	7.5032E-07
-0.13731571	7.8064E-07
-0.1130485	8.1096E-07
-0.094358593	8.3764E-07
-0.074419841	8.4674E-07
-0.055541988	8.4734E-07
-0.033669371	8.4674E-07
-0.0096810386	8.4188E-07
0.01563493	8.4067E-07
0.035234191	7.8731E-07
0.05815557	7.7457E-07
0.07921584	7.6184E-07
0.1010157	7.4547E-07
0.12665901	8.2369E-07
0.1492409	7.206E-07
0.17142271	7.1757E-07
0.1934772	7.0726E-07
0.2127735	7.0908E-07
0.2366562	7.0302E-07
0.25762931	7.0241E-07
0.27981469	7.018E-07
0.30200019	7.0787E-07
0.3259435	7.0969E-07
0.34812891	7.1151E-07
0.37170851	7.1696E-07
0.39413649	7.1939E-07
0.4157764	7.3091E-07
0.43474919	7.6487E-07
0.45384321	7.7942E-07
0.47657421	8.0126E-07
0.4996689	8.437E-07
0.51955098	8.9586E-07
0.54040283	9.8197E-07
0.56022429	1.1045E-06
0.57871222	1.3046E-06
0.59859419	1.626E-06
0.61938548	2.1869E-06
0.63854009	3.0989E-06
0.65702802	4.5525E-06
0.67800122	6.9818E-06
0.70188379	1.1717E-05
0.72128087	1.859E-05
0.74158728	3.3097E-05
0.76207548	6.3905E-05
0.78135139	0.00011473
0.80008167	0.00018546
0.77929038	0.00010829
0.75686252	5.1605E-05
0.73728359	2.1914E-05
0.71661347	5.4864E-06
0.69430679	-1.7481E-06
0.67218202	-3.7401E-06
0.65175438	-3.6552E-06
0.63096309	-3.0034E-06
0.61108112	-2.3472E-06
0.59010798	-1.7645E-06
0.56889242	-1.326E-06
0.54482782	-9.9796E-07
0.52555197	-8.2816E-07
0.50476068	-6.9961E-07
0.48384809	-6.2077E-07
0.46081409	-5.571E-07
0.4373557	-5.1404E-07
0.41268501	-4.7766E-07
0.3897115	-4.5159E-07
0.36989009	-4.3703E-07
0.3505536	-4.2187E-07
0.32988349	-4.1156E-07
0.30751619	-4.0853E-07
0.28708869	-4.0853E-07
0.26429701	-4.1277E-07
0.2434452	-4.1641E-07
0.2203505	-4.3824E-07
0.1998017	-4.3461E-07
0.17470659	-4.5583E-07
0.15366641	-4.6735E-07
0.1343278	-4.7827E-07
0.1110609	-4.91E-07
0.088988177	-5.1041E-07
0.06698221	-5.3709E-07
0.04565521	-5.7105E-07
0.02265502	-6.1895E-07
0.00072178681	-6.711E-07
-0.018604681	-7.2204E-07
-0.038676798	-7.8996E-07
-0.060670651	-8.7789E-07
-0.085059091	-9.9553E-07
-0.1067923	-1.115E-06
-0.12824661	-1.2235E-06
-0.1516348	-1.34E-06
-0.1710279	-1.4043E-06
-0.19301569	-1.4406E-06
-0.21475101	-1.4497E-06
-0.2363304	-1.4431E-06
-0.25821269	-1.4261E-06
-0.2796708	-1.4443E-06
-0.3027049	-1.4989E-06
-0.32398111	-1.5783E-06
-0.34501481	-1.7075E-06
-0.3647756	-1.8566E-06
-0.38459709	-2.0555E-06
-0.40466091	-2.3618E-06
-0.42660391	-2.8596E-06
-0.44672841	-3.6558E-06
-0.46745911	-5.0209E-06
-0.48794729	-7.364E-06
