"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_hematite_new_700_11.txt"


  Open Circuit Potential (V): -0.3616
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-8.7194E-06
-0.47970349	-4.9802E-06
-0.45448729	-2.3775E-06
-0.4326655	-1.0186E-06
-0.4110862	-1.6703E-07
-0.39011309	5.2425E-07
-0.36829129	1.0414E-06
-0.3433176	1.7036E-06
-0.32501149	2.4877E-06
-0.30440211	3.3888E-06
-0.28415641	5.4657E-06
-0.26366809	8.7683E-06
-0.2433618	1.455E-05
-0.2219644	2.3977E-05
-0.2034765	3.5191E-05
-0.18244269	5.1193E-05
-0.1618375	6.9773E-05
-0.1418806	9.1073E-05
-0.1209294	0.00011543
-0.1023789	0.00013888
-0.078645229	0.00017046
-0.059227839	0.00019799
-0.03868892	0.00022862
-0.016689001	0.00026282
0.006505176	0.00030023
0.028571781	0.00033619
0.047770929	0.00036881
0.067376263	0.00040277
0.087515064	0.00043818
0.1075144	0.00047341
0.13189679	0.00051798
0.1516961	0.00055309
0.17155001	0.00058887
0.19361059	0.00062731
0.21094251	0.00065733
0.2336254	0.0006968
0.25720501	0.00073118
0.27884489	0.00076095
0.29909059	0.00078733
0.3211548	0.00081529
0.34012759	0.00083639
0.3602522	0.00085603
0.37964931	0.00087556
0.4003799	0.00089363
0.41892841	0.00090933
0.44008341	0.00092383
0.46038979	0.00093826
0.47966561	0.00095032
0.49960831	0.0009636
0.51900542	0.00097573
0.53912991	0.00098822
0.55792087	0.00099835
0.57919699	0.0010125
0.60259491	0.0010241
0.62326491	0.0010352
0.6428439	0.0010453
0.66254407	0.0010563
0.68357778	0.0010674
0.70527828	0.0010795
0.72352368	0.0010914
0.74667913	0.0011037
0.76577312	0.0011176
0.78704917	0.0011335
0.79505062	0.0011374
0.77395618	0.001119
0.75371051	0.0011053
0.73213118	0.0010897
0.71315843	0.0010808
0.6912154	0.0010675
0.67090899	0.001057
0.6516332	0.0010455
0.62975079	0.001033
0.60762602	0.0010207
0.58968371	0.0010118
0.56792247	0.00099859
0.54810113	0.00098719
0.52767348	0.00097531
0.50718528	0.00096245
0.48790941	0.00094947
0.46802741	0.00093571
0.4474785	0.00092079
0.4271116	0.00090557
0.40516859	0.00088823
0.38498351	0.00087071
0.3638891	0.00084894
0.34491631	0.0008285
0.32200351	0.00080431
0.30297011	0.00078018
0.28296679	0.00075374
0.26223609	0.00072457
0.24017189	0.00068977
0.2179864	0.0006532
0.1993167	0.00062185
0.17537341	0.00058068
0.15412711	0.00054242
0.1322545	0.00050258
0.1101212	0.00046244
0.089782342	0.00042515
0.070849933	0.00039064
0.050383762	0.00035547
0.030990619	0.00032291
0.01019103	0.00028786
-0.0085352734	0.00025773
-0.02813454	0.00022729
-0.04838853	0.00019667
-0.068648569	0.00016768
-0.087647676	0.0001422
-0.1101689	0.00011323
-0.1306957	8.8706E-05
-0.1504223	6.7595E-05
-0.1713492	4.7831E-05
-0.1898755	3.2897E-05
-0.2101234	1.9826E-05
-0.23032939	1.0012E-05
-0.2501508	3.8855E-06
-0.270639	1.4694E-07
-0.2905817	-1.6662E-06
-0.31113049	-2.574E-06
-0.33404329	-2.6995E-06
-0.35319799	-2.7123E-06
-0.37417111	-2.7377E-06
-0.3941744	-2.9172E-06
-0.4150869	-3.1374E-06
-0.43587819	-3.7735E-06
-0.4553965	-4.9912E-06
-0.47594529	-7.2985E-06
-0.4940089	-1.0945E-05
-0.48327979	-7.0851E-06
-0.46400401	-4.0245E-06
-0.44297019	-2.0301E-06
-0.42023921	-6.893E-07
-0.39726579	2.2881E-07
-0.37508029	1.0167E-06
-0.35628939	1.4659E-06
-0.33398271	2.1299E-06
-0.31361571	2.9152E-06
-0.2934306	4.2208E-06
-0.27312419	6.2565E-06
-0.25318161	9.727E-06
-0.2339057	1.5156E-05
-0.2129932	2.4123E-05
-0.18844371	3.9099E-05
-0.1672572	5.5877E-05
-0.1451118	7.6903E-05
-0.1265613	9.6777E-05
-0.1027548	0.00012454
-0.08367084	0.00014882
-0.06379877	0.00017636
-0.042586949	0.00020606
-0.02238146	0.00023638
1.8565441E-05	0.00027101
0.01921772	0.00030199
0.03862299	0.0003334
0.05704011	0.00036548
0.07703343	0.00040028
0.097626887	0.00043588
0.1184992	0.00047317
0.1367709	0.00050622
0.16068649	0.00054891
0.180025	0.00058365
0.19961821	0.00061809
0.2195625	0.00065266
0.2431421	0.00068898
0.26332721	0.00072008
0.2826637	0.00074755
0.30303061	0.00077423
0.3224884	0.00079655
0.34188551	0.00081868
0.3621918	0.00083984
0.38243759	0.00085937
0.40116799	0.00087435
0.4215349	0.00089041
0.44172001	0.00090588
0.46123841	0.00092134
0.48190841	0.00093565
0.50057811	0.00094602
0.52161193	0.00095851
0.54137272	0.00097058
0.56064862	0.00097931
0.58083367	0.00098877
0.59901851	0.00099774
0.62017351	0.0010077
0.638722	0.0010173
0.66139227	0.0010278
0.68006212	0.0010398
0.69970173	0.00105
0.71934128	0.0010621
0.73867768	0.0010749
0.75843853	0.0010873
0.78080583	0.0011074
0.8003242	0.0011234
0.78177571	0.0011033
0.76001459	0.0010857
0.7381928	0.0010709
0.71891689	0.001058
0.69745892	0.0010432
0.67769808	0.0010336
0.65745229	0.0010215
0.63878262	0.0010118
0.61774892	0.00099986
0.59768498	0.00098889
0.57562071	0.00097609
0.55549622	0.00096688
0.53446251	0.00095299
0.51251948	0.00094099
0.49057651	0.00092674
0.47190681	0.00091503
0.44808471	0.00089702
0.42620239	0.00088114
0.4067446	0.00086404
0.38680199	0.00084839
0.36576819	0.00082675
0.34455261	0.00080686
0.3251555	0.00078315
0.3049098	0.00075901
0.28672501	0.00073646
0.2628423	0.00070256
0.2434452	0.00067309
0.2235025	0.00064065
0.20271119	0.00060512
0.1808895	0.00056692
0.1607043	0.00053144
0.13836519	0.00049039
0.1188994	0.0004554
0.098633237	0.00041939
0.079167344	0.00038561
0.059762072	0.00035202
0.038435061	0.00031606
0.018908549	0.00028404
-0.001078702	0.00025166
-0.02247845	0.0002191
-0.040410601	0.00019315
-0.06100408	0.00016416
-0.082131021	0.00013652
-0.1025244	0.00011089
-0.1219115	8.8645E-05
-0.14489961	6.3869E-05
-0.16435941	4.6945E-05
-0.1847468	3.104E-05
-0.20713469	1.7284E-05
-0.22814719	8.1024E-06
-0.24851421	2.4246E-06
-0.26815379	-6.7838E-07
-0.28991491	-2.4843E-06
-0.3114942	-3.024E-06
-0.3319824	-3.2259E-06
-0.35034901	-3.1835E-06
-0.37107971	-2.9573E-06
-0.39120421	-3.1331E-06
-0.41217729	-3.2975E-06
-0.43115011	-3.6801E-06
-0.45369929	-4.8305E-06
-0.47479361	-6.8892E-06
-0.4886747	-9.139E-06
