"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_tio2_hematite_new_700_4_dark.txt"


  Open Circuit Potential (V): -0.1167
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-4.7779E-05
-0.4767333	-2.611E-05
-0.4560633	-1.567E-05
-0.43363541	-8.6569E-06
-0.41460189	-5.07E-06
-0.39423499	-2.722E-06
-0.37508029	-1.417E-06
-0.3530767	-4.6796E-07
-0.3280423	1.2147E-07
-0.30767539	4.0224E-07
-0.28573239	5.9386E-07
-0.26378939	7.1696E-07
-0.2434224	8.0065E-07
-0.22469211	8.2794E-07
-0.2048707	8.5765E-07
-0.1840187	8.8251E-07
-0.1589822	8.8251E-07
-0.13997699	9.0313E-07
-0.1171163	8.8433E-07
-0.098111123	8.8737E-07
-0.076129392	8.8797E-07
-0.056202769	8.9161E-07
-0.035876039	8.9161E-07
-0.01468846	8.9828E-07
0.0054927799	9.0616E-07
0.024425199	9.1647E-07
0.045267221	9.377E-07
0.066715471	9.4679E-07
0.090285502	9.7711E-07
0.1129887	1.0068E-06
0.13483091	1.0378E-06
0.1578614	1.0644E-06
0.18123139	1.1045E-06
0.2028676	1.1305E-06
0.22459359	1.1687E-06
0.2478701	1.1965E-06
0.26811579	1.2251E-06
0.29236221	1.2512E-06
0.3152751	1.2791E-06
0.33812729	1.3052E-06
0.3613432	1.33E-06
0.38455921	1.3519E-06
0.4061991	1.3658E-06
0.42717221	1.3877E-06
0.44669059	1.4004E-06
0.46736059	2.2427E-06
0.4883337	1.421E-06
0.50779152	1.4307E-06
0.52627927	1.4404E-06
0.5461008	1.4513E-06
0.56877112	1.458E-06
0.59089601	1.4732E-06
0.61429381	1.4829E-06
0.63478202	1.4847E-06
0.65714931	1.5059E-06
0.67800122	1.5332E-06
0.69709522	1.5708E-06
0.71770459	1.6417E-06
0.73704112	1.7715E-06
0.75758988	2.0632E-06
0.77686578	2.6496E-06
0.79771769	4.1304E-06
0.78413969	2.461E-06
0.76152998	1.4998E-06
0.73879898	1.1257E-06
0.71503752	9.6862E-07
0.69297332	8.9525E-07
0.67115152	8.4188E-07
0.64823872	7.9883E-07
0.6247803	7.4754E-07
0.59792739	7.0241E-07
0.5759238	6.5814E-07
0.55143487	6.1206E-07
0.52979511	6.7815E-07
0.50821579	5.2473E-07
0.48918241	4.8471E-07
0.46833041	4.3984E-07
0.4483878	3.9193E-07
0.42517191	3.4584E-07
0.40444121	2.9248E-07
0.38031599	2.282E-07
0.3600097	1.6635E-07
0.33994579	1.1601E-07
0.32097301	5.1128E-08
0.29751459	-3.4982E-08
0.27496549	-1.3383E-07
0.25405291	-2.3025E-07
0.232898	-3.3697E-07
0.21095499	-4.3097E-07
0.1900425	-5.1404E-07
0.1682207	-5.8439E-07
0.14848921	-6.4867E-07
0.1254223	-7.0021E-07
0.1036104	-7.3599E-07
0.081483118	-7.6207E-07
0.056815811	-7.936E-07
0.037883401	-8.2392E-07
0.01488321	-8.5727E-07
-0.006916652	-9.2458E-07
-0.029104499	-9.9129E-07
-0.050104141	-1.0683E-06
-0.07229805	-1.1447E-06
-0.091624513	-1.2187E-06
-0.114946	-1.3254E-06
-0.1362063	-1.4237E-06
-0.1557935	-1.5152E-06
-0.17585351	-1.6226E-06
-0.1960347	-1.7232E-06
-0.2183274	-1.87E-06
-0.2382701	-2.0131E-06
-0.25803089	-2.1532E-06
-0.27845839	-2.329E-06
-0.29743129	-2.5498E-06
-0.31810129	-2.8323E-06
-0.34034729	-3.2774E-06
-0.36083561	-3.8875E-06
-0.38096011	-4.9044E-06
-0.4008421	-6.5527E-06
-0.420118	-9.2845E-06
-0.43939391	-1.376E-05
-0.46079129	-2.1692E-05
-0.48049149	-3.3216E-05
-0.4945544	-4.4199E-05
-0.4841285	-2.7621E-05
-0.46291289	-1.5631E-05
-0.44115171	-8.4434E-06
-0.42029989	-4.5248E-06
-0.3980538	-2.1653E-06
-0.37738371	-9.3671E-07
-0.355562	-1.7628E-07
-0.33246729	2.8823E-07
-0.3133733	5.1564E-07
-0.29252139	6.6117E-07
-0.2733061	7.4971E-07
-0.25366649	8.0429E-07
-0.23135979	8.4734E-07
-0.2085076	8.813E-07
-0.1887468	8.91E-07
-0.16850109	8.8494E-07
-0.1480701	8.7524E-07
-0.1286588	8.813E-07
-0.105792	8.7221E-07
-0.081930973	8.5947E-07
-0.062925823	8.619E-07
-0.04099258	8.5886E-07
-0.020593099	8.6129E-07
0.002382844	8.6614E-07
0.02491018	8.6917E-07
0.045297541	8.7221E-07
0.068218909	8.8251E-07
0.090346128	9.0313E-07
0.1094725	9.1465E-07
0.1303267	9.3648E-07
0.15037461	9.6438E-07
0.1730959	9.8015E-07
0.1950109	9.9713E-07
0.21944121	1.0165E-06
0.2426571	1.0335E-06
0.2652669	1.0572E-06
0.28466401	1.0735E-06
0.30460671	1.0851E-06
0.32497361	1.0923E-06
0.34849259	1.0942E-06
0.368011	1.1008E-06
0.38989341	1.1075E-06
0.4120788	1.1093E-06
0.43238521	1.7679E-06
0.4558436	1.1166E-06
0.47633171	1.1142E-06
0.49785039	1.1178E-06
0.51682317	1.1172E-06
0.5371902	1.1178E-06
0.55967867	1.1227E-06
0.58344018	1.1299E-06
0.60150379	1.1354E-06
0.62338609	1.1421E-06
0.64393502	1.1572E-06
0.66715091	1.179E-06
0.68897271	1.216E-06
0.71249157	1.2882E-06
0.73498023	1.4265E-06
0.75661999	1.706E-06
0.77553219	2.2506E-06
0.79547489	3.5622E-06
0.78547329	2.2008E-06
0.76431829	1.2743E-06
0.74225408	8.9646E-07
0.72012931	7.4789E-07
0.6982469	6.8968E-07
0.67497033	6.5026E-07
0.65157253	6.2236E-07
0.62938708	5.9993E-07
0.60786849	5.6961E-07
0.58822888	5.2558E-07
0.56925613	5.0255E-07
0.54937398	4.8289E-07
0.52615809	4.4287E-07
0.50445759	4.0527E-07
0.4817872	3.6525E-07
0.46220821	3.325E-07
