"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_tio2_hematite_new_700_5.txt"


  Open Circuit Potential (V): -0.2749
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-3.1207E-05
-0.4769758	-1.5282E-05
-0.4568513	-9.0638E-06
-0.43721169	-5.4836E-06
-0.41672349	-3.2247E-06
-0.39623529	-1.8518E-06
-0.37611079	-9.6504E-07
-0.35550141	-3.1916E-07
-0.33592239	1.3191E-07
-0.3168284	5.2801E-07
-0.29585531	9.4968E-07
-0.27603379	1.5002E-06
-0.25766721	2.3712E-06
-0.234027	4.262E-06
-0.2131144	6.9824E-06
-0.194566	1.0262E-05
-0.1695922	1.5906E-05
-0.1490583	2.1713E-05
-0.1270705	2.9165E-05
-0.1072651	3.7594E-05
-0.08727181	4.8796E-05
-0.0649506	6.6418E-05
-0.045284651	8.8196E-05
-0.0244305	0.00011945
-0.0041037672	0.00015918
0.01879942	0.00021558
0.038525999	0.0002721
0.059568081	0.0003411
0.079155207	0.00041168
0.099942677	0.00049112
0.1194631	0.00056898
0.13891689	0.00064914
0.1593588	0.00073506
0.1787459	0.00081832
0.1999941	0.00090836
0.21871381	0.00098737
0.2385959	0.0010701
0.2582961	0.0011518
0.2782993	0.0012309
0.29993919	0.0013143
0.3244887	0.0014058
0.3434009	0.0014727
0.36273739	0.0015384
0.38152829	0.0016016
0.40298641	0.0016684
0.42268661	0.0017291
0.44208369	0.0017841
0.46378419	0.0018447
0.48293889	0.0018958
0.50627607	0.0019544
0.52779472	0.0020057
0.54725248	0.002051
0.56689203	0.0020923
0.58725899	0.0021341
0.60695922	0.0021741
0.6275686	0.0022117
0.64757192	0.0022481
0.66903001	0.0022869
0.69109422	0.0023202
0.70885468	0.0023517
0.731525	0.0023851
0.75171018	0.0024154
0.77147102	0.0024463
0.79347461	0.002473
0.7863825	0.0024633
0.76728839	0.0024305
0.74383008	0.002396
0.72552413	0.0023651
0.70370227	0.0023305
0.68363839	0.0022953
0.66381699	0.0022614
0.64532912	0.0022262
0.62502283	0.0021856
0.60562563	0.0021462
0.58780462	0.0021098
0.56731641	0.0020656
0.54537338	0.0020159
0.5253095	0.0019656
0.50518489	0.0019147
0.48693961	0.0018662
0.46323869	0.0017977
0.44505391	0.0017467
0.42468691	0.0016855
0.40389571	0.00162
0.38274071	0.0015501
0.36310109	0.0014808
0.34279469	0.001409
0.32297331	0.0013329
0.30387929	0.0012594
0.28442159	0.0011823
0.26453951	0.0011007
0.2428996	0.0010091
0.22313879	0.00092389
0.204166	0.00084178
0.18295041	0.00074871
0.16422009	0.0006663
0.14519741	0.0005868
