"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_tio2_hematite_new_700_10.txt"


  Open Circuit Potential (V): -0.327
"E (Volts)"	"I (Amps/cm^2~)"
-0.49703971	-3.2774E-06
-0.47291449	-1.4297E-06
-0.4507291	-6.6556E-07
-0.42757371	-1.0169E-07
-0.40799481	2.5471E-07
-0.38787031	5.8901E-07
-0.3655636	9.4861E-07
-0.34374189	1.3246E-06
-0.3237386	1.8061E-06
-0.30500829	2.6138E-06
-0.2820954	4.5319E-06
-0.2610617	7.7568E-06
-0.2391187	1.3273E-05
-0.21790311	2.09E-05
-0.1968087	3.1204E-05
-0.1760174	4.3965E-05
-0.15415061	6.0289E-05
-0.13380571	7.8062E-05
-0.1149217	9.6643E-05
-0.094722331	0.0001185
-0.075383738	0.00014188
-0.058239691	0.00016422
-0.03624583	0.000196
-0.0151795	0.00023111
0.0060686939	0.00027161
0.02587408	0.00031497
0.045600649	0.00036457
0.064999849	0.00041854
0.084465742	0.00047784
0.1047197	0.00054296
0.1253071	0.00061179
0.1439122	0.00067612
0.1646269	0.00074731
0.1845535	0.00081529
0.20480751	0.00088308
0.22701821	0.00095463
0.2451424	0.0010105
0.26599431	0.0010726
0.28666431	0.001132
0.30733439	0.0011875
0.32897431	0.0012424
0.34746221	0.0012867
0.36770791	0.0013336
0.38668069	0.0013753
0.40565351	0.0014126
0.4264448	0.0014497
0.44578129	0.0014845
0.46481469	0.0015173
0.48421189	0.0015495
0.50567001	0.0015833
0.52718848	0.0016159
0.54791921	0.0016441
0.56864989	0.0016715
0.58871382	0.0016979
0.60865653	0.0017224
0.62999332	0.0017507
0.65090579	0.0017738
0.67018169	0.0017966
0.69024563	0.0018185
0.709279	0.0018363
0.7280699	0.0018556
0.7486794	0.0018759
0.76837963	0.0018974
0.79026192	0.0019154
0.78995889	0.0019138
0.77116787	0.0018961
0.75134653	0.0018746
0.7316463	0.0018539
0.70958197	0.0018328
0.69085169	0.0018105
0.66993922	0.0017875
0.6499359	0.0017627
0.6301145	0.0017393
0.6112023	0.0017135
0.58895618	0.0016849
0.5678013	0.001654
0.54804039	0.0016269
0.52749163	0.0015965
0.50609422	0.0015629
0.4817872	0.0015223
0.4625113	0.0014895
0.44372031	0.0014532
0.42001951	0.0014111
0.39765221	0.0013637
0.37655789	0.0013209
0.35570589	0.0012729
0.3366119	0.0012254
0.31612369	0.001172
0.2970297	0.001119
0.2777538	0.0010645
0.2578111	0.0010036
0.238414	0.00094183
0.2173197	0.00087325
0.1957404	0.00079916
0.1753128	0.0007276
0.1514658	0.00064223
0.1331881	0.00057856
0.1109093	0.00050258
0.091037229	0.00043806
0.069958784	0.00037567
0.050347392	0.00032388
0.029547799	0.00027598
0.01020315	0.00023832
-0.0098629072	0.00020443
-0.02974103	0.00017568
-0.050807361	0.00014822
-0.074874513	0.0001194
-0.095340677	9.7068E-05
-0.1155462	7.717E-05
-0.1360123	5.9239E-05
-0.155745	4.4044E-05
-0.1762111	3.0846E-05
-0.1995448	1.9019E-05
-0.2187517	1.1546E-05
-0.2382701	6.0576E-06
-0.2583946	2.122E-06
-0.2788828	-3.5456E-07
-0.29773429	-1.5698E-06
-0.31991979	-2.3387E-06
-0.3397412	-2.7917E-06
-0.36035061	-3.258E-06
-0.3805964	-3.9869E-06
-0.40035719	-5.1167E-06
-0.42236081	-7.1979E-06
-0.44466749	-1.0735E-05
-0.46370089	-1.5489E-05
-0.48540139	-2.3901E-05
-0.49370581	-2.8307E-05
-0.48303741	-1.6031E-05
-0.4609732	-8.1493E-06
-0.44054559	-4.2222E-06
-0.41836011	-1.816E-06
-0.39544731	-4.5037E-07
-0.37441349	4.3018E-07
-0.35083401	1.1136E-06
-0.33198231	1.6332E-06
-0.311676	2.2439E-06
-0.29143029	3.2966E-06
-0.27033591	5.2559E-06
-0.2514843	8.2364E-06
-0.2312386	1.3101E-05
-0.209235	2.0791E-05
-0.1891105	3.0051E-05
-0.1695921	4.138E-05
-0.1506891	5.4651E-05
-0.1307442	7.1084E-05
-0.1105994	9.0011E-05
-0.090981908	0.00011033
-0.071831264	0.00013221
-0.051219601	0.00015765
-0.031153539	0.00018509
-0.01280916	0.00021286
0.007735814	0.00024809
0.02879608	0.00029077
0.04960173	0.00033934
0.069734477	0.00039355
0.090400703	0.00045492
0.1112003	0.00052186
0.1304661	0.00058747
0.1502654	0.00065617
0.17059819	0.00072651
0.1898641	0.00079309
0.2084024	0.00085579
0.2284124	0.00092237
0.24871869	0.00098598
0.26720661	0.0010427
0.28908899	0.0011062
0.30860731	0.0011589
0.32764071	0.0012091
0.34934121	0.0012625
0.36995071	0.0013109
0.39153001	0.0013575
0.41074529	0.0013962
0.43086979	0.0014345
0.45002449	0.0014695
0.46814859	0.0015017
0.488455	0.001534
0.50845832	0.0015652
0.52821898	0.0015947
0.55052572	0.0016258
0.5724687	0.0016555
0.59247202	0.0016809
0.61441499	0.0017088
0.63623673	0.0017346
0.65660369	0.0017583
0.67600077	0.0017809
0.69794381	0.0018046
0.72012931	0.0018268
0.74098122	0.0018509
0.76274228	0.0018681
0.7815938	0.0018863
0.80080909	0.0019049
0.77995718	0.0018844
0.75752932	0.0018606
0.73843533	0.0018399
0.71867448	0.0018213
0.69800442	0.0017988
0.67794049	0.0017739
0.65563381	0.0017494
0.63732779	0.0017276
0.61708212	0.0017008
0.59738189	0.0016752
0.57834852	0.0016495
0.55640548	0.0016215
0.53591728	0.0015907
0.51664138	0.001562
0.49463779	0.0015266
0.47257361	0.0014903
0.45402509	0.0014574
0.43359751	0.0014187
0.41389731	0.0013791
0.39292419	0.0013358
0.37364829	0.0012912
0.3532207	0.0012427
0.33097461	0.001187
0.31066829	0.0011324
0.28981641	0.0010735
0.27005559	0.0010139
0.24944609	0.00094911
0.2270788	0.00087616
0.20877279	0.00081425
0.18489011	0.00073239
0.16470499	0.00066066
0.14374851	0.0005879
0.123543	0.00051841
0.1027374	0.00044958
0.082798623	0.00038816
0.057591781	0.00032
0.037925839	0.00027495
0.016920131	0.00023408
-0.002139597	0.00020243
-0.023612101	0.00017162
-0.044217691	0.00014498
-0.064217083	0.00012144
-0.084283128	9.955E-05
-0.1033489	8.0417E-05
-0.1272099	5.9203E-05
-0.1455301	4.453E-05
-0.1663357	3.1495E-05
-0.1864018	2.0906E-05
-0.20712259	1.259E-05
-0.2291777	6.2614E-06
-0.25378779	1.7072E-06
-0.27554891	-6.1634E-07
-0.29743129	-1.83E-06
-0.3172527	-2.3769E-06
-0.33683169	-2.7462E-06
-0.3561075	-3.1616E-06
-0.37653509	-3.7929E-06
-0.39678079	-4.7874E-06
-0.41690531	-6.3962E-06
-0.43581751	-8.7242E-06
-0.45545709	-1.2463E-05
-0.476309	-1.8729E-05
-0.489099	-2.4126E-05
