"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_tio2_hematite_new_700_11_dark.txt"


  Open Circuit Potential (V): -0.1102
"E (Volts)"	"I (Amps/cm^2~)"
-0.49807021	-2.131E-05
-0.48061281	-1.0128E-05
-0.46042761	-5.8219E-06
-0.4392727	-3.252E-06
-0.41981491	-1.782E-06
-0.398175	-8.3423E-07
-0.37550461	-2.6663E-07
-0.3518644	1.0874E-07
-0.32846671	2.7732E-07
-0.30494761	4.0648E-07
-0.2815499	5.1079E-07
-0.2608192	5.969E-07
-0.2377851	6.5208E-07
-0.21572091	7.1211E-07
-0.1930505	7.7942E-07
-0.1689254	8.2369E-07
-0.1459059	8.91E-07
-0.12729479	9.2981E-07
-0.106956	9.8136E-07
-0.085762307	1.0396E-06
-0.063101619	1.1045E-06
-0.041168381	1.1706E-06
-0.01785296	1.2567E-06
0.0034134269	1.3313E-06
0.022079101	1.4119E-06
0.043533418	1.498E-06
0.06259314	1.5732E-06
0.082059033	1.6478E-06
0.1028526	1.7297E-06
0.1213788	1.7976E-06
0.1427664	1.8728E-06
0.16241419	1.934E-06
0.18248031	1.9947E-06
0.2049167	2.048E-06
0.2261696	2.0905E-06
0.2453849	2.1244E-06
0.26641861	2.1493E-06
0.28484589	2.1675E-06
0.30630389	2.1772E-06
0.32697389	2.1839E-06
0.3470985	2.1839E-06
0.36704111	2.179E-06
0.38419551	2.179E-06
0.4071689	2.1754E-06
0.4285664	2.1784E-06
0.4489333	2.1748E-06
0.4717249	2.1681E-06
0.49184951	2.1675E-06
0.51500481	2.1699E-06
0.53458369	2.1687E-06
0.55458689	2.1687E-06
0.57459033	2.173E-06
0.59453291	2.1784E-06
0.61738509	2.1887E-06
0.63787341	2.196E-06
0.65690678	2.2099E-06
0.67697072	2.2233E-06
0.69697392	2.2372E-06
0.71782577	2.2512E-06
0.73764718	2.2766E-06
0.75862038	2.3276E-06
0.7779569	2.4161E-06
0.79832393	2.598E-06
0.78323048	2.0238E-06
0.76377273	1.8358E-06
0.74352711	1.7266E-06
0.72376621	1.6551E-06
0.70406598	1.5981E-06
0.68206239	1.5471E-06
0.65824032	1.4944E-06
0.63587308	1.444E-06
0.61296022	1.3974E-06
0.59313881	1.3458E-06
0.57198381	1.3015E-06
0.55052572	2.0238E-06
0.52834028	1.2033E-06
0.50476068	1.1421E-06
0.4855454	1.0996E-06
0.4634206	1.0426E-06
0.44408399	1.1548E-06
0.42026201	9.2072E-07
0.4004406	8.6857E-07
0.3760123	7.9034E-07
0.35140219	7.0484E-07
0.32830751	6.1994E-07
0.3076981	5.3383E-07
0.28527021	4.2528E-07
0.26326659	3.0703E-07
0.2395657	1.6028E-07
0.220108	3.6574E-08
0.1991955	-1.0654E-07
0.177798	-2.8208E-06
0.1551277	-3.7457E-07
0.1340792	-5.098E-07
0.1120005	-5.8318E-07
0.089054883	-6.3229E-07
0.067188323	-6.8202E-07
0.04330305	-7.2508E-07
0.021436511	-7.7965E-07
-0.00070890487	-8.2695E-07
-0.023915211	-8.9244E-07
-0.043647841	-9.6097E-07
-0.065859944	-1.0374E-06
-0.084986337	-1.1156E-06
-0.1069923	-1.2211E-06
-0.12692501	-1.3139E-06
