"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\1-butanol_4_20240118_dark.txt"


  Open Circuit Potential (V): -0.2741
"E (Volts)"	"I (Amps/cm^2~)"
-0.49800959	-6.0899E-05
-0.4769758	-3.5673E-05
-0.45788169	-2.2827E-05
-0.4334535	-1.2591E-05
-0.4139958	-7.4932E-06
-0.39320451	-4.2574E-06
-0.3727769	-2.1453E-06
-0.35325861	-7.8684E-07
-0.3322854	2.0943E-07
-0.31131229	9.6398E-07
-0.2911272	1.4726E-06
-0.27112389	1.8825E-06
-0.2497265	2.233E-06
-0.2299657	2.4574E-06
-0.209235	2.6514E-06
-0.1871708	2.7794E-06
-0.1642928	2.874E-06
-0.1435841	2.8885E-06
-0.1246092	2.8564E-06
-0.1041734	2.7891E-06
-0.083204038	2.7036E-06
-0.063374422	2.5865E-06
-0.043071929	2.4489E-06
-0.021969231	2.3112E-06
-0.0023457131	2.1851E-06
0.017750651	2.0717E-06
0.038841229	1.9504E-06
0.059731759	1.8564E-06
0.081483133	1.7466E-06
0.1013127	1.6842E-06
0.121591	1.6302E-06
0.1422208	1.575E-06
0.16331141	1.5235E-06
0.1826015	1.5095E-06
0.2046863	1.5914E-06
0.2251391	1.4391E-06
0.2465366	1.416E-06
0.2681765	1.387E-06
0.2881797	1.3682E-06
0.30872861	1.3359E-06
0.32879251	1.3191E-06
0.34946251	1.2996E-06
0.36843529	1.2815E-06
0.3889235	1.2664E-06
0.40959361	1.2488E-06
0.42965749	1.2427E-06
0.44899401	1.2202E-06
0.4690578	1.2151E-06
0.4911221	1.213E-06
0.51251948	1.2046E-06
0.53476548	1.2282E-06
0.55519313	1.2099E-06
0.57640868	1.2324E-06
0.59671509	1.2615E-06
0.6147787	1.2972E-06
0.63684279	1.393E-06
0.65872532	1.5477E-06
0.67891037	1.7958E-06
0.69933802	2.2099E-06
0.7199474	2.9358E-06
0.73958689	4.2087E-06
0.75983268	6.9363E-06
0.78074521	1.3134E-05
0.79977858	2.4541E-05
0.78189689	1.2965E-05
0.76237857	6.4948E-06
0.74201161	3.1717E-06
0.72146279	1.6332E-06
0.70042902	9.6489E-07
0.67824358	6.7747E-07
0.6559369	5.5358E-07
0.63520628	5.1685E-07
0.6141119	4.9479E-07
0.59319937	4.9461E-07
