"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\1-butanol_4_20240118_light.txt"


  Open Circuit Potential (V): -0.3367
"E (Volts)"	"I (Amps/cm^2~)"
-0.4949787	-3.6656E-05
-0.47170219	-1.9763E-05
-0.4507291	-1.0065E-05
-0.4299984	-4.0021E-06
-0.40896469	-3.2189E-07
-0.38768849	1.9474E-06
-0.36659411	3.4883E-06
-0.3473182	4.809E-06
-0.32719371	6.6877E-06
-0.30731171	9.6973E-06
-0.2860961	1.6112E-05
-0.2663959	2.6987E-05
-0.2454228	4.5713E-05
-0.2234191	7.4106E-05
-0.2027491	0.00010779
-0.1842612	0.00014288
-0.16315299	0.00018757
-0.1428445	0.0002339
-0.1224693	0.00028441
-0.1034944	0.00033546
-0.08351928	0.00039167
-0.063210733	0.00045201
-0.043120429	0.00051325
-0.024472941	0.00057104
-0.0044493149	0.00063507
0.016386651	0.00069565
0.039477769	0.00076271
0.059707511	0.00081868
0.079876617	0.00086962
0.1007611	0.00091861
0.1193176	0.00095839
0.1430696	0.0010034
0.16476031	0.0010384
0.18671779	0.0010686
0.210991	0.0010935
0.23059461	0.0011109
0.2511434	0.0011247
0.2728439	0.0011361
0.29236221	0.0011438
0.31175941	0.0011504
0.33182329	0.0011564
0.35170531	0.001161
0.37286031	0.0011653
0.3946214	0.0011677
0.41517031	0.0011715
0.43638581	0.0011736
0.45693469	0.0011766
0.47457391	0.0011787
0.49500149	0.0011795
0.5148229	0.0011815
0.53919047	0.0011835
0.55883008	0.0011846
0.57725739	0.001186
0.59950352	0.0011876
0.61987042	0.0011892
0.63884318	0.0011912
0.65702802	0.0011916
0.67794049	0.0011931
0.69764072	0.0011944
0.7192806	0.0011954
0.73716241	0.0011964
0.76122689	0.0011978
0.78547329	0.0012022
0.79662663	0.0012031
0.77632028	0.0011978
0.75425601	0.001196
0.73255551	0.0011941
0.71315843	0.0011918
0.69357938	0.0011898
0.67351562	0.0011884
0.65211809	0.0011869
0.63059938	0.0011846
0.61144477	0.001183
0.59083539	0.001181
0.57022589	0.0011786
0.55028331	0.0011769
0.5284009	0.0011744
0.50809449	0.0011727
0.48645461	0.0011693
0.4657239	0.0011668
0.44535699	0.0011646
0.42577809	0.0011614
0.4045018	0.0011582
0.38540781	0.0011545
0.3645559	0.0011509
0.34461319	0.0011455
0.32436749	0.0011404
0.30309129	0.0011326
0.28405789	0.001124
0.26375151	0.0011139
0.2443544	0.0011024
0.22410861	0.0010858
0.2030749	0.0010651
0.1838596	0.0010426
0.16300771	0.0010105
0.1430089	0.00097828
0.1237673	0.00094105
0.1035982	0.00089696
0.080822334	0.00084233
0.06044104	0.00079042
0.03867149	0.00073039
0.01822958	0.00067109
-0.001133263	0.00061251
-0.021375131	0.00055036
