"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\2-ethyl-1-butanol_2_20240119_dark.txt"


  Open Circuit Potential (V): -0.1976
"E (Volts)"	"I (Amps/cm^2~)"
-0.49710029	-4.4053E-05
-0.47533911	-2.8264E-05
-0.45563889	-1.9714E-05
-0.43599939	-1.3664E-05
-0.41478381	-1.1176E-05
-0.39411369	-5.3101E-06
-0.3743529	-4.6655E-06
-0.3530767	-3.9615E-06
-0.33434641	-6.0622E-07
-0.31343389	-2.9634E-07
-0.2937943	-1.5323E-07
-0.27276051	1.5902E-06
-0.25196931	2.1347E-06
-0.23293591	2.5611E-06
-0.2128114	2.934E-06
-0.1922625	3.0474E-06
-0.17068321	2.3737E-06
-0.149707	3.5398E-06
-0.12906501	2.3524E-06
-0.1090353	2.8182E-06
-0.087659813	3.0328E-06
-0.068563707	3.2706E-06
-0.048194539	3.085E-06
-0.02989259	3.1287E-06
-0.01066312	2.7848E-06
0.01043352	2.8479E-06
0.0304632	2.484E-06
0.050820239	2.3488E-06
0.068115853	2.2475E-06
0.089539863	1.7527E-06
0.1102243	2.0274E-06
0.1297144	2.2566E-06
0.15087169	2.2245E-06
0.1716167	2.1317E-06
0.1907734	1.8788E-06
0.2111305	1.8849E-06
0.23138259	1.652E-06
0.25162831	1.5114E-06
0.27205589	1.7442E-06
0.291453	1.4932E-06
0.31230491	1.6581E-06
0.33533901	1.5708E-06
0.355221	1.5077E-06
0.37631539	1.6593E-06
0.39722791	1.7042E-06
0.41710991	1.6023E-06
0.4381437	1.626E-06
0.45832881	1.632E-06
0.47705919	1.5156E-06
0.49785039	1.5235E-06
0.51870233	1.7958E-06
0.5388875	1.5908E-06
0.55907261	1.7842E-06
0.57853031	1.7764E-06
0.6005339	1.8091E-06
0.62399232	1.9455E-06
0.64551097	2.0729E-06
0.66539299	2.2093E-06
0.68576002	2.6065E-06
0.70497519	2.9965E-06
0.72534221	3.601E-06
0.7457698	5.0837E-06
0.76419711	7.67E-06
0.7850489	1.3048E-05
0.79814202	1.8236E-05
0.77347142	7.8562E-06
0.75352859	4.407E-06
0.73279798	2.3427E-06
0.71388578	1.5477E-06
0.69388252	1.2003E-06
0.67272753	1.1706E-06
0.65187562	8.8918E-07
0.63199359	7.2788E-07
0.61077797	1.0074E-06
0.58974433	7.1757E-07
0.57077152	6.4177E-07
0.54810113	8.3461E-07
0.52888578	6.7937E-07
0.50754899	8.8858E-07
0.48639399	7.6669E-07
0.4654209	7.8488E-07
0.44432649	5.1503E-07
0.4231109	4.0224E-07
0.40050119	4.4287E-07
0.38201329	7.0241E-07
0.35982779	5.69E-07
0.34067321	3.6222E-07
0.3195788	1.3845E-07
0.3007879	1.1238E-07
0.28139079	-4.5291E-08
0.2604782	1.8332E-07
0.2392626	-2.8785E-07
0.2183501	-3.6547E-07
0.1983469	-4.8433E-07
0.1782224	-3.7396E-07
0.1600982	-1.12E-07
0.1389412	-6.6747E-07
0.1180325	-1.5808E-07
0.097590543	-5.2072E-07
0.07654845	-9.4338E-07
0.055706419	-9.3489E-07
0.036198091	-4.9343E-07
0.0160896	-9.4156E-07
-0.0040128329	-9.6036E-07
-0.024915479	-1.7293E-06
-0.045157339	-1.3479E-06
-0.064059451	-1.0234E-06
-0.085022733	-1.6996E-06
-0.1053313	-1.2072E-06
-0.12623391	-1.0083E-06
-0.1483915	-3.7274E-06
-0.16903339	-2.4509E-06
-0.1891298	-1.4964E-06
-0.209693	-2.4764E-06
-0.2307537	-2.4982E-06
-0.2496659	-3.0992E-06
-0.26997221	-5.6073E-06
-0.29064229	-3.6255E-06
-0.31131229	-5.7026E-06
