"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\2-ethyl-1-butanol_6_20240119_light.txt"


  Open Circuit Potential (V): -0.3145
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-3.3471E-05
-0.48055211	-2.2044E-05
-0.45921531	-1.5052E-05
-0.43642369	-9.7096E-06
-0.41411701	-5.8826E-06
-0.39332569	-3.0604E-06
-0.37223139	-7.7419E-07
-0.34925789	1.2391E-06
-0.33004269	2.7393E-06
-0.3092514	4.3409E-06
-0.2893087	6.2535E-06
-0.26869929	9.1667E-06
-0.2496659	1.3442E-05
-0.2279653	2.1343E-05
-0.20620421	3.3832E-05
-0.1862009	5.0653E-05
-0.1658871	7.3584E-05
-0.1451118	0.00010454
-0.12514269	0.00013896
-0.1032459	0.00018281
-0.083482914	0.0002248
-0.063774534	0.00026888
-0.043084051	0.00031685
-0.023181681	0.00036348
-0.002424523	0.00041005
0.01926622	0.00046232
0.041090328	0.00051161
0.061380681	0.00055618
0.085393272	0.000609
0.1049501	0.0006469
0.1252344	0.00069031
0.1447185	0.00073294
0.164542	0.00076956
0.1847536	0.00080989
0.20344961	0.00084591
0.2241087	0.00088496
0.2459304	0.0009237
0.26847959	0.00096081
0.28908899	0.00099204
0.31121379	0.0010241
0.33042911	0.0010513
0.35085669	0.0010764
0.3722541	0.0011009
0.39437899	0.0011252
0.41213939	0.0011433
0.4344461	0.0011619
0.45729831	0.0011801
0.47936249	0.001197
0.50112373	0.0012126
0.52246052	0.0012273
0.54300928	0.001236
0.56501287	0.0012504
0.58374327	0.0012602
0.60550439	0.001267
0.62684119	0.0012758
0.65011781	0.0012829
0.66806012	0.0012892
0.69182158	0.0012971
0.71370387	0.0013003
0.73534381	0.0013061
0.75371051	0.0013101
0.773835	0.0013124
0.79353517	0.0013186
0.79026192	0.0013148
0.76831901	0.0013126
0.74661839	0.0013058
0.72388738	0.0013006
0.70406598	0.0012929
0.68418401	0.0012904
0.66557479	0.0012829
0.6446017	0.0012788
0.62350738	0.0012692
0.60374647	0.0012615
0.58186418	0.0012522
0.56216401	0.0012394
0.54216069	0.001229
0.52197558	0.0012157
0.50215417	0.0012017
0.4828783	0.0011892
0.45923799	0.0011706
0.4371132	0.001151
0.41662499	0.0011306
0.39668241	0.0011104
0.37686089	0.0010878
0.3585549	0.0010655
0.33655131	0.0010377
0.31442651	0.0010054
0.29418069	0.00097318
0.27417749	0.00094202
0.25229511	0.00090388
0.2314432	0.00086543
0.2129553	0.00083099
0.1929521	0.00079115
0.17076661	0.00074586
0.1503806	0.00070444
0.1303388	0.00066193
