"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\meoh_7_20240119_dark.txt"


  Open Circuit Potential (V): 0.0222
"E (Volts)"	"I (Amps/cm^2~)"
-0.49703971	-2.827E-05
-0.47746071	-2.0272E-05
-0.45527521	-1.4662E-05
-0.43496889	-1.1214E-05
-0.41235909	-8.5126E-06
-0.3932651	-6.7958E-06
-0.3733831	-5.392E-06
-0.35459211	-4.2586E-06
-0.3360436	-3.332E-06
-0.31543419	-2.4333E-06
-0.29440051	-1.6468E-06
-0.27057841	-8.5788E-07
-0.24833231	-2.1569E-07
-0.227541	3.0629E-07
-0.2067498	7.7876E-07
-0.18262459	1.2824E-06
-0.1636259	1.6057E-06
-0.1428566	1.9261E-06
-0.1228148	2.1948E-06
-0.102579	2.4325E-06
-0.083416224	2.6144E-06
-0.062786378	2.7684E-06
-0.041883729	2.9012E-06
-0.020653719	3.011E-06
0.0001761841	3.1068E-06
0.020133119	3.196E-06
0.040678099	3.2984E-06
0.061701991	3.3664E-06
0.081464931	3.4143E-06
0.1018826	3.4391E-06
0.1218395	3.4367E-06
0.1428574	3.4076E-06
0.16248091	3.3639E-06
0.18263181	3.3033E-06
0.2029828	3.2311E-06
0.2226539	3.1529E-06
0.24259651	3.0668E-06
0.2628423	2.9752E-06
0.28339109	2.8885E-06
0.30339429	2.8042E-06
0.32424629	2.7114E-06
0.34388581	2.6314E-06
0.36419219	2.5532E-06
0.38528651	2.4749E-06
0.40547171	2.4088E-06
0.42571741	2.3476E-06
0.44687241	2.2888E-06
0.4699671	2.2324E-06
0.49027339	2.1869E-06
0.50997359	2.1548E-06
0.53082561	2.1202E-06
0.55337459	2.0935E-06
0.57380229	2.0784E-06
0.5936237	2.0644E-06
0.61350572	2.0559E-06
0.63241792	2.0614E-06
0.65302742	2.079E-06
0.67193961	2.105E-06
0.69285202	2.1578E-06
0.71346152	2.2494E-06
0.73328292	2.4113E-06
0.75383168	2.7254E-06
0.77480477	3.3906E-06
0.79383832	4.6435E-06
0.78795862	3.4652E-06
0.76662183	2.2488E-06
0.745588	1.6987E-06
0.7234025	1.4276E-06
0.70085341	1.2949E-06
0.68030459	1.1909E-06
0.65854341	1.1138E-06
0.63835829	1.0525E-06
0.61847627	1.0014E-06
0.59974593	9.5095E-07
0.57968199	9.0616E-07
0.55846637	8.4852E-07
0.53803879	7.9336E-07
0.51567161	7.491E-07
0.4959107	6.9305E-07
0.47457391	6.3474E-07
0.45263091	5.7601E-07
0.43002111	5.1667E-07
0.4089874	4.5667E-07
0.38831729	3.9678E-07
0.36607131	3.3132E-07
0.3449769	2.6641E-07
0.325701	2.0864E-07
0.30484909	1.3839E-07
0.28490651	6.9177E-08
0.262721	-6.7089E-09
0.24065679	-8.6292E-08
0.2203505	-1.7054E-07
0.2013777	-2.5128E-07
0.180647	-3.4607E-07
0.1614923	-4.5911E-07
0.1384501	-5.8803E-07
0.1176687	-7.5623E-07
0.094953462	-1.628E-06
0.07638476	-1.0998E-06
0.05326939	-1.3327E-06
0.033227589	-1.5346E-06
0.01373138	-1.7711E-06
-0.006977275	-2.0422E-06
-0.02908631	-2.386E-06
-0.05006171	-2.7656E-06
-0.070964359	-3.1895E-06
-0.090927348	-3.6267E-06
-0.1112965	-4.0931E-06
-0.1317324	-4.5649E-06
-0.1512953	-5.0063E-06
-0.17185239	-5.4466E-06
-0.1921609	-5.8504E-06
-0.2114571	-6.1925E-06
-0.2314205	-6.5163E-06
-0.25148439	-6.828E-06
-0.27227569	-7.1585E-06
-0.29149091	-7.5223E-06
-0.31143361	-8.0105E-06
-0.33192179	-8.626E-06
-0.3521069	-9.3973E-06
-0.3724739	-1.0405E-05
-0.39174971	-1.1594E-05
-0.4124198	-1.3272E-05
-0.43175629	-1.5268E-05
-0.45000169	-1.7825E-05
-0.47182351	-2.2002E-05
-0.49516061	-2.9083E-05
-0.48158261	-1.6036E-05
-0.46248859	-1.1439E-05
-0.44242471	-8.2749E-06
