"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\meoh_7_20240119_light.txt"


  Open Circuit Potential (V): -0.2591
"E (Volts)"	"I (Amps/cm^2~)"
-0.49619111	-2.0242E-05
-0.47600591	-1.366E-05
-0.4575181	-9.8576E-06
-0.43660551	-6.925E-06
-0.4166629	-4.9184E-06
-0.39678079	-3.366E-06
-0.37629259	-2.0119E-06
-0.35659239	-8.6273E-07
-0.3373166	1.6058E-07
-0.31622219	1.267E-06
-0.29555219	2.4082E-06
-0.27379099	3.8284E-06
-0.25518191	5.4676E-06
-0.23135979	8.3656E-06
-0.21105351	1.1886E-05
-0.1929293	1.5777E-05
-0.17068321	2.1586E-05
-0.15048289	2.7569E-05
-0.1299804	3.4699E-05
-0.1105448	4.1842E-05
-0.090302937	5.0052E-05
-0.068733446	5.95E-05
-0.05009808	6.8372E-05
-0.02886807	7.8985E-05
-0.008438278	8.9671E-05
0.01239769	0.0001015
0.032427371	0.00011378
0.052378241	0.00012663
0.07288079	0.0001406
0.093037777	0.00015506
0.1139889	0.00017086
0.13501281	0.00018696
0.15343601	0.00020115
0.17518739	0.0002188
0.19547769	0.00023584
0.216956	0.00025421
0.2361712	0.00027143
0.2568413	0.00029011
0.2753292	0.00030793
0.29502931	0.00032649
0.31539631	0.00034692
0.3349753	0.00036766
0.3558878	0.00038973
0.37473929	0.00040962
0.39686421	0.00043412
0.41692811	0.00045747
0.438568	0.00048245
0.45893499	0.00050567
0.47869581	0.00052847
0.49942651	0.0005537
0.518278	0.00057747
0.53828132	0.00060069
0.55822402	0.00062555
0.57980323	0.0006526
0.60004902	0.00067649
0.6218707	0.00070317
0.64260137	0.00072839
0.66278648	0.00075307
0.68248671	0.00077684
0.70182317	0.00079994
0.72291762	0.0008242
0.74273902	0.00084742
0.76268172	0.00087065
0.78195763	0.00089302
0.80020303	0.00091218
0.77710831	0.00087156
0.75643831	0.00083663
0.73691988	0.00080528
0.71612859	0.00077187
0.69382191	0.00073694
0.67181832	0.00070292
0.65126938	0.00067158
0.6292659	0.00063907
0.60665607	0.00060627
0.58798641	0.00058068
0.56604338	0.00054969
0.54591888	0.00052186
0.5254913	0.00049427
0.50597298	0.00047032
0.4867577	0.0004454
0.4662089	0.00042054
0.4455995	0.00039725
0.42626289	0.00037476
0.40644151	0.00035287
0.38546839	0.00033128
0.3641316	0.00030878
0.34140059	0.00028768
0.32091239	0.00026852
0.29793891	0.00024821
0.27811751	0.00023159
0.25859919	0.00021643
0.2347164	0.00019764
0.21459191	0.00018302
0.1947705	0.00016901
0.17270631	0.00015456
0.1501442	0.00013976
0.1301569	0.00012715
0.1057139	0.00011235
0.085205339	0.00010045
0.065636389	8.9853E-05
0.044994421	7.9464E-05
0.025558829	7.052E-05
0.0053897221	6.1909E-05
-0.01525225	5.3911E-05
-0.034821201	4.6708E-05
-0.055523802	3.9645E-05
-0.075620167	3.3073E-05
-0.095055759	2.7005E-05
-0.113679	2.1501E-05
-0.13558801	1.544E-05
-0.1534777	1.0725E-05
-0.17391349	5.8429E-06
-0.1961378	1.3093E-06
-0.2151147	-1.85E-06
-0.2349968	-4.4084E-06
-0.2552425	-6.2216E-06
-0.27488211	-7.3628E-06
-0.2946429	-8.1827E-06
-0.31476739	-8.8722E-06
-0.33422521	-9.4616E-06
-0.3546527	-1.0298E-05
-0.37368619	-1.117E-05
-0.39265889	-1.2334E-05
-0.41308659	-1.4031E-05
-0.43454459	-1.6415E-05
-0.4553965	-1.9694E-05
-0.4740662	-2.3719E-05
-0.4932209	-3.0224E-05
-0.4962517	-3.1595E-05
-0.48170379	-1.7105E-05
-0.46230671	-1.185E-05
-0.44284901	-8.387E-06
-0.42187589	-5.7759E-06
-0.39975101	-3.7602E-06
-0.37962651	-2.2987E-06
-0.35974449	-9.9443E-07
-0.34058991	1.3906E-07
-0.31998041	1.3078E-06
-0.30052271	2.401E-06
-0.27973139	3.6999E-06
-0.25857639	5.3469E-06
-0.23887619	7.436E-06
-0.2186911	1.0311E-05
-0.1978392	1.4124E-05
-0.1794119	1.8332E-05
-0.1595217	2.3467E-05
-0.1394739	2.9505E-05
-0.1182924	3.6119E-05
-0.098650672	4.2885E-05
-0.078275427	5.0367E-05
-0.058827732	5.808E-05
-0.03878592	6.6509E-05
-0.017549841	7.5993E-05
0.0023525329	8.5454E-05
0.02312181	9.6255E-05
0.041957229	0.00010669
0.062065721	0.00011859
0.082428843	0.0001316
0.1029314	0.00014518
0.1250222	0.00016063
0.1441244	0.00017416
0.1642208	0.00018882
0.1835836	0.0002035
0.2046075	0.00021983
0.2256847	0.00023662
0.24768829	0.00025506
0.26944941	0.00027386
0.28975579	0.00029199
0.30909231	0.00031
0.32903489	0.00032885
0.3497656	0.00034941
0.3694658	0.00036948
0.38777179	0.00038852
0.4104422	0.0004129
0.42947561	0.00043248
0.45056999	0.0004565
0.47124001	0.00048014
0.49215251	0.00050397
0.51112533	0.00052605
0.53088611	0.00054933
0.55137432	0.00057377
0.5705896	0.00059651
0.58980489	0.00061918
0.61011118	0.00064496
0.62987202	0.00066879
0.64732939	0.00069025
0.6698786	0.0007176
0.69030619	0.00074125
0.71024883	0.00076508
0.73061579	0.00078885
0.75213438	0.00081486
0.7740168	0.00084027
0.79220158	0.00086088
0.78959513	0.00085027
0.76704597	0.00081092
0.74740642	0.00078066
0.72661507	0.00074755
0.7073999	0.00071687
0.68600237	0.00068546
0.66666591	0.00065636
0.64678389	0.00062725
0.62556827	0.00059711
0.60556507	0.00056922
0.58671337	0.00054272
0.56737697	0.00051932
0.54810113	0.0004933
0.52567321	0.00046523
0.5053668	0.00043994
0.48306009	0.00041387
0.4639661	0.0003924
0.44390219	0.0003696
0.42305031	0.00034759
0.40316829	0.00032758
0.38286191	0.00030757
0.3654651	0.00029041
0.34170359	0.00026973
0.32176101	0.00025288
0.3014546	0.00023553
0.28181511	0.00022001
0.26144809	0.00020509
0.2370199	0.00018696
0.21774399	0.00017387
0.197377	0.00016016
0.17537341	0.00014587
0.15602461	0.00013418
0.1360555	0.000122
0.1142739	0.00010925
0.094044112	9.8009E-05
0.073468819	8.7171E-05
0.05311178	7.7462E-05
0.031996951	6.8123E-05
0.01217338	6.0167E-05
-0.0081957877	5.257E-05
-0.029231809	4.5379E-05
-0.049328171	3.8868E-05
-0.069430597	3.2666E-05
-0.08992102	2.6568E-05
-0.1092839	2.1101E-05
-0.13044719	1.5327E-05
-0.1518712	1.0024E-05
-0.1729739	5.2462E-06
-0.1913971	1.5769E-06
-0.2103537	-1.5716E-06
-0.2317235	-4.2495E-06
-0.25148439	-6.0014E-06
-0.27191189	-7.2434E-06
-0.29409739	-8.1833E-06
-0.31488869	-8.8358E-06
-0.3348313	-9.4907E-06
-0.35386479	-1.022E-05
-0.37392861	-1.1205E-05
-0.39387131	-1.2507E-05
-0.4141776	-1.4227E-05
-0.43405959	-1.6413E-05
-0.45485091	-1.9558E-05
-0.47570291	-2.4077E-05
-0.48776549	-2.7851E-05
