"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20240130_for_onset\meoh_8_20240119_dark.txt"


  Open Circuit Potential (V): -0.2523
"E (Volts)"	"I (Amps/cm^2~)"
-0.49794891	-2.5558E-05
-0.47915801	-1.4484E-05
-0.45933649	-9.7684E-06
-0.43848461	-6.6582E-06
-0.41842079	-4.6031E-06
-0.397387	-3.0537E-06
-0.3776868	-2.0131E-06
-0.3530767	-9.6157E-07
-0.33501321	-3.742E-07
-0.3119185	2.1246E-07
-0.2888844	7.2148E-07
-0.2676082	1.0817E-06
-0.2454228	1.3675E-06
-0.22590441	1.5932E-06
-0.2026885	1.7849E-06
-0.1837157	1.9043E-06
-0.16237099	1.9995E-06
-0.1417108	2.0468E-06
-0.1193715	2.0614E-06
-0.09897802	2.0547E-06
-0.077711642	2.0298E-06
-0.05704543	1.9856E-06
-0.035869971	1.9334E-06
-0.016343459	1.8873E-06
0.0040439009	1.8431E-06
0.024685871	1.8061E-06
0.043933529	1.7788E-06
0.064842239	1.7515E-06
0.084289953	1.743E-06
0.105332	1.7369E-06
0.1241735	1.7375E-06
0.14487609	1.7394E-06
0.1634448	1.7424E-06
0.18415339	1.7485E-06
0.204662	1.746E-06
0.226109	1.7491E-06
0.2458092	1.7436E-06
0.2646001	1.7406E-06
0.2853308	1.7339E-06
0.30551589	1.7339E-06
0.3263678	1.7285E-06
0.3449769	1.7224E-06
0.36582881	1.7175E-06
0.3892872	1.7127E-06
0.41080591	1.706E-06
0.4321427	1.7012E-06
0.45166111	1.6987E-06
0.47178549	1.6963E-06
0.49172819	1.6969E-06
0.51045853	1.6969E-06
0.5296132	1.6975E-06
0.55064702	1.703E-06
0.57119578	1.7097E-06
0.5917446	1.7236E-06
0.61192971	1.7394E-06
0.63350898	1.7697E-06
0.65320921	1.8109E-06
0.67339432	1.8704E-06
0.69418561	1.9728E-06
0.7151587	2.142E-06
0.7357682	2.4507E-06
0.75286192	2.9037E-06
0.7757141	4.1377E-06
0.79583859	6.4748E-06
0.78268492	3.9685E-06
0.76086318	2.3294E-06
0.7416479	1.6617E-06
0.72012931	1.3143E-06
0.6981256	1.1426E-06
0.67836481	1.0636E-06
0.65702802	1.0116E-06
0.6358124	9.7108E-07
0.61623353	9.565E-07
0.59610891	9.1943E-07
0.57652998	8.9064E-07
0.55707228	8.6828E-07
0.53603852	8.3749E-07
0.51500481	8.0142E-07
0.49051589	7.6494E-07
0.47039139	7.3021E-07
0.45056999	6.9887E-07
0.42796019	6.5414E-07
0.4088662	6.1286E-07
0.39056021	5.7346E-07
0.37128419	5.2831E-07
0.3515234	4.7855E-07
0.3293986	4.2339E-07
0.30945599	3.6417E-07
0.29090741	3.0344E-07
0.2707223	2.338E-07
0.2518101	1.59E-07
0.2305339	6.4025E-08
0.2070756	-1.0836E-07
0.1864661	-1.9048E-07
0.16494749	-3.4013E-07
0.1453914	-4.8663E-07
0.1236158	-6.3897E-07
0.1006398	-8.0391E-07
0.077936687	-9.4116E-07
0.05910128	-1.0307E-06
0.037525721	-1.0968E-06
0.013889	-1.169E-06
-0.0054071508	-1.2422E-06
-0.028510399	-1.3012E-06
-0.050607309	-1.3867E-06
-0.072710291	-1.4691E-06
-0.092333801	-1.5605E-06
-0.1133638	-1.6365E-06
-0.1336602	-1.7408E-06
-0.15388989	-1.8354E-06
-0.17491379	-1.9567E-06
-0.19360369	-2.0574E-06
-0.2151148	-2.209E-06
-0.2358454	-2.3654E-06
-0.25639421	-2.5328E-06
-0.27682179	-2.7553E-06
-0.29391551	-2.9979E-06
-0.31694961	-3.3939E-06
-0.33701351	-3.9087E-06
-0.35750169	-4.6152E-06
-0.37968719	-5.6819E-06
-0.3990843	-6.999E-06
-0.4198755	-8.8898E-06
-0.43842399	-1.1217E-05
-0.45933649	-1.4622E-05
-0.4792186	-1.93E-05
-0.49382699	-2.3998E-05
-0.48382539	-1.341E-05
-0.46376151	-8.9207E-06
-0.44121239	-5.9214E-06
-0.4205423	-4.0676E-06
-0.40035719	-2.742E-06
-0.3808389	-1.7869E-06
-0.3588959	-9.3429E-07
-0.33804399	-3.1595E-07
-0.3167071	2.218E-07
-0.2987648	6.008E-07
-0.27767041	9.815E-07
-0.25851581	1.2743E-06
-0.2370577	1.703E-06
-0.2161452	1.7315E-06
-0.1950509	1.8801E-06
-0.1758962	1.9874E-06
-0.155169	2.0535E-06
-0.1309261	2.099E-06
-0.1125393	2.105E-06
-0.091163777	2.0881E-06
-0.070715807	2.0511E-06
-0.050607309	1.9922E-06
-0.03176583	1.9352E-06
-0.01291828	1.8752E-06
0.0071841492	1.8103E-06
0.026159	1.7557E-06
0.048116479	1.6987E-06
0.067958243	1.6593E-06
0.088187978	1.6339E-06
0.1090967	1.6157E-06
0.1290597	1.6114E-06
0.14989559	1.6108E-06
0.1709923	1.6102E-06
0.1918889	1.6138E-06
0.2130159	1.6187E-06
0.233989	1.6181E-06
0.25478029	1.6242E-06
0.27326819	1.6266E-06
0.29381701	1.6248E-06
0.31388089	1.626E-06
0.33449039	1.6248E-06
0.3553423	1.6248E-06
0.37461811	1.6193E-06
0.3946214	1.6175E-06
0.41504899	1.6187E-06
0.4340218	1.6151E-06
0.4539645	1.6169E-06
0.47348279	1.6157E-06
0.49336481	1.6199E-06
0.51645952	1.6217E-06
0.53609908	1.626E-06
0.5561024	1.6326E-06
0.5771361	1.6399E-06
0.59635139	1.6496E-06
0.615991	1.6642E-06
0.63490307	1.6884E-06
0.65551257	1.7224E-06
0.67442483	1.7727E-06
0.69436741	1.8576E-06
0.71473438	1.9989E-06
0.7352832	2.2554E-06
0.75528651	2.7521E-06
0.77680522	3.8642E-06
0.7968691	6.0521E-06
0.78529137	3.8333E-06
0.76322722	2.2021E-06
0.74176908	1.528E-06
0.72091722	1.2282E-06
0.70121711	1.122E-06
0.68078947	1.0148E-06
0.65775537	9.7035E-07
0.63678229	9.415E-07
0.61489987	9.1769E-07
0.59489661	8.9107E-07
0.57440841	8.6228E-07
0.55519313	8.3737E-07
0.53488678	8.0736E-07
0.51609588	7.8554E-07
0.49354669	7.5045E-07
0.47311911	7.1657E-07
0.4530552	6.7911E-07
0.43262759	6.4038E-07
0.41171509	5.9819E-07
0.3911663	5.5134E-07
0.3721329	5.1382E-07
0.3537662	4.6515E-07
0.33079281	4.0406E-07
0.3102439	3.4072E-07
0.29054379	2.7089E-07
0.26932821	1.927E-07
0.24647591	9.7422E-08
0.2228357	1.4023E-09
0.20071089	-1.4515E-07
0.17907099	-2.931E-07
0.15840089	-4.3824E-07
0.136104	-6.2077E-07
0.1170686	-7.6752E-07
0.096966133	-9.1206E-07
0.075930104	-1.0283E-06
0.056094401	-1.3127E-06
0.036392089	-1.1805E-06
0.01268867	-1.2472E-06
-0.0064074229	-1.3006E-06
-0.028183039	-1.3691E-06
-0.050740682	-1.3861E-06
-0.072237432	-1.46E-06
-0.092073128	-1.6078E-06
-0.1132364	-1.6347E-06
-0.1337996	-1.7275E-06
-0.1530169	-1.8215E-06
-0.17290109	-1.9349E-06
-0.1915365	-2.0325E-06
-0.211154	-2.1544E-06
-0.23493619	-2.3963E-06
-0.2534847	-2.5413E-06
-0.27470031	-2.7559E-06
-0.2952491	-3.0112E-06
-0.31543419	-3.3648E-06
-0.33537689	-3.819E-06
-0.35459211	-4.4084E-06
-0.37477729	-5.2562E-06
-0.39478049	-6.4089E-06
-0.4150869	-7.9747E-06
-0.43684801	-1.03E-05
-0.45800301	-1.3414E-05
-0.47679389	-1.7321E-05
-0.48503771	-1.9499E-05
