"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230526\Hematite_Butanol_2.z"
"Date/Time:  2023/05/26 22:36:28"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230526\Hematite_Butanol_2.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.787800E+01	-1.768200E+00	1.000000E+05	2.793402E+01	-3.629201E+00
1	7.943282E+04	2.755700E+01	-1.515300E+00	7.943282E+04	2.759863E+01	-3.147402E+00
2	6.309573E+04	2.737900E+01	-1.400200E+00	6.309573E+04	2.741478E+01	-2.927635E+00
3	5.011872E+04	2.729800E+01	-1.365600E+00	5.011872E+04	2.733214E+01	-2.863871E+00
4	3.981072E+04	2.728700E+01	-1.408800E+00	3.981072E+04	2.732334E+01	-2.955499E+00
5	3.162278E+04	2.734600E+01	-1.491100E+00	3.162278E+04	2.738662E+01	-3.121086E+00
6	2.511886E+04	2.746100E+01	-1.607100E+00	2.511886E+04	2.750799E+01	-3.349300E+00
7	1.995262E+04	2.761200E+01	-1.753100E+00	1.995262E+04	2.766760E+01	-3.632862E+00
8	1.584893E+04	2.780600E+01	-1.910100E+00	1.584893E+04	2.787153E+01	-3.929692E+00
9	1.258925E+04	2.801500E+01	-2.087800E+00	1.258925E+04	2.809269E+01	-4.262053E+00
10	1.000000E+04	2.823200E+01	-2.285700E+00	1.000000E+04	2.832438E+01	-4.628646E+00
11	7.943282E+03	2.843700E+01	-2.519500E+00	7.943282E+03	2.854839E+01	-5.063149E+00
12	6.309573E+03	2.864900E+01	-2.811300E+00	6.309573E+03	2.878660E+01	-5.604439E+00
13	5.011872E+03	2.886000E+01	-3.166400E+00	5.011872E+03	2.903318E+01	-6.261213E+00
14	3.981072E+03	2.904600E+01	-3.637000E+00	3.981072E+03	2.927282E+01	-7.137155E+00
15	3.162278E+03	2.926700E+01	-4.239400E+00	3.162278E+03	2.957245E+01	-8.242114E+00
16	2.511886E+03	2.946800E+01	-5.014400E+00	2.511886E+03	2.989159E+01	-9.657191E+00
17	1.995262E+03	2.972400E+01	-5.996500E+00	1.995262E+03	3.032283E+01	-1.140572E+01
18	1.584893E+03	3.003800E+01	-7.231900E+00	1.584893E+03	3.089631E+01	-1.353681E+01
19	1.258925E+03	3.043600E+01	-8.778400E+00	1.258925E+03	3.167665E+01	-1.608870E+01
20	1.000000E+03	3.097100E+01	-1.070200E+01	1.000000E+03	3.276791E+01	-1.906254E+01
21	7.943282E+02	3.170800E+01	-1.307000E+01	7.943282E+02	3.429610E+01	-2.240140E+01
22	6.309573E+02	3.274700E+01	-1.594800E+01	6.309573E+02	3.642396E+01	-2.596638E+01
23	5.011872E+02	3.421600E+01	-1.939600E+01	5.011872E+02	3.933115E+01	-2.954757E+01
24	3.981072E+02	3.626300E+01	-2.345500E+01	3.981072E+02	4.318729E+01	-3.289489E+01
25	3.162278E+02	3.908600E+01	-2.811600E+01	3.162278E+02	4.814795E+01	-3.572886E+01
26	2.511886E+02	4.290900E+01	-3.327700E+01	2.511886E+02	5.430047E+01	-3.779447E+01
27	1.995262E+02	4.798900E+01	-3.899100E+01	1.995262E+02	6.183237E+01	-3.909381E+01
28	1.584893E+02	5.439200E+01	-4.424000E+01	1.584893E+02	7.011182E+01	-3.912335E+01
29	1.258925E+02	6.208500E+01	-4.940300E+01	1.258925E+02	7.934232E+01	-3.851038E+01
30	1.000000E+02	7.141800E+01	-5.339300E+01	1.000000E+02	8.917030E+01	-3.678225E+01
31	7.943282E+01	8.044900E+01	-5.760300E+01	7.943282E+01	9.894517E+01	-3.560338E+01
32	6.309573E+01	9.040700E+01	-6.040000E+01	6.309573E+01	1.087271E+02	-3.374648E+01
33	5.011872E+01	1.003800E+02	-6.236600E+01	5.011872E+01	1.181764E+02	-3.185265E+01
34	3.981072E+01	1.100200E+02	-6.410500E+01	3.981072E+01	1.273336E+02	-3.022793E+01
35	3.162278E+01	1.196200E+02	-6.579900E+01	3.162278E+01	1.365227E+02	-2.881374E+01
36	2.511886E+01	1.288900E+02	-6.764100E+01	2.511886E+01	1.455608E+02	-2.769032E+01
37	1.995262E+01	1.381400E+02	-6.983200E+01	1.995262E+01	1.547875E+02	-2.681733E+01
38	1.584893E+01	1.477400E+02	-7.265800E+01	1.584893E+01	1.646399E+02	-2.618779E+01
39	1.258925E+01	1.578300E+02	-7.605000E+01	1.258925E+01	1.751968E+02	-2.572698E+01
40	1.000000E+01	1.684500E+02	-7.994800E+01	1.000000E+01	1.864593E+02	-2.538947E+01
41	7.943280E+00	1.800400E+02	-8.437800E+01	7.943280E+00	1.988317E+02	-2.511073E+01
42	6.309570E+00	1.927500E+02	-8.921400E+01	6.309570E+00	2.123952E+02	-2.483698E+01
43	5.011870E+00	2.071500E+02	-9.423500E+01	5.011870E+00	2.275771E+02	-2.446135E+01
44	3.981070E+00	2.226200E+02	-9.853400E+01	3.981070E+00	2.434515E+02	-2.387470E+01
45	3.162280E+00	2.397400E+02	-1.022400E+02	3.162280E+00	2.606306E+02	-2.309641E+01
46	2.511890E+00	2.582500E+02	-1.047500E+02	2.511890E+00	2.786855E+02	-2.207820E+01
47	1.995260E+00	2.773900E+02	-1.056100E+02	1.995260E+00	2.968142E+02	-2.084321E+01
48	1.584890E+00	2.966300E+02	-1.034600E+02	1.584890E+00	3.141549E+02	-1.922799E+01
49	1.258930E+00	3.148800E+02	-9.926300E+01	1.258930E+00	3.301554E+02	-1.749697E+01
50	1.000000E+00	3.326900E+02	-9.333100E+01	1.000000E+00	3.455334E+02	-1.567064E+01
51	7.943300E-01	3.488000E+02	-8.587600E+01	7.943300E-01	3.592160E+02	-1.383137E+01
52	6.309600E-01	3.612300E+02	-7.620100E+01	6.309600E-01	3.691798E+02	-1.191183E+01
53	5.011900E-01	3.741400E+02	-6.736200E+01	5.011900E-01	3.801557E+02	-1.020647E+01
