"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230524\PEIS\Hematite_EtOH_01_1.z"
"Date/Time:  2023/05/24 22:15:01"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230524\PEIS\Hematite_EtOH_01_1.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.704300E+01	-1.837200E+00	1.000000E+05	2.710533E+01	-3.886489E+00
1	7.943282E+04	2.672400E+01	-1.564900E+00	7.943282E+04	2.676978E+01	-3.351291E+00
2	6.309573E+04	2.652600E+01	-1.416600E+00	6.309573E+04	2.656380E+01	-3.056932E+00
3	5.011872E+04	2.644800E+01	-1.339400E+00	5.011872E+04	2.648189E+01	-2.899140E+00
4	3.981072E+04	2.643000E+01	-1.344500E+00	3.981072E+04	2.646418E+01	-2.912139E+00
5	3.162278E+04	2.648200E+01	-1.389800E+00	3.162278E+04	2.651844E+01	-3.004180E+00
6	2.511886E+04	2.658800E+01	-1.458900E+00	2.511886E+04	2.662800E+01	-3.140705E+00
7	1.995262E+04	2.671100E+01	-1.561500E+00	1.995262E+04	2.675660E+01	-3.345650E+00
8	1.584893E+04	2.685000E+01	-1.665300E+00	1.584893E+04	2.690159E+01	-3.549073E+00
9	1.258925E+04	2.699000E+01	-1.812400E+00	1.258925E+04	2.705078E+01	-3.841690E+00
10	1.000000E+04	2.713800E+01	-1.989800E+00	1.000000E+04	2.721085E+01	-4.193511E+00
11	7.943282E+03	2.727800E+01	-2.232500E+00	7.943282E+03	2.736920E+01	-4.678803E+00
12	6.309573E+03	2.742400E+01	-2.541100E+00	6.309573E+03	2.754148E+01	-5.293894E+00
13	5.011872E+03	2.756700E+01	-2.949700E+00	5.011872E+03	2.772436E+01	-6.107475E+00
14	3.981072E+03	2.773300E+01	-3.466600E+00	3.981072E+03	2.794882E+01	-7.124965E+00
15	3.162278E+03	2.792400E+01	-4.132000E+00	3.162278E+03	2.822806E+01	-8.417153E+00
16	2.511886E+03	2.815200E+01	-4.969500E+00	2.511886E+03	2.858725E+01	-1.001094E+01
17	1.995262E+03	2.847200E+01	-6.016400E+00	1.995262E+03	2.910072E+01	-1.193161E+01
18	1.584893E+03	2.889100E+01	-7.310400E+00	1.584893E+03	2.980154E+01	-1.419973E+01
19	1.258925E+03	2.948400E+01	-8.887900E+00	1.258925E+03	3.079450E+01	-1.677534E+01
20	1.000000E+03	3.033400E+01	-1.078600E+01	1.000000E+03	3.219455E+01	-1.957409E+01
21	7.943282E+02	3.151000E+01	-1.301900E+01	7.943282E+02	3.409361E+01	-2.244897E+01
22	6.309573E+02	3.316400E+01	-1.555800E+01	6.309573E+02	3.663198E+01	-2.513236E+01
23	5.011872E+02	3.540400E+01	-1.834500E+01	5.011872E+02	3.987458E+01	-2.739146E+01
24	3.981072E+02	3.833700E+01	-2.119400E+01	3.981072E+02	4.380538E+01	-2.893531E+01
25	3.162278E+02	4.201700E+01	-2.399900E+01	3.162278E+02	4.838781E+01	-2.973387E+01
26	2.511886E+02	4.633900E+01	-2.643600E+01	2.511886E+02	5.334946E+01	-2.970439E+01
