"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230529\Hematite_EtOH_01_4.z"
"Date/Time:  2023/05/29 20:01:48"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230529\Hematite_EtOH_01_4.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.744800E+01	-2.126300E+00	1.000000E+05	2.753024E+01	-4.429656E+00
1	7.943282E+04	2.707300E+01	-1.686800E+00	7.943282E+04	2.712550E+01	-3.565240E+00
2	6.309573E+04	2.683600E+01	-1.378400E+00	6.309573E+04	2.687138E+01	-2.940347E+00
3	5.011872E+04	2.669600E+01	-1.155600E+00	5.011872E+04	2.672100E+01	-2.478637E+00
4	3.981072E+04	2.662900E+01	-1.019800E+00	3.981072E+04	2.664852E+01	-2.193161E+00
5	3.162278E+04	2.658300E+01	-9.222600E-01	3.162278E+04	2.659899E+01	-1.987000E+00
6	2.511886E+04	2.657500E+01	-8.707800E-01	2.511886E+04	2.658926E+01	-1.876733E+00
7	1.995262E+04	2.656400E+01	-8.549500E-01	1.995262E+04	2.657775E+01	-1.843402E+00
8	1.584893E+04	2.656500E+01	-8.886900E-01	1.584893E+04	2.657986E+01	-1.916025E+00
9	1.258925E+04	2.658000E+01	-9.586300E-01	1.258925E+04	2.659728E+01	-2.065525E+00
10	1.000000E+04	2.659600E+01	-1.076900E+00	1.000000E+04	2.661779E+01	-2.318700E+00
11	7.943282E+03	2.661300E+01	-1.247200E+00	7.943282E+03	2.664221E+01	-2.683164E+00
12	6.309573E+03	2.663500E+01	-1.481700E+00	6.309573E+03	2.667618E+01	-3.184072E+00
13	5.011872E+03	2.667500E+01	-1.780300E+00	5.011872E+03	2.673434E+01	-3.818280E+00
14	3.981072E+03	2.674200E+01	-2.164500E+00	3.981072E+03	2.682945E+01	-4.627438E+00
15	3.162278E+03	2.679800E+01	-2.657600E+00	3.162278E+03	2.692946E+01	-5.663594E+00
16	2.511886E+03	2.690700E+01	-3.268300E+00	2.511886E+03	2.710477E+01	-6.925592E+00
17	1.995262E+03	2.707000E+01	-4.028500E+00	1.995262E+03	2.736811E+01	-8.464514E+00
18	1.584893E+03	2.727000E+01	-4.965400E+00	1.584893E+03	2.771837E+01	-1.031953E+01
19	1.258925E+03	2.756100E+01	-6.123200E+00	1.258925E+03	2.823300E+01	-1.252590E+01
20	1.000000E+03	2.797700E+01	-7.535100E+00	1.000000E+03	2.897396E+01	-1.507389E+01
21	7.943282E+02	2.856300E+01	-9.256100E+00	7.943282E+02	3.002533E+01	-1.795539E+01
22	6.309573E+02	2.939100E+01	-1.131800E+01	6.309573E+02	3.149489E+01	-2.106089E+01
23	5.011872E+02	3.058600E+01	-1.372800E+01	5.011872E+02	3.352553E+01	-2.417211E+01
24	3.981072E+02	3.226600E+01	-1.651600E+01	3.981072E+02	3.624739E+01	-2.710655E+01
25	3.162278E+02	3.453600E+01	-1.954900E+01	3.162278E+02	3.968499E+01	-2.951190E+01
26	2.511886E+02	3.750700E+01	-2.276300E+01	2.511886E+02	4.387402E+01	-3.125357E+01
27	1.995262E+02	4.135700E+01	-2.614100E+01	1.995262E+02	4.892600E+01	-3.229623E+01
28	1.584893E+02	4.578600E+01	-2.892000E+01	1.584893E+02	5.415463E+01	-3.227790E+01
29	1.258925E+02	5.085200E+01	-3.152200E+01	1.258925E+02	5.982944E+01	-3.179383E+01
30	1.000000E+02	5.668800E+01	-3.339600E+01	1.000000E+02	6.579379E+01	-3.050316E+01
31	7.943282E+01	6.184700E+01	-3.535900E+01	7.943282E+01	7.124121E+01	-2.975735E+01
32	6.309573E+01	6.739200E+01	-3.682600E+01	6.309573E+01	7.679737E+01	-2.865416E+01
33	5.011872E+01	7.284100E+01	-3.819800E+01	5.011872E+01	8.224900E+01	-2.767263E+01
