"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230607\Hematite_MeOH_01_2.z"
"Date/Time:  2023/06/07 18:49:16"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230607\Hematite_MeOH_01_2.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.956800E+01	-1.908100E+00	1.000000E+05	2.962950E+01	-3.692326E+00
1	7.943282E+04	2.926500E+01	-1.625000E+00	7.943282E+04	2.931008E+01	-3.178204E+00
2	6.309573E+04	2.908500E+01	-1.471200E+00	6.309573E+04	2.912218E+01	-2.895712E+00
3	5.011872E+04	2.898300E+01	-1.427900E+00	5.011872E+04	2.901815E+01	-2.820500E+00
4	3.981072E+04	2.896700E+01	-1.431400E+00	3.981072E+04	2.900234E+01	-2.828961E+00
5	3.162278E+04	2.901800E+01	-1.511100E+00	3.162278E+04	2.905732E+01	-2.980961E+00
6	2.511886E+04	2.911600E+01	-1.628300E+00	2.511886E+04	2.916150E+01	-3.200908E+00
7	1.995262E+04	2.925600E+01	-1.787400E+00	1.995262E+04	2.931055E+01	-3.496149E+00
8	1.584893E+04	2.942400E+01	-1.976300E+00	1.584893E+04	2.949030E+01	-3.842572E+00
9	1.258925E+04	2.963300E+01	-2.202000E+00	1.258925E+04	2.971470E+01	-4.249784E+00
10	1.000000E+04	2.987700E+01	-2.460900E+00	1.000000E+04	2.997818E+01	-4.708693E+00
11	7.943282E+03	3.013700E+01	-2.744200E+00	7.943282E+03	3.026168E+01	-5.202863E+00
12	6.309573E+03	3.042000E+01	-3.073900E+00	6.309573E+03	3.057491E+01	-5.770075E+00
13	5.011872E+03	3.073600E+01	-3.459500E+00	5.011872E+03	3.093008E+01	-6.421916E+00
14	3.981072E+03	3.108700E+01	-3.918700E+00	3.981072E+03	3.133301E+01	-7.184577E+00
15	3.162278E+03	3.143900E+01	-4.490900E+00	3.162278E+03	3.175813E+01	-8.129413E+00
16	2.511886E+03	3.186900E+01	-5.178000E+00	2.511886E+03	3.228691E+01	-9.228638E+00
17	1.995262E+03	3.236800E+01	-6.019500E+00	1.995262E+03	3.292297E+01	-1.053499E+01
18	1.584893E+03	3.299000E+01	-7.034900E+00	1.584893E+03	3.373173E+01	-1.203765E+01
19	1.258925E+03	3.377200E+01	-8.196400E+00	1.258925E+03	3.475239E+01	-1.364181E+01
20	1.000000E+03	3.476700E+01	-9.542500E+00	1.000000E+03	3.605279E+01	-1.534802E+01
21	7.943282E+02	3.603200E+01	-1.102900E+01	7.943282E+02	3.768214E+01	-1.701877E+01
22	6.309573E+02	3.758500E+01	-1.261200E+01	6.309573E+02	3.964461E+01	-1.854966E+01
23	5.011872E+02	3.943900E+01	-1.424400E+01	5.011872E+02	4.193240E+01	-1.985796E+01
24	3.981072E+02	4.158700E+01	-1.585100E+01	3.981072E+02	4.450542E+01	-2.086448E+01
25	3.162278E+02	4.395700E+01	-1.740200E+01	3.162278E+02	4.727629E+01	-2.159796E+01
26	2.511886E+02	4.652700E+01	-1.892700E+01	2.511886E+02	5.022940E+01	-2.213630E+01
27	1.995262E+02	4.907400E+01	-2.033200E+01	1.995262E+02	5.311918E+01	-2.250487E+01
28	1.584893E+02	5.162100E+01	-2.208800E+01	1.584893E+02	5.614808E+01	-2.316549E+01
29	1.258925E+02	5.417500E+01	-2.398300E+01	1.258925E+02	5.924622E+01	-2.387873E+01
30	1.000000E+02	5.650800E+01	-2.627300E+01	1.000000E+02	6.231713E+01	-2.493574E+01
31	7.943282E+01	5.937400E+01	-2.914300E+01	7.943282E+01	6.614066E+01	-2.614355E+01
32	6.309573E+01	6.219600E+01	-3.271200E+01	6.309573E+01	7.027387E+01	-2.774214E+01
33	5.011872E+01	6.531100E+01	-3.711800E+01	5.011872E+01	7.512172E+01	-2.961074E+01
34	3.981072E+01	6.884400E+01	-4.259400E+01	3.981072E+01	8.095520E+01	-3.174521E+01
35	3.162278E+01	7.306900E+01	-4.925200E+01	3.162278E+01	8.811832E+01	-3.398185E+01
36	2.511886E+01	7.826300E+01	-5.720800E+01	2.511886E+01	9.694252E+01	-3.616573E+01
37	1.995262E+01	8.475100E+01	-6.666500E+01	1.995262E+01	1.078284E+02	-3.818853E+01
38	1.584893E+01	9.308000E+01	-7.771300E+01	1.584893E+01	1.212567E+02	-3.985869E+01
39	1.258925E+01	1.037900E+02	-9.020900E+01	1.258925E+01	1.375137E+02	-4.099551E+01
40	1.000000E+01	1.176900E+02	-1.038500E+02	1.000000E+01	1.569578E+02	-4.142528E+01
41	7.943280E+00	1.353900E+02	-1.181100E+02	7.943280E+00	1.796675E+02	-4.110043E+01
42	6.309570E+00	1.575200E+02	-1.319000E+02	6.309570E+00	2.054511E+02	-3.994126E+01
43	5.011870E+00	1.840700E+02	-1.437000E+02	5.011870E+00	2.335197E+02	-3.797849E+01
44	3.981070E+00	2.146600E+02	-1.521800E+02	3.981070E+00	2.631305E+02	-3.533416E+01
45	3.162280E+00	2.479900E+02	-1.558300E+02	3.162280E+00	2.928857E+02	-3.214411E+01
46	2.511890E+00	2.820300E+02	-1.542300E+02	2.511890E+00	3.214464E+02	-2.867234E+01
47	1.995260E+00	3.148100E+02	-1.478100E+02	1.995260E+00	3.477832E+02	-2.515106E+01
48	1.584890E+00	3.450100E+02	-1.373700E+02	1.584890E+00	3.713521E+02	-2.171059E+01
49	1.258930E+00	3.716100E+02	-1.243900E+02	1.258930E+00	3.918761E+02	-1.850708E+01
50	1.000000E+00	3.949700E+02	-1.107800E+02	1.000000E+00	4.102115E+02	-1.566759E+01
51	7.943300E-01	4.153800E+02	-9.723400E+01	7.943300E-01	4.266087E+02	-1.317483E+01
52	6.309600E-01	4.330800E+02	-8.448000E+01	6.309600E-01	4.412427E+02	-1.103796E+01
53	5.011900E-01	4.506900E+02	-7.433800E+01	5.011900E-01	4.567796E+02	-9.366186E+00
54	3.981100E-01	4.659900E+02	-6.396900E+01	3.981100E-01	4.703602E+02	-7.816451E+00
55	3.162300E-01	4.813400E+02	-5.688600E+01	3.162300E-01	4.846898E+02	-6.740099E+00
56	2.511900E-01	4.966800E+02	-5.082800E+01	2.511900E-01	4.992740E+02	-5.843052E+00
57	1.995300E-01	5.124000E+02	-4.435900E+01	1.995300E-01	5.143165E+02	-4.947819E+00
58	1.584900E-01	5.305900E+02	-3.955600E+01	1.584900E-01	5.320624E+02	-4.263569E+00
59	1.258900E-01	5.419100E+02	-3.460400E+01	1.258900E-01	5.430137E+02	-3.653697E+00
60	1.000000E-01	5.452500E+02	-3.192000E+01	1.000000E-01	5.461835E+02	-3.350383E+00
