"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_Hematite_New_700_6.z"
"Date/Time:  2022/12/14 17:46:56"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_Hematite_New_700_6.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	7.607700E+01	-3.336200E+00	1.000000E+05	7.615012E+01	-2.510980E+00
1	7.943282E+04	7.536000E+01	-2.624300E+00	7.943282E+04	7.540568E+01	-1.994434E+00
2	6.309573E+04	7.489800E+01	-2.147500E+00	6.309573E+04	7.492878E+01	-1.642353E+00
3	5.011872E+04	7.462600E+01	-1.847500E+00	5.011872E+04	7.464887E+01	-1.418170E+00
4	3.981072E+04	7.441500E+01	-1.706800E+00	3.981072E+04	7.443457E+01	-1.313919E+00
5	3.162278E+04	7.432100E+01	-1.671600E+00	3.162278E+04	7.433980E+01	-1.288458E+00
6	2.511886E+04	7.427500E+01	-1.681000E+00	2.511886E+04	7.429402E+01	-1.296503E+00
7	1.995262E+04	7.424900E+01	-1.796100E+00	1.995262E+04	7.427072E+01	-1.385728E+00
8	1.584893E+04	7.423400E+01	-1.999700E+00	1.584893E+04	7.426093E+01	-1.543049E+00
9	1.258925E+04	7.426100E+01	-2.316500E+00	1.258925E+04	7.429712E+01	-1.786707E+00
10	1.000000E+04	7.430200E+01	-2.731400E+00	1.000000E+04	7.435219E+01	-2.105290E+00
11	7.943282E+03	7.436500E+01	-3.285600E+00	7.943282E+03	7.443755E+01	-2.529801E+00
12	6.309573E+03	7.445200E+01	-3.994500E+00	6.309573E+03	7.455908E+01	-3.071090E+00
13	5.011872E+03	7.459100E+01	-4.887700E+00	5.011872E+03	7.475097E+01	-3.749042E+00
14	3.981072E+03	7.477100E+01	-5.985500E+00	3.981072E+03	7.501019E+01	-4.576830E+00
15	3.162278E+03	7.500300E+01	-7.360500E+00	3.162278E+03	7.536330E+01	-5.604836E+00
16	2.511886E+03	7.531300E+01	-9.073500E+00	2.511886E+03	7.585761E+01	-6.869726E+00
17	1.995262E+03	7.575200E+01	-1.119400E+01	1.995262E+03	7.657461E+01	-8.405861E+00
18	1.584893E+03	7.634100E+01	-1.378700E+01	1.584893E+03	7.757596E+01	-1.023713E+01
19	1.258925E+03	7.717400E+01	-1.695400E+01	1.258925E+03	7.901433E+01	-1.239022E+01
20	1.000000E+03	7.833900E+01	-2.081400E+01	1.000000E+03	8.105690E+01	-1.487924E+01
21	7.943282E+02	7.995300E+01	-2.548600E+01	7.943282E+02	8.391673E+01	-1.768032E+01
22	6.309573E+02	8.217900E+01	-3.107100E+01	6.309573E+02	8.785667E+01	-2.071107E+01
23	5.011872E+02	8.525800E+01	-3.762800E+01	5.011872E+02	9.319224E+01	-2.381392E+01
