"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_Hematite_New_700_11.z"
"Date/Time:  2022/12/22 14:11:13"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_Hematite_New_700_11.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	8.569000E+01	-2.661700E+00	1.000000E+05	8.573133E+01	-1.779148E+00
1	7.943282E+04	8.508700E+01	-2.115200E+00	7.943282E+04	8.511329E+01	-1.424037E+00
2	6.309573E+04	8.467300E+01	-1.774300E+00	6.309573E+04	8.469159E+01	-1.200442E+00
3	5.011872E+04	8.440800E+01	-1.575400E+00	5.011872E+04	8.442270E+01	-1.069250E+00
4	3.981072E+04	8.423200E+01	-1.501100E+00	3.981072E+04	8.424537E+01	-1.020961E+00
5	3.162278E+04	8.416000E+01	-1.489000E+00	3.162278E+04	8.417317E+01	-1.013599E+00
6	2.511886E+04	8.411300E+01	-1.594500E+00	2.511886E+04	8.412811E+01	-1.086005E+00
7	1.995262E+04	8.411200E+01	-1.737100E+00	1.995262E+04	8.412994E+01	-1.183117E+00
8	1.584893E+04	8.409500E+01	-1.996200E+00	1.584893E+04	8.411869E+01	-1.359800E+00
9	1.258925E+04	8.415300E+01	-2.334500E+00	1.258925E+04	8.418537E+01	-1.589043E+00
10	1.000000E+04	8.419400E+01	-2.790600E+00	1.000000E+04	8.424023E+01	-1.898367E+00
11	7.943282E+03	8.426600E+01	-3.383000E+00	7.943282E+03	8.433388E+01	-2.299001E+00
12	6.309573E+03	8.437700E+01	-4.124800E+00	6.309573E+03	8.447776E+01	-2.798697E+00
13	5.011872E+03	8.454800E+01	-5.048600E+00	5.011872E+03	8.469860E+01	-3.417235E+00
14	3.981072E+03	8.475600E+01	-6.190100E+00	3.981072E+03	8.498174E+01	-4.177144E+00
15	3.162278E+03	8.505100E+01	-7.602600E+00	3.162278E+03	8.539012E+01	-5.108020E+00
16	2.511886E+03	8.547400E+01	-9.345400E+00	2.511886E+03	8.598338E+01	-6.239716E+00
17	1.995262E+03	8.601400E+01	-1.148600E+01	1.995262E+03	8.677751E+01	-7.606075E+00
18	1.584893E+03	8.678700E+01	-1.407800E+01	1.584893E+03	8.792140E+01	-9.213878E+00
19	1.258925E+03	8.785500E+01	-1.724300E+01	1.258925E+03	8.953112E+01	-1.110410E+01
20	1.000000E+03	8.933500E+01	-2.101300E+01	1.000000E+03	9.177303E+01	-1.323627E+01
21	7.943282E+02	9.137600E+01	-2.549300E+01	7.943282E+02	9.486552E+01	-1.558858E+01
22	6.309573E+02	9.422500E+01	-3.073100E+01	6.309573E+02	9.910976E+01	-1.806347E+01
23	5.011872E+02	9.811500E+01	-3.670800E+01	5.011872E+02	1.047570E+02	-2.051245E+01
24	3.981072E+02	1.033000E+02	-4.308800E+01	3.981072E+02	1.119262E+02	-2.264176E+01
25	3.162278E+02	1.101600E+02	-4.997300E+01	3.162278E+02	1.209650E+02	-2.440095E+01
26	2.511886E+02	1.186200E+02	-5.670000E+01	2.511886E+02	1.314747E+02	-2.554766E+01
27	1.995262E+02	1.293900E+02	-6.239800E+01	1.995262E+02	1.436499E+02	-2.574557E+01
28	1.584893E+02	1.400600E+02	-6.798900E+01	1.584893E+02	1.556898E+02	-2.589322E+01
29	1.258925E+02	1.523400E+02	-7.182800E+01	1.258925E+02	1.684243E+02	-2.524378E+01
30	1.000000E+02	1.635200E+02	-7.250200E+01	1.000000E+02	1.788724E+02	-2.391169E+01
31	7.943282E+01	1.769900E+02	-7.589300E+01	7.943282E+01	1.925752E+02	-2.320957E+01
32	6.309573E+01	1.884100E+02	-7.704500E+01	6.309573E+01	2.035541E+02	-2.224073E+01
33	5.011872E+01	1.987100E+02	-7.846400E+01	5.011872E+01	2.136405E+02	-2.154742E+01
34	3.981072E+01	2.090500E+02	-8.006200E+01	3.981072E+01	2.238567E+02	-2.095585E+01
35	3.162278E+01	2.192200E+02	-8.326800E+01	3.162278E+01	2.345015E+02	-2.079866E+01
36	2.511886E+01	2.288100E+02	-8.735600E+01	2.511886E+01	2.449185E+02	-2.089606E+01
37	1.995262E+01	2.392400E+02	-9.264800E+01	1.995262E+01	2.565530E+02	-2.116938E+01
38	1.584893E+01	2.507100E+02	-1.004700E+02	1.584893E+01	2.700921E+02	-2.183804E+01
39	1.258925E+01	2.635400E+02	-1.093400E+02	1.258925E+01	2.853219E+02	-2.253305E+01
40	1.000000E+01	2.787400E+02	-1.196400E+02	1.000000E+01	3.033310E+02	-2.322984E+01
41	7.943280E+00	2.964400E+02	-1.307800E+02	7.943280E+00	3.240063E+02	-2.380556E+01
42	6.309570E+00	3.175200E+02	-1.432500E+02	6.309570E+00	3.483382E+02	-2.428264E+01
43	5.011870E+00	3.419200E+02	-1.551500E+02	5.011870E+00	3.754741E+02	-2.440670E+01
44	3.981070E+00	3.706400E+02	-1.658900E+02	3.981070E+00	4.060708E+02	-2.411220E+01
45	3.162280E+00	4.026500E+02	-1.739300E+02	3.162280E+00	4.386099E+02	-2.336257E+01
46	2.511890E+00	4.386700E+02	-1.782100E+02	2.511890E+00	4.734872E+02	-2.210948E+01
47	1.995260E+00	4.764800E+02	-1.770800E+02	1.995260E+00	5.083213E+02	-2.038718E+01
48	1.584890E+00	5.121900E+02	-1.697900E+02	1.584890E+00	5.395991E+02	-1.834026E+01
49	1.258930E+00	5.455400E+02	-1.582000E+02	1.258930E+00	5.680151E+02	-1.617152E+01
50	1.000000E+00	5.730800E+02	-1.390700E+02	1.000000E+00	5.897128E+02	-1.364036E+01
51	7.943300E-01	5.950600E+02	-1.207500E+02	7.943300E-01	6.071878E+02	-1.147075E+01
52	6.309600E-01	6.134200E+02	-1.030600E+02	6.309600E-01	6.220173E+02	-9.537130E+00
53	5.011900E-01	6.314500E+02	-8.664300E+01	5.011900E-01	6.373665E+02	-7.812924E+00
