"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_4.z"
"Date/Time:  2022/12/14 17:47:44"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_4.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	7.911500E+01	-4.053400E+00	1.000000E+05	7.921877E+01	-2.932943E+00
1	7.943282E+04	7.836100E+01	-3.245400E+00	7.943282E+04	7.842818E+01	-2.371607E+00
2	6.309573E+04	7.788200E+01	-2.687300E+00	6.309573E+04	7.792835E+01	-1.976193E+00
3	5.011872E+04	7.761600E+01	-2.364900E+00	5.011872E+04	7.765202E+01	-1.745219E+00
4	3.981072E+04	7.743500E+01	-2.211000E+00	3.981072E+04	7.746656E+01	-1.635521E+00
5	3.162278E+04	7.742000E+01	-2.148200E+00	3.162278E+04	7.744980E+01	-1.589398E+00
6	2.511886E+04	7.746100E+01	-2.197900E+00	2.511886E+04	7.749218E+01	-1.625290E+00
7	1.995262E+04	7.760200E+01	-2.303700E+00	1.995262E+04	7.763619E+01	-1.700388E+00
8	1.584893E+04	7.778800E+01	-2.467600E+00	1.584893E+04	7.782713E+01	-1.816934E+00
9	1.258925E+04	7.801700E+01	-2.674900E+00	1.258925E+04	7.806284E+01	-1.963681E+00
10	1.000000E+04	7.832200E+01	-2.895100E+00	1.000000E+04	7.837549E+01	-2.116921E+00
11	7.943282E+03	7.862000E+01	-3.178000E+00	7.943282E+03	7.868420E+01	-2.314766E+00
12	6.309573E+03	7.897200E+01	-3.476700E+00	6.309573E+03	7.904849E+01	-2.520788E+00
13	5.011872E+03	7.933000E+01	-3.817700E+00	5.011872E+03	7.942181E+01	-2.755193E+00
14	3.981072E+03	7.971700E+01	-4.222700E+00	3.981072E+03	7.982876E+01	-3.032189E+00
15	3.162278E+03	8.008900E+01	-4.730400E+00	3.162278E+03	8.022858E+01	-3.380208E+00
16	2.511886E+03	8.048000E+01	-5.373000E+00	2.511886E+03	8.065916E+01	-3.819509E+00
17	1.995262E+03	8.092300E+01	-6.178200E+00	1.995262E+03	8.115850E+01	-4.365871E+00
18	1.584893E+03	8.143900E+01	-7.191500E+00	1.584893E+03	8.175591E+01	-5.046434E+00
19	1.258925E+03	8.207300E+01	-8.442000E+00	1.258925E+03	8.250603E+01	-5.872770E+00
20	1.000000E+03	8.287700E+01	-9.934900E+00	1.000000E+03	8.347035E+01	-6.835726E+00
21	7.943282E+02	8.396000E+01	-1.172400E+01	7.943282E+02	8.477461E+01	-7.949263E+00
22	6.309573E+02	8.534800E+01	-1.378000E+01	6.309573E+02	8.645328E+01	-9.171634E+00
23	5.011872E+02	8.716600E+01	-1.606300E+01	5.011872E+02	8.863369E+01	-1.044136E+01
24	3.981072E+02	8.942100E+01	-1.850800E+01	3.981072E+02	9.131627E+01	-1.169373E+01
25	3.162278E+02	9.218800E+01	-2.110900E+01	3.162278E+02	9.457387E+01	-1.289712E+01
26	2.511886E+02	9.552300E+01	-2.358400E+01	2.511886E+02	9.839130E+01	-1.386860E+01
27	1.995262E+02	9.940600E+01	-2.580300E+01	1.995262E+02	1.027003E+02	-1.455124E+01
28	1.584893E+02	1.032400E+02	-2.829900E+01	1.584893E+02	1.070483E+02	-1.532877E+01
29	1.258925E+02	1.074300E+02	-3.047400E+01	1.258925E+02	1.116686E+02	-1.583672E+01
30	1.000000E+02	1.118800E+02	-3.331600E+01	1.000000E+02	1.167351E+02	-1.658265E+01
31	7.943282E+01	1.162000E+02	-3.492700E+01	7.943282E+01	1.213356E+02	-1.672955E+01
32	6.309573E+01	1.207200E+02	-3.752800E+01	6.309573E+01	1.264186E+02	-1.726880E+01
