"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_12.z"
"Date/Time:  2022/12/22 14:12:24"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_12.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	9.069900E+01	-2.700900E+00	1.000000E+05	9.073921E+01	-1.705691E+00
1	7.943282E+04	9.003600E+01	-2.189000E+00	7.943282E+04	9.006261E+01	-1.392729E+00
2	6.309573E+04	8.962900E+01	-1.875800E+00	6.309573E+04	8.964863E+01	-1.198939E+00
3	5.011872E+04	8.934200E+01	-1.754100E+00	5.011872E+04	8.935922E+01	-1.124775E+00
4	3.981072E+04	8.917700E+01	-1.763800E+00	3.981072E+04	8.919444E+01	-1.133085E+00
5	3.162278E+04	8.910900E+01	-1.842600E+00	3.162278E+04	8.912805E+01	-1.184596E+00
6	2.511886E+04	8.908100E+01	-2.041400E+00	2.511886E+04	8.910439E+01	-1.312773E+00
7	1.995262E+04	8.909500E+01	-2.337900E+00	1.995262E+04	8.912567E+01	-1.503127E+00
8	1.584893E+04	8.914800E+01	-2.725700E+00	1.584893E+04	8.918966E+01	-1.751273E+00
9	1.258925E+04	8.925700E+01	-3.251100E+00	1.258925E+04	8.931619E+01	-2.086021E+00
10	1.000000E+04	8.933100E+01	-3.917500E+00	1.000000E+04	8.941686E+01	-2.511026E+00
11	7.943282E+03	8.956900E+01	-4.739400E+00	7.943282E+03	8.969430E+01	-3.028890E+00
12	6.309573E+03	8.984800E+01	-5.771300E+00	6.309573E+03	9.003317E+01	-3.675290E+00
13	5.011872E+03	9.022800E+01	-7.001000E+00	5.011872E+03	9.049920E+01	-4.436823E+00
14	3.981072E+03	9.073900E+01	-8.471700E+00	3.981072E+03	9.113362E+01	-5.333866E+00
15	3.162278E+03	9.140200E+01	-1.021300E+01	3.162278E+03	9.197082E+01	-6.375622E+00
16	2.511886E+03	9.223800E+01	-1.226400E+01	2.511886E+03	9.304974E+01	-7.573647E+00
17	1.995262E+03	9.326700E+01	-1.466100E+01	1.995262E+03	9.441228E+01	-8.933442E+00
18	1.584893E+03	9.452600E+01	-1.744100E+01	1.584893E+03	9.612155E+01	-1.045407E+01
19	1.258925E+03	9.598900E+01	-2.072200E+01	1.258925E+03	9.820025E+01	-1.218200E+01
20	1.000000E+03	9.773600E+01	-2.460400E+01	1.000000E+03	1.007853E+02	-1.413000E+01
21	7.943282E+02	9.983200E+01	-2.922400E+01	7.943282E+02	1.040215E+02	-1.631643E+01
22	6.309573E+02	1.023600E+02	-3.475000E+01	6.309573E+02	1.080978E+02	-1.875174E+01
23	5.011872E+02	1.055400E+02	-4.138400E+01	5.011872E+02	1.133637E+02	-2.141098E+01
24	3.981072E+02	1.095400E+02	-4.918900E+01	3.981072E+02	1.200773E+02	-2.418249E+01
25	3.162278E+02	1.146700E+02	-5.828100E+01	3.162278E+02	1.286308E+02	-2.694194E+01
26	2.511886E+02	1.214200E+02	-6.889700E+01	2.511886E+02	1.396052E+02	-2.957175E+01
