"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\1-Butanol_3_20240118.z"
"Date/Time:  2024/02/15 22:26:39"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\1-Butanol_3_20240118.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	6.540400E+01	-2.742800E+00	1.000000E+05	6.546149E+01	-2.401364E+00
1	7.943282E+04	6.488200E+01	-2.242600E+00	7.943282E+04	6.492075E+01	-1.979600E+00
2	6.309573E+04	6.458400E+01	-1.941700E+00	6.309573E+04	6.461318E+01	-1.722063E+00
3	5.011872E+04	6.439700E+01	-1.770300E+00	5.011872E+04	6.442133E+01	-1.574688E+00
4	3.981072E+04	6.431700E+01	-1.727200E+00	3.981072E+04	6.434019E+01	-1.538279E+00
5	3.162278E+04	6.424400E+01	-1.771700E+00	3.162278E+04	6.426843E+01	-1.579684E+00
6	2.511886E+04	6.436400E+01	-1.860500E+00	2.511886E+04	6.439088E+01	-1.655726E+00
7	1.995262E+04	6.449500E+01	-2.031600E+00	1.995262E+04	6.452699E+01	-1.804227E+00
8	1.584893E+04	6.466100E+01	-2.248700E+00	1.584893E+04	6.470009E+01	-1.991759E+00
9	1.258925E+04	6.486900E+01	-2.514300E+00	1.258925E+04	6.491771E+01	-2.219654E+00
10	1.000000E+04	6.511500E+01	-2.818200E+00	1.000000E+04	6.517596E+01	-2.478235E+00
11	7.943282E+03	6.541800E+01	-3.169600E+00	7.943282E+03	6.549474E+01	-2.773897E+00
12	6.309573E+03	6.576600E+01	-3.543600E+00	6.309573E+03	6.586140E+01	-3.084226E+00
13	5.011872E+03	6.610100E+01	-3.962400E+00	5.011872E+03	6.621966E+01	-3.430469E+00
14	3.981072E+03	6.652100E+01	-4.442700E+00	3.981072E+03	6.666919E+01	-3.820906E+00
15	3.162278E+03	6.696200E+01	-5.004800E+00	3.162278E+03	6.714877E+01	-4.274391E+00
16	2.511886E+03	6.740900E+01	-5.701000E+00	2.511886E+03	6.764965E+01	-4.834188E+00
17	1.995262E+03	6.781700E+01	-6.575700E+00	1.995262E+03	6.813505E+01	-5.538224E+00
18	1.584893E+03	6.827800E+01	-7.660600E+00	1.584893E+03	6.870640E+01	-6.401653E+00
19	1.258925E+03	6.880500E+01	-9.040700E+00	1.258925E+03	6.939641E+01	-7.485552E+00
20	1.000000E+03	6.947100E+01	-1.075200E+01	1.000000E+03	7.029812E+01	-8.797842E+00
21	7.943282E+02	7.029800E+01	-1.285800E+01	7.943282E+02	7.146424E+01	-1.036523E+01
22	6.309573E+02	7.137200E+01	-1.542000E+01	6.309573E+02	7.301876E+01	-1.219143E+01
23	5.011872E+02	7.280300E+01	-1.850900E+01	5.011872E+02	7.511897E+01	-1.426434E+01
24	3.981072E+02	7.476900E+01	-2.210000E+01	3.981072E+02	7.796675E+01	-1.646647E+01
25	3.162278E+02	7.737400E+01	-2.632000E+01	3.162278E+02	8.172808E+01	-1.878656E+01
26	2.511886E+02	8.090100E+01	-3.101700E+01	2.511886E+02	8.664310E+01	-2.097655E+01
27	1.995262E+02	8.569100E+01	-3.631000E+01	1.995262E+02	9.306645E+01	-2.296392E+01
28	1.584893E+02	9.123800E+01	-4.115500E+01	1.584893E+02	1.000905E+02	-2.427885E+01
29	1.258925E+02	9.827200E+01	-4.609600E+01	1.258925E+02	1.085460E+02	-2.512965E+01
30	1.000000E+02	1.075500E+02	-5.020400E+01	1.000000E+02	1.186905E+02	-2.502302E+01
31	7.943282E+01	1.155400E+02	-5.412600E+01	7.943282E+01	1.275896E+02	-2.510126E+01
32	6.309573E+01	1.249100E+02	-5.693600E+01	6.309573E+01	1.372742E+02	-2.450427E+01
33	5.011872E+01	1.350100E+02	-5.888600E+01	5.011872E+01	1.472931E+02	-2.356492E+01
34	3.981072E+01	1.438600E+02	-6.055500E+01	3.981072E+01	1.560853E+02	-2.282769E+01
35	3.162278E+01	1.531800E+02	-6.192300E+01	3.162278E+01	1.652228E+02	-2.201102E+01
36	2.511886E+01	1.619900E+02	-6.319700E+01	2.511886E+01	1.738811E+02	-2.131220E+01
37	1.995262E+01	1.710300E+02	-6.495700E+01	1.995262E+01	1.829499E+02	-2.079672E+01
38	1.584893E+01	1.800800E+02	-6.708100E+01	1.584893E+01	1.921683E+02	-2.043070E+01
39	1.258925E+01	1.895100E+02	-6.975500E+01	1.258925E+01	2.019401E+02	-2.020769E+01
40	1.000000E+01	1.995000E+02	-7.293400E+01	1.000000E+01	2.124138E+02	-2.008160E+01
41	7.943280E+00	2.104600E+02	-7.650000E+01	7.943280E+00	2.239323E+02	-1.997567E+01
42	6.309570E+00	2.221500E+02	-8.002600E+01	6.309570E+00	2.361245E+02	-1.981075E+01
43	5.011870E+00	2.348600E+02	-8.351800E+01	5.011870E+00	2.492679E+02	-1.957577E+01
44	3.981070E+00	2.488400E+02	-8.663600E+01	3.981070E+00	2.634903E+02	-1.919605E+01
45	3.162280E+00	2.642000E+02	-8.880300E+01	3.162280E+00	2.787250E+02	-1.857855E+01
46	2.511890E+00	2.801300E+02	-8.966000E+01	2.511890E+00	2.941288E+02	-1.774809E+01
47	1.995260E+00	2.972200E+02	-8.884000E+01	1.995260E+00	3.102133E+02	-1.664157E+01
48	1.584890E+00	3.135600E+02	-8.683500E+01	1.584890E+00	3.253616E+02	-1.547915E+01
49	1.258930E+00	3.298400E+02	-8.251800E+01	1.258930E+00	3.400054E+02	-1.404573E+01
50	1.000000E+00	3.447600E+02	-7.647600E+01	1.000000E+00	3.531403E+02	-1.250706E+01
51	7.943300E-01	3.550500E+02	-6.779500E+01	7.943300E-01	3.614646E+02	-1.081021E+01
52	6.309600E-01	3.619000E+02	-5.892200E+01	6.309600E-01	3.666653E+02	-9.247354E+00
53	5.011900E-01	3.684300E+02	-5.008000E+01	5.011900E-01	3.718181E+02	-7.740667E+00
54	3.981100E-01	3.745100E+02	-4.084000E+01	3.981100E-01	3.767302E+02	-6.223465E+00
