"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\2-Ethyl-1-Butanol_3_20240119.z"
"Date/Time:  2024/02/15 22:25:36"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\2-Ethyl-1-Butanol_3_20240119.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	3.366300E+01	-6.720400E-01	1.000000E+05	3.366971E+01	-1.143687E+00
1	7.943282E+04	3.368600E+01	-7.069500E-01	7.943282E+04	3.369342E+01	-1.202259E+00
2	6.309573E+04	3.367200E+01	-7.906200E-01	6.309573E+04	3.368128E+01	-1.345060E+00
3	5.011872E+04	3.371600E+01	-9.355900E-01	5.011872E+04	3.372898E+01	-1.589501E+00
4	3.981072E+04	3.376100E+01	-1.121600E+00	3.981072E+04	3.377963E+01	-1.902767E+00
5	3.162278E+04	3.383100E+01	-1.341600E+00	3.162278E+04	3.385759E+01	-2.270928E+00
6	2.511886E+04	3.395200E+01	-1.614800E+00	2.511886E+04	3.399038E+01	-2.723008E+00
7	1.995262E+04	3.409400E+01	-1.939600E+00	1.995262E+04	3.414913E+01	-3.256034E+00
8	1.584893E+04	3.430300E+01	-2.335200E+00	1.584893E+04	3.438239E+01	-3.894440E+00
9	1.258925E+04	3.457300E+01	-2.774800E+00	1.258925E+04	3.468417E+01	-4.588675E+00
10	1.000000E+04	3.493100E+01	-3.249300E+00	1.000000E+04	3.508180E+01	-5.314391E+00
11	7.943282E+03	3.537000E+01	-3.760300E+00	7.943282E+03	3.556932E+01	-6.068506E+00
12	6.309573E+03	3.590100E+01	-4.279700E+00	6.309573E+03	3.615519E+01	-6.798057E+00
13	5.011872E+03	3.648900E+01	-4.805400E+00	5.011872E+03	3.680406E+01	-7.502365E+00
14	3.981072E+03	3.711800E+01	-5.330400E+00	3.981072E+03	3.749879E+01	-8.172195E+00
15	3.162278E+03	3.775900E+01	-5.885000E+00	3.162278E+03	3.821486E+01	-8.858671E+00
16	2.511886E+03	3.839500E+01	-6.513100E+00	2.511886E+03	3.894350E+01	-9.627667E+00
17	1.995262E+03	3.904700E+01	-7.273300E+00	1.995262E+03	3.971862E+01	-1.055158E+01
18	1.584893E+03	3.968300E+01	-8.213700E+00	1.584893E+03	4.052413E+01	-1.169411E+01
19	1.258925E+03	4.035800E+01	-9.397900E+00	1.258925E+03	4.143777E+01	-1.310848E+01
20	1.000000E+03	4.112700E+01	-1.088600E+01	1.000000E+03	4.254333E+01	-1.482575E+01
21	7.943282E+02	4.204600E+01	-1.273800E+01	7.943282E+02	4.393316E+01	-1.685439E+01
22	6.309573E+02	4.316300E+01	-1.500300E+01	6.309573E+02	4.569611E+01	-1.916691E+01
23	5.011872E+02	4.460500E+01	-1.776000E+01	5.011872E+02	4.801066E+01	-2.171055E+01
24	3.981072E+02	4.648600E+01	-2.100100E+01	3.981072E+02	5.100971E+01	-2.431205E+01
25	3.162278E+02	4.898000E+01	-2.478000E+01	3.162278E+02	5.489161E+01	-2.683580E+01
26	2.511886E+02	5.228200E+01	-2.901900E+01	2.511886E+02	5.979557E+01	-2.903236E+01
27	1.995262E+02	5.631200E+01	-3.371700E+01	1.995262E+02	6.563442E+01	-3.091121E+01
28	1.584893E+02	6.190200E+01	-3.828400E+01	1.584893E+02	7.278408E+01	-3.173519E+01
29	1.258925E+02	6.836000E+01	-4.275500E+01	1.258925E+02	8.062927E+01	-3.202346E+01
30	1.000000E+02	7.642600E+01	-4.641700E+01	1.000000E+02	8.941740E+01	-3.127222E+01
31	7.943282E+01	8.378600E+01	-5.004900E+01	7.943282E+01	9.759609E+01	-3.085170E+01
32	6.309573E+01	9.209200E+01	-5.274000E+01	6.309573E+01	1.061247E+02	-2.979926E+01
33	5.011872E+01	1.003000E+02	-5.516100E+01	5.011872E+01	1.144676E+02	-2.880904E+01
34	3.981072E+01	1.088400E+02	-5.711200E+01	3.981072E+01	1.229143E+02	-2.768750E+01
35	3.162278E+01	1.169900E+02	-5.928200E+01	3.162278E+01	1.311526E+02	-2.687257E+01
36	2.511886E+01	1.252600E+02	-6.171100E+01	2.511886E+01	1.396364E+02	-2.622777E+01
37	1.995262E+01	1.335400E+02	-6.482500E+01	1.995262E+01	1.484426E+02	-2.589356E+01
38	1.584893E+01	1.424200E+02	-6.850700E+01	1.584893E+01	1.580401E+02	-2.568853E+01
39	1.258925E+01	1.518700E+02	-7.268500E+01	1.258925E+01	1.683675E+02	-2.557578E+01
40	1.000000E+01	1.622800E+02	-7.741700E+01	1.000000E+01	1.798004E+02	-2.550386E+01
41	7.943280E+00	1.737700E+02	-8.253100E+01	7.943280E+00	1.923730E+02	-2.540510E+01
42	6.309570E+00	1.867300E+02	-8.780500E+01	6.309570E+00	2.063439E+02	-2.518405E+01
43	5.011870E+00	2.012200E+02	-9.302400E+01	5.011870E+00	2.216821E+02	-2.481110E+01
44	3.981070E+00	2.171800E+02	-9.731200E+01	3.981070E+00	2.379848E+02	-2.413575E+01
45	3.162280E+00	2.347600E+02	-1.004100E+02	3.162280E+00	2.553320E+02	-2.315705E+01
46	2.511890E+00	2.528400E+02	-1.020200E+02	2.511890E+00	2.726466E+02	-2.197389E+01
47	1.995260E+00	2.724700E+02	-1.018400E+02	1.995260E+00	2.908802E+02	-2.049403E+01
48	1.584890E+00	2.878100E+02	-9.581400E+01	1.584890E+00	3.033396E+02	-1.841297E+01
49	1.258930E+00	3.052500E+02	-9.026400E+01	1.258930E+00	3.183161E+02	-1.647322E+01
50	1.000000E+00	3.204300E+02	-8.310600E+01	1.000000E+00	3.310317E+02	-1.453974E+01
51	7.943300E-01	3.342600E+02	-7.468200E+01	7.943300E-01	3.425013E+02	-1.259446E+01
52	6.309600E-01	3.452000E+02	-6.537800E+01	6.309600E-01	3.513365E+02	-1.072432E+01
53	5.011900E-01	3.545400E+02	-5.650500E+01	5.011900E-01	3.590145E+02	-9.055387E+00
54	3.981100E-01	3.609000E+02	-4.722300E+01	3.981100E-01	3.639764E+02	-7.454680E+00
55	3.162300E-01	3.646700E+02	-3.961700E+01	3.162300E-01	3.668156E+02	-6.200180E+00
