"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\MeOH_3_20240118.z"
"Date/Time:  2024/02/15 22:24:23"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20240130_for_onset\PEIS\MeOH_3_20240119.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	3.211800E+01	-2.855200E+00	1.000000E+05	3.224466E+01	-5.080080E+00
1	7.943282E+04	3.178800E+01	-2.667300E+00	7.943282E+04	3.189971E+01	-4.796397E+00
2	6.309573E+04	3.160300E+01	-2.676000E+00	6.309573E+04	3.171609E+01	-4.840004E+00
3	5.011872E+04	3.151700E+01	-2.806300E+00	5.011872E+04	3.164169E+01	-5.088245E+00
4	3.981072E+04	3.153000E+01	-3.089200E+00	3.981072E+04	3.168097E+01	-5.595782E+00
5	3.162278E+04	3.160400E+01	-3.502900E+00	3.162278E+04	3.179753E+01	-6.324691E+00
6	2.511886E+04	3.174600E+01	-4.035300E+00	2.511886E+04	3.200144E+01	-7.244137E+00
7	1.995262E+04	3.191500E+01	-4.728500E+00	1.995262E+04	3.226338E+01	-8.427587E+00
8	1.584893E+04	3.212800E+01	-5.612400E+00	1.584893E+04	3.261453E+01	-9.908941E+00
9	1.258925E+04	3.237900E+01	-6.715500E+00	1.258925E+04	3.306807E+01	-1.171719E+01
10	1.000000E+04	3.268800E+01	-8.082100E+00	1.000000E+04	3.367233E+01	-1.388784E+01
11	7.943282E+03	3.304700E+01	-9.792800E+00	7.943282E+03	3.446742E+01	-1.650611E+01
12	6.309573E+03	3.351700E+01	-1.190800E+01	6.309573E+03	3.556951E+01	-1.955923E+01
13	5.011872E+03	3.408000E+01	-1.453000E+01	5.011872E+03	3.704818E+01	-2.309096E+01
14	3.981072E+03	3.482700E+01	-1.778100E+01	3.981072E+03	3.910350E+01	-2.704668E+01
15	3.162278E+03	3.580100E+01	-2.178100E+01	3.162278E+03	4.190613E+01	-3.131595E+01
16	2.511886E+03	3.717600E+01	-2.670700E+01	2.511886E+03	4.577465E+01	-3.569322E+01
17	1.995262E+03	3.900700E+01	-3.268600E+01	1.995262E+03	5.089126E+01	-3.996140E+01
18	1.584893E+03	4.160700E+01	-3.991100E+01	1.584893E+03	5.765440E+01	-4.380812E+01
19	1.258925E+03	4.516200E+01	-4.851900E+01	1.258925E+03	6.628499E+01	-4.705228E+01
20	1.000000E+03	5.008200E+01	-5.860100E+01	1.000000E+03	7.708621E+01	-4.948190E+01
21	7.943282E+02	5.670300E+01	-7.016900E+01	7.943282E+02	9.021596E+01	-5.105860E+01
22	6.309573E+02	6.552700E+01	-8.308000E+01	6.309573E+02	1.058115E+02	-5.173639E+01
23	5.011872E+02	7.680100E+01	-9.717100E+01	5.011872E+02	1.238572E+02	-5.167823E+01
24	3.981072E+02	9.086000E+01	-1.117900E+02	3.981072E+02	1.440574E+02	-5.089669E+01
25	3.162278E+02	1.077600E+02	-1.267000E+02	3.162278E+02	1.663283E+02	-4.961840E+01
26	2.511886E+02	1.272400E+02	-1.415800E+02	2.511886E+02	1.903547E+02	-4.805351E+01
27	1.995262E+02	1.480300E+02	-1.557200E+02	1.995262E+02	2.148525E+02	-4.645024E+01
28	1.584893E+02	1.713300E+02	-1.698100E+02	1.584893E+02	2.412248E+02	-4.474471E+01
29	1.258925E+02	1.952900E+02	-1.839900E+02	1.258925E+02	2.683105E+02	-4.329347E+01
30	1.000000E+02	2.204700E+02	-2.000400E+02	1.000000E+02	2.976962E+02	-4.221854E+01
31	7.943282E+01	2.453300E+02	-2.158800E+02	7.943282E+01	3.267889E+02	-4.134641E+01
32	6.309573E+01	2.717600E+02	-2.352700E+02	6.309573E+01	3.594516E+02	-4.088363E+01
33	5.011872E+01	3.002600E+02	-2.579900E+02	5.011872E+01	3.958723E+02	-4.066990E+01
34	3.981072E+01	3.303200E+02	-2.853500E+02	3.981072E+01	4.365042E+02	-4.082240E+01
35	3.162278E+01	3.643400E+02	-3.175100E+02	3.162278E+01	4.832766E+02	-4.107105E+01
36	2.511886E+01	4.031600E+02	-3.552600E+02	2.511886E+01	5.373524E+02	-4.138614E+01
37	1.995262E+01	4.485200E+02	-3.985500E+02	1.995262E+01	6.000102E+02	-4.162394E+01
38	1.584893E+01	5.019600E+02	-4.476200E+02	1.584893E+01	6.725530E+02	-4.172480E+01
39	1.258925E+01	5.660500E+02	-5.014500E+02	1.258925E+01	7.562174E+02	-4.153696E+01
40	1.000000E+01	6.427700E+02	-5.590300E+02	1.000000E+01	8.518614E+02	-4.101414E+01
41	7.943280E+00	7.348400E+02	-6.180200E+02	7.943280E+00	9.601763E+02	-4.006473E+01
42	6.309570E+00	8.414000E+02	-6.731000E+02	6.309570E+00	1.077505E+03	-3.865898E+01
43	5.011870E+00	9.650200E+02	-7.212900E+02	5.011870E+00	1.204792E+03	-3.677574E+01
44	3.981070E+00	1.102700E+03	-7.568500E+02	3.981070E+00	1.337449E+03	-3.446418E+01
45	3.162280E+00	1.251500E+03	-7.757400E+02	3.162280E+00	1.472421E+03	-3.179263E+01
46	2.511890E+00	1.402800E+03	-7.741200E+02	2.511890E+00	1.602220E+03	-2.889163E+01
47	1.995260E+00	1.551600E+03	-7.538800E+02	1.995260E+00	1.725050E+03	-2.591385E+01
48	1.584890E+00	1.689600E+03	-7.134900E+02	1.584890E+00	1.834071E+03	-2.289353E+01
49	1.258930E+00	1.813400E+03	-6.608400E+02	1.258930E+00	1.930059E+03	-2.002277E+01
50	1.000000E+00	1.920200E+03	-6.000800E+02	1.000000E+00	2.011781E+03	-1.735450E+01
51	7.943300E-01	2.011700E+03	-5.354700E+02	7.943300E-01	2.081746E+03	-1.490527E+01
52	6.309600E-01	2.082400E+03	-4.754300E+02	6.309600E-01	2.135983E+03	-1.286069E+01
53	5.011900E-01	2.143500E+03	-4.204600E+02	5.011900E-01	2.184349E+03	-1.109799E+01
54	3.981100E-01	2.192400E+03	-3.752400E+02	3.981100E-01	2.224280E+03	-9.712345E+00
55	3.162300E-01	2.235900E+03	-3.330200E+02	3.162300E-01	2.260564E+03	-8.471486E+00
56	2.511900E-01	2.273300E+03	-3.008600E+02	2.511900E-01	2.293122E+03	-7.539001E+00
57	1.995300E-01	2.307100E+03	-2.747100E+02	1.995300E-01	2.323398E+03	-6.790327E+00
58	1.584900E-01	2.339500E+03	-2.332100E+02	1.584900E-01	2.351095E+03	-5.692649E+00
59	1.258900E-01	2.386300E+03	-1.910700E+02	1.258900E-01	2.393937E+03	-4.577882E+00
60	1.000000E-01	2.433500E+03	-1.587300E+02	1.000000E-01	2.438671E+03	-3.731947E+00
