RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/07 12:29:35
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No532
146.591,1124.07
147.626,1372.57
148.664,1582.57
149.699,1847.40
150.737,2072.17
151.772,2314.03
152.809,2613.53
153.846,2784.63
154.881,2999.23
155.918,3188.53
156.953,3313.53
157.989,3504.57
159.026,3613.37
160.060,3663.10
161.096,3769.77
162.130,3844.10
163.167,3927.07
164.200,4017.23
165.236,4083.60
166.272,4172.00
167.305,4260.03
168.341,4304.67
169.374,4356.63
170.409,4480.67
171.445,4537.50
172.477,4630.70
173.512,4662.03
174.545,4742.20
175.580,4731.17
176.614,4797.87
177.647,4778.03
178.681,4822.83
179.713,4751.97
180.747,4807.47
181.781,4773.77
182.813,4753.43
183.847,4760.90
184.878,4743.73
185.912,4718.67
186.945,4792.13
187.976,4795.70
189.010,4828.73
190.043,4850.83
191.073,4824.70
192.106,4917.13
193.137,4933.13
194.170,4941.17
195.202,5080.57
196.232,5018.40
197.265,5107.13
198.297,5104.33
199.327,5155.90
200.359,5209.67
201.388,5219.77
202.420,5268.90
203.452,5316.23
204.481,5370.73
205.512,5414.13
206.544,5458.50
207.573,5453.10
208.604,5514.70
209.635,5616.60
210.663,5629.50
211.694,5656.43
212.725,5707.33
213.753,5778.73
214.783,5784.97
215.813,5800.10
216.841,5767.03
217.871,5727.30
218.899,5728.23
219.929,5748.47
220.959,5688.13
221.986,5684.83
223.016,5600.53
224.045,5610.47
225.072,5613.00
226.101,5568.80
227.130,5538.57
228.157,5515.50
229.185,5517.63
230.214,5480.10
231.241,5450.77
232.269,5431.87
233.297,5432.20
234.323,5402.73
235.351,5381.60
236.379,5394.50
237.407,5369.90
238.433,5242.87
239.460,5312.57
240.488,5363.60
241.513,5301.63
242.540,5369.80
243.568,5383.23
244.592,5354.93
245.619,5388.33
246.646,5393.97
247.671,5380.03
248.697,5426.80
249.724,5427.17
250.748,5451.43
251.774,5476.60
252.801,5452.60
253.827,5521.67
254.850,5556.43
255.876,5564.90
256.902,5608.90
257.925,5603.43
258.951,5643.37
259.976,5688.37
260.999,5706.90
262.024,5732.13
263.049,5745.33
264.074,5770.10
265.097,5849.77
266.122,5881.80
267.146,5857.60
268.168,5925.17
269.193,5911.77
270.217,5883.60
271.241,5928.10
272.263,5930.73
273.287,5946.03
274.311,5897.30
275.332,5963.90
276.356,5944.53
277.379,5899.43
278.402,5893.43
279.424,5871.53
280.447,5876.27
281.470,5795.00
282.492,5780.63
283.513,5740.63
284.536,5726.83
285.558,5686.80
286.581,5654.07
287.601,5624.77
288.623,5581.87
289.645,5603.43
290.665,5534.67
291.687,5499.00
292.709,5459.70
293.730,5452.23
294.750,5408.97
295.771,5385.70
296.792,5377.47
297.813,5363.57
298.832,5297.27
299.853,5276.03
300.874,5323.27
301.895,5318.80
302.913,5257.93
303.934,5212.57
304.954,5188.80
305.975,5428.40
306.993,5209.10
308.013,5153.03
309.033,5176.57
310.052,5132.00
311.072,5098.50
312.090,5156.43
313.109,5161.70
314.129,5132.50
315.148,5133.80
316.165,5152.63
317.184,5112.57
318.203,5101.77
319.222,5094.00
320.238,5099.93
321.257,5070.47
322.275,5106.87
323.294,5045.77
324.312,5031.47
325.328,5048.57
326.346,5080.57
327.364,5095.07
328.382,5056.43
329.397,5044.27
330.415,4983.53
331.432,4989.03
332.450,5003.30
333.467,5048.63
334.482,5001.40
335.499,4985.43
336.516,5024.93
337.533,5020.77
338.547,4987.80
339.564,5004.50
340.580,4982.17
