RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/07 12:10:33
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No528
146.591,822.93
147.626,997.03
148.664,1154.40
149.699,1348.60
150.737,1547.77
151.772,1744.70
152.809,1901.50
153.846,2080.13
154.881,2221.83
155.918,2360.97
156.953,2469.07
157.989,2538.17
159.026,2645.60
160.060,2641.17
161.096,2728.63
162.130,2761.90
163.167,2840.33
164.200,2861.73
165.236,2893.13
166.272,2944.00
167.305,3016.50
168.341,3086.67
169.374,3130.87
170.409,3205.67
171.445,3250.30
172.477,3355.60
173.512,3398.63
174.545,3422.23
175.580,3467.47
176.614,3457.80
177.647,3449.13
178.681,3442.17
179.713,3441.53
180.747,3375.10
181.781,3318.20
182.813,3275.60
183.847,3289.80
184.878,3211.47
185.912,3236.10
186.945,3219.37
187.976,3241.77
189.010,3196.37
190.043,3221.83
191.073,3214.10
192.106,3260.30
193.137,3275.53
194.170,3259.90
195.202,3286.83
196.232,3298.67
197.265,3344.20
198.297,3397.43
199.327,3409.23
200.359,3439.63
201.388,3444.43
202.420,3512.57
203.452,3547.90
204.481,3517.53
205.512,3573.23
206.544,3669.87
207.573,3656.80
208.604,3748.03
209.635,3795.20
210.663,3870.73
211.694,3882.07
212.725,3990.83
213.753,4074.10
214.783,4143.30
215.813,4168.20
216.841,4214.47
217.871,4275.60
218.899,4265.67
219.929,4280.97
220.959,4261.57
221.986,4272.27
223.016,4241.90
224.045,4234.93
225.072,4186.23
226.101,4141.73
227.130,4075.30
228.157,3964.67
229.185,3966.90
230.214,3936.37
231.241,3878.30
232.269,3847.37
233.297,3807.30
234.323,3842.67
235.351,3773.77
236.379,3749.50
237.407,3731.27
238.433,3723.87
239.460,3738.27
240.488,3766.23
241.513,3799.27
242.540,3826.73
243.568,3873.37
244.592,3930.33
245.619,3942.03
246.646,3940.27
247.671,3966.73
248.697,3955.60
249.724,3944.47
250.748,3892.50
251.774,3864.13
252.801,3858.90
253.827,3815.43
254.850,3837.30
255.876,3837.27
256.902,3789.07
257.925,3859.20
258.951,3902.30
259.976,3849.27
260.999,3819.97
262.024,3935.33
263.049,3906.40
264.074,3983.10
265.097,3962.00
266.122,3991.97
267.146,4031.43
268.168,4021.13
269.193,4026.33
270.217,4104.90
271.241,4120.70
272.263,4191.00
273.287,4167.90
274.311,4260.57
275.332,4254.47
276.356,4305.33
277.379,4248.03
278.402,4268.97
279.424,4293.57
280.447,4290.20
281.470,4285.83
282.492,4234.37
283.513,4169.53
284.536,4154.80
285.558,4123.90
286.581,4120.03
287.601,4041.47
288.623,3969.97
289.645,3959.13
290.665,3891.20
291.687,3824.60
292.709,3764.97
293.730,3727.67
294.750,3701.93
295.771,3666.60
296.792,3623.10
297.813,3616.40
298.832,3564.77
299.853,3515.73
300.874,3466.40
301.895,3482.90
302.913,3404.30
303.934,3372.63
304.954,3317.53
305.975,2317.10
306.993,3302.20
308.013,3268.17
309.033,3247.23
310.052,3210.20
311.072,3216.27
312.090,3159.67
313.109,3173.40
314.129,3097.03
315.148,3132.80
316.165,3132.07
317.184,3077.83
318.203,3074.03
319.222,3015.60
320.238,3090.97
321.257,3068.77
322.275,3028.50
323.294,3008.43
324.312,2975.73
325.328,2978.83
326.346,2945.37
327.364,2973.23
328.382,3049.07
329.397,2990.40
330.415,2916.10
331.432,2911.43
332.450,2925.47
333.467,2894.53
334.482,2926.80
335.499,2915.60
336.516,2901.00
337.533,2905.00
338.547,2876.60
339.564,2873.30
340.580,2876.53
