RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/09/13 20:45:17
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No106
146.591,553.25
147.626,619.75
148.664,787.50
149.699,974.00
150.737,1156.75
151.772,1413.00
152.809,1591.50
153.846,1866.50
154.881,2069.50
155.918,2346.00
156.953,2610.50
157.989,2792.50
159.026,3009.25
160.060,3170.75
161.096,3353.50
162.130,3487.75
163.167,3524.50
164.200,3643.25
165.236,3748.50
166.272,3845.00
167.305,3869.50
168.341,3929.75
169.374,3968.25
170.409,4051.25
171.445,4188.25
172.477,4242.50
173.512,4272.00
174.545,4374.25
175.580,4503.00
176.614,4580.25
177.647,4665.75
178.681,4698.50
179.713,4799.25
180.747,4810.75
181.781,4756.00
182.813,4726.25
183.847,4776.75
184.878,4662.25
185.912,4572.50
186.945,4588.75
187.976,4562.00
189.010,4516.00
190.043,4520.00
191.073,4571.50
192.106,4550.00
193.137,4622.50
194.170,4574.25
195.202,4638.75
196.232,4680.25
197.265,4757.50
198.297,4823.75
199.327,4794.75
200.359,4841.25
201.388,4939.75
202.420,5028.50
203.452,5107.50
204.481,5131.25
205.512,5187.25
206.544,5359.25
207.573,5416.75
208.604,5544.00
209.635,5554.00
210.663,5680.00
211.694,5817.50
212.725,5965.25
213.753,6068.50
214.783,6205.50
215.813,6350.25
216.841,6418.50
217.871,6529.50
218.899,6564.75
219.929,6618.75
220.959,6661.75
221.986,6631.50
223.016,6606.25
224.045,6563.00
225.072,6515.75
226.101,6399.00
227.130,6319.25
228.157,6273.75
229.185,6150.50
230.214,6039.00
231.241,6020.00
232.269,5933.25
233.297,5832.25
234.323,5781.00
235.351,5764.75
236.379,5692.75
237.407,5683.50
238.433,5617.00
239.460,5594.75
240.488,5603.00
241.513,5606.25
242.540,5683.25
243.568,5644.50
244.592,5754.00
245.619,5760.50
246.646,5790.25
247.671,5903.50
248.697,5946.25
249.724,5922.25
250.748,5937.75
251.774,5944.75
252.801,5907.50
253.827,5871.00
254.850,5838.75
255.876,5832.00
256.902,5827.00
257.925,5799.00
258.951,5868.75
259.976,5812.00
260.999,5878.25
262.024,5862.50
263.049,5902.50
264.074,5932.75
265.097,5898.75
266.122,5966.50
267.146,6028.50
268.168,5999.50
269.193,6066.00
270.217,6062.50
271.241,6128.50
272.263,6227.25
273.287,6210.00
274.311,6229.25
275.332,6277.00
276.356,6353.75
277.379,6381.50
278.402,6428.50
279.424,6445.75
280.447,6390.25
281.470,6415.00
282.492,6416.25
283.513,6321.75
284.536,6271.75
285.558,6182.25
286.581,6153.50
287.601,6058.25
288.623,6014.25
289.645,5978.25
290.665,5990.00
291.687,5871.75
292.709,5742.25
293.730,5652.00
294.750,5585.75
295.771,5569.25
296.792,5517.50
297.813,5492.50
298.832,5390.25
299.853,5391.75
300.874,5289.50
301.895,5234.00
302.913,5158.25
303.934,5172.00
304.954,5061.25
305.975,5041.50
306.993,4964.50
308.013,4917.00
309.033,4915.75
310.052,4809.25
311.072,4829.25
312.090,4799.25
313.109,4817.50
314.129,4796.50
315.148,4721.00
316.165,4648.50
317.184,4632.75
318.203,4632.75
319.222,4598.50
320.238,4580.50
321.257,4543.50
322.275,4557.00
323.294,4562.00
324.312,4513.75
325.328,4497.25
326.346,4502.50
327.364,4461.25
328.382,4412.50
329.397,4427.00
330.415,4414.00
331.432,4328.00
332.450,4376.00
333.467,4352.50
334.482,4364.75
335.499,4346.25
336.516,4317.25
337.533,4325.50
338.547,4351.75
339.564,4310.25
340.580,4312.50
341.597,4293.25
342.613,4294.50
343.627,4249.25
344.643,4255.75
345.659,4255.50
346.675,4256.75
347.690,4230.75
348.704,4227.00
349.719,4183.00
350.735,4182.50
351.750,4185.00
352.765,4229.25
353.778,4191.50
354.793,4217.00
355.808,4202.75
356.822,4206.50
357.837,4204.00
358.851,4210.25
359.864,4136.25
360.878,4193.25
361.892,4172.50
362.906,4203.25
363.920,4154.00
364.932,4115.25
365.945,4143.75
366.959,4193.75
367.972,4224.25
368.986,4168.00
369.999,4188.00
371.010,4179.25
372.023,4159.25
373.036,4185.25
374.049,4172.25
375.061,4210.25
