RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 15:12:06
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No130
146.591,235.00
147.626,288.25
148.664,340.25
149.699,326.75
150.737,404.00
151.772,452.25
152.809,483.00
153.846,509.00
154.881,565.00
155.918,585.50
156.953,583.50
157.989,609.25
159.026,708.25
160.060,734.25
161.096,688.75
162.130,722.50
163.167,737.00
164.200,720.75
165.236,800.75
166.272,778.00
167.305,766.75
168.341,802.75
169.374,796.00
170.409,844.00
171.445,871.00
172.477,864.00
173.512,872.25
174.545,875.75
175.580,935.75
176.614,906.25
177.647,935.50
178.681,958.25
179.713,946.75
180.747,939.00
181.781,940.25
182.813,909.75
183.847,904.25
184.878,929.50
185.912,931.00
186.945,940.00
187.976,902.00
189.010,880.00
190.043,901.75
191.073,924.25
192.106,949.50
193.137,976.50
194.170,1009.00
195.202,1002.00
196.232,988.00
197.265,1012.00
198.297,1072.50
199.327,1071.75
200.359,1094.75
201.388,1169.75
202.420,1186.00
203.452,1227.25
204.481,1239.00
205.512,1300.25
206.544,1391.75
207.573,1489.25
208.604,1563.50
209.635,1589.50
210.663,1729.25
211.694,1854.50
212.725,1939.00
213.753,2099.75
214.783,2277.50
215.813,2363.25
216.841,2527.00
217.871,2587.50
218.899,2672.25
219.929,2793.00
220.959,2757.00
221.986,2737.75
223.016,2661.00
224.045,2604.50
225.072,2481.00
226.101,2352.75
227.130,2220.25
228.157,2097.00
229.185,1940.50
230.214,1862.75
231.241,1703.75
232.269,1664.75
233.297,1589.50
234.323,1539.25
235.351,1489.25
236.379,1478.75
237.407,1399.25
238.433,1405.25
239.460,1365.50
240.488,1361.25
241.513,1375.00
242.540,1362.50
243.568,1355.25
244.592,1312.75
245.619,1321.50
246.646,1302.25
247.671,1383.00
248.697,1367.50
249.724,1335.75
250.748,1316.00
251.774,1368.25
252.801,1355.50
253.827,1369.00
254.850,1405.75
255.876,1370.75
256.902,1412.25
257.925,1421.50
258.951,1454.25
259.976,1461.50
260.999,1462.75
262.024,1502.50
263.049,1558.25
264.074,1612.50
265.097,1617.00
266.122,1624.00
267.146,1712.50
268.168,1703.50
269.193,1799.75
270.217,1845.75
271.241,1870.00
272.263,1927.50
273.287,1927.75
274.311,1954.50
275.332,2024.25
276.356,2028.75
277.379,2034.25
278.402,2101.25
279.424,2042.25
280.447,2079.00
281.470,2072.00
282.492,2070.50
283.513,2058.00
284.536,2086.75
285.558,2033.00
286.581,1963.25
287.601,1944.25
288.623,1906.25
289.645,1860.75
290.665,1818.75
291.687,1791.25
292.709,1747.25
293.730,1666.75
294.750,1627.00
295.771,1618.00
296.792,1534.25
297.813,1528.00
298.832,1459.25
299.853,1360.25
300.874,1373.75
301.895,1337.00
302.913,1260.50
303.934,1235.50
304.954,1233.75
305.975,1151.00
306.993,1102.50
308.013,1130.75
309.033,1108.00
310.052,1081.75
311.072,1099.75
312.090,1051.75
313.109,1025.00
314.129,1020.50
315.148,1022.50
316.165,1008.25
317.184,1003.25
318.203,936.25
319.222,950.50
320.238,969.75
321.257,931.75
322.275,884.75
323.294,932.75
324.312,915.50
325.328,887.00
326.346,898.00
327.364,836.50
328.382,874.50
329.397,853.50
330.415,915.75
331.432,856.50
332.450,864.50
333.467,876.00
334.482,862.50
335.499,846.75
336.516,831.75
337.533,878.75
338.547,844.75
339.564,848.25
340.580,862.75
341.597,827.00
342.613,837.00
343.627,824.50
344.643,829.00
345.659,867.25
346.675,848.25
347.690,834.25
348.704,816.50
349.719,837.75
350.735,839.25
351.750,858.50
352.765,841.75
353.778,813.75
354.793,813.00
355.808,856.50
356.822,873.75
357.837,822.00
358.851,838.50
359.864,864.25
360.878,884.75
361.892,814.75
362.906,888.50
363.920,863.00
364.932,917.00
365.945,927.25
366.959,916.00
367.972,897.50
368.986,930.75
369.999,906.50
371.010,883.75
372.023,908.00
373.036,895.25
374.049,914.75
375.061,916.25
376.072,942.50
377.084,973.25
378.097,971.50
379.109,976.75
380.121,969.75
381.133,981.00
382.143,979.00
383.155,980.25
384.166,1018.50
385.178,1016.25
386.189,1021.50
387.201,1034.25
