RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 15:49:46
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No154
146.591,849.00
147.626,946.00
148.664,1132.25
149.699,1303.75
150.737,1507.50
151.772,1644.00
152.809,1815.25
153.846,1915.25
154.881,2091.25
155.918,2213.00
156.953,2327.50
157.989,2393.75
159.026,2456.00
160.060,2510.75
161.096,2582.25
162.130,2599.50
163.167,2654.25
164.200,2704.50
165.236,2713.75
166.272,2769.00
167.305,2801.50
168.341,2891.50
169.374,2908.00
170.409,3007.00
171.445,3076.00
172.477,3119.00
173.512,3144.50
174.545,3170.75
175.580,3185.75
176.614,3175.50
177.647,3164.75
178.681,3155.50
179.713,3093.25
180.747,3090.00
181.781,3077.50
182.813,3025.75
183.847,3060.75
184.878,3030.00
185.912,3024.00
186.945,3006.50
187.976,3057.00
189.010,3055.25
190.043,3059.50
191.073,3105.25
192.106,3131.25
193.137,3073.50
194.170,3126.25
195.202,3183.75
196.232,3218.50
197.265,3225.75
198.297,3279.75
199.327,3346.00
200.359,3303.00
201.388,3406.50
202.420,3455.00
203.452,3566.75
204.481,3581.50
205.512,3623.75
206.544,3702.75
207.573,3737.50
208.604,3826.00
209.635,3911.50
210.663,4015.00
211.694,4049.00
212.725,4172.50
213.753,4229.00
214.783,4269.75
215.813,4414.50
216.841,4394.75
217.871,4470.00
218.899,4491.50
219.929,4547.50
220.959,4442.25
221.986,4425.00
223.016,4341.25
224.045,4353.00
225.072,4245.50
226.101,4226.25
227.130,4123.50
228.157,4031.00
229.185,3982.50
230.214,3898.50
231.241,3795.75
232.269,3797.75
233.297,3777.50
234.323,3714.75
235.351,3698.25
236.379,3699.00
237.407,3703.75
238.433,3672.25
239.460,3690.00
240.488,3721.00
241.513,3759.75
242.540,3783.75
243.568,3786.00
244.592,3887.25
245.619,3884.25
246.646,3885.75
247.671,3895.75
248.697,3840.50
249.724,3822.25
250.748,3868.25
251.774,3786.75
252.801,3756.25
253.827,3747.75
254.850,3796.75
255.876,3760.75
256.902,3800.00
257.925,3751.00
258.951,3751.25
259.976,3810.25
260.999,3833.75
262.024,3873.25
263.049,3908.50
264.074,3909.50
265.097,3978.75
266.122,3999.50
267.146,3967.25
268.168,4038.50
269.193,4133.50
270.217,4110.00
271.241,4095.25
272.263,4188.75
273.287,4225.75
274.311,4225.75
275.332,4242.50
276.356,4289.00
277.379,4299.00
278.402,4300.25
279.424,4264.25
280.447,4258.25
281.470,4224.50
282.492,4189.75
283.513,4159.75
284.536,4121.25
285.558,4090.00
286.581,4046.50
287.601,3949.50
288.623,3880.00
289.645,3897.00
290.665,3817.75
291.687,3785.50
292.709,3717.25
293.730,3628.75
294.750,3655.50
295.771,3609.75
296.792,3560.50
297.813,3494.25
298.832,3415.00
299.853,3449.75
300.874,3386.25
301.895,3315.50
302.913,3322.25
303.934,3313.50
304.954,3230.75
305.975,3241.00
306.993,3186.50
308.013,3176.50
309.033,3080.25
310.052,3097.75
311.072,3081.50
312.090,3086.75
313.109,3028.75
314.129,3047.00
315.148,3055.75
316.165,3032.50
317.184,2989.00
318.203,2950.00
319.222,2968.75
320.238,2957.50
321.257,2961.75
322.275,2852.25
323.294,2888.75
324.312,2835.75
325.328,2902.50
326.346,2820.00
327.364,2854.25
328.382,2852.75
329.397,2871.50
330.415,2846.50
331.432,2823.75
332.450,2805.00
333.467,2784.00
334.482,2799.50
335.499,2819.75
336.516,2804.50
337.533,2789.25
338.547,2823.50
339.564,2810.50
340.580,2797.50
341.597,2743.50
342.613,2727.00
343.627,2723.50
344.643,2716.75
345.659,2717.50
346.675,2755.25
347.690,2800.50
348.704,2790.75
349.719,2745.50
350.735,2719.50
351.750,2719.75
352.765,2695.75
353.778,2689.75
354.793,2731.25
355.808,2694.25
356.822,2645.00
357.837,2678.25
358.851,2740.75
359.864,2725.00
360.878,2737.50
361.892,2734.75
362.906,2719.75
363.920,2747.00
364.932,2771.25
365.945,2761.25
366.959,2813.00
367.972,2761.75
368.986,2746.75
369.999,2812.75
371.010,2812.75
372.023,2805.00
373.036,2800.75
374.049,2865.50
375.061,2866.50
