RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],20
Exposure Count,2
Measure Time,2024/02/15 20:53:33
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No28
96.716,-1.50
97.759,-34.50
98.802,24.50
99.846,48.00
100.886,14.00
101.929,-25.50
102.972,-0.50
104.015,15.50
105.057,9.00
106.100,22.50
107.142,-2.50
108.184,-21.00
109.226,39.00
110.268,31.00
111.310,18.00
112.352,7.00
113.393,25.00
114.435,8.00
115.476,30.50
116.517,-9.50
117.558,24.00
118.599,34.50
119.640,23.00
120.681,36.50
121.722,16.50
122.762,29.50
123.803,57.00
124.843,65.00
125.883,40.50
126.923,-1.00
127.963,22.50
129.001,48.00
130.041,7.50
131.080,50.50
132.120,21.50
133.159,46.00
134.199,-3.50
135.238,22.50
136.277,53.00
137.316,19.50
138.355,-4.50
139.393,-16.00
140.432,63.50
141.470,42.00
142.509,6.50
143.547,25.50
144.585,25.50
145.623,87.50
146.661,156.00
147.699,146.00
148.736,213.00
149.774,277.00
150.811,299.00
151.849,396.50
152.886,502.00
153.923,701.50
154.960,815.50
155.997,1001.50
157.034,1194.00
158.072,1297.00
159.109,1569.50
160.145,1757.50
161.182,2000.50
162.218,2133.50
163.254,2344.00
164.290,2522.00
165.326,2647.50
166.361,2751.50
167.397,2868.00
168.432,2943.00
169.468,3052.00
170.503,3157.50
171.538,3202.50
172.573,3226.00
173.608,3232.50
174.643,3354.50
175.677,3439.00
176.712,3413.50
177.746,3448.00
178.781,3549.00
179.815,3655.00
180.849,3685.50
181.883,3718.50
182.917,3761.00
183.951,3921.50
184.984,3863.00
186.020,3888.50
187.053,3970.00
188.087,4014.50
189.120,4024.50
190.153,4040.00
191.186,3931.00
192.219,3941.00
193.251,3882.00
194.284,3870.00
195.317,3947.00
196.349,3903.50
197.381,3930.50
198.413,3965.00
199.445,3972.00
200.477,3957.00
201.509,4056.00
202.543,4082.50
203.575,4059.00
204.606,4103.00
205.637,4152.50
206.669,4201.50
207.700,4254.50
208.731,4265.50
209.762,4380.00
210.792,4447.50
211.823,4477.00
212.854,4504.00
213.884,4539.00
214.914,4607.50
215.947,4678.00
216.977,4700.00
218.007,4756.50
219.037,4796.00
