RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],20
Exposure Count,2
Measure Time,2024/02/15 21:26:58
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No50
96.716,18.00
97.759,18.00
98.802,-3.50
99.846,31.00
100.886,48.00
101.929,9.00
102.972,-3.00
104.015,-3.00
105.057,-6.00
106.100,-23.50
107.142,31.50
108.184,0.00
109.226,-16.00
110.268,-4.50
111.310,13.50
112.352,35.00
113.393,6.00
114.435,45.50
115.476,18.50
116.517,-4.50
117.558,19.00
118.599,-1.50
119.640,-26.50
120.681,64.50
121.722,13.00
122.762,-3.50
123.803,47.50
124.843,-66.50
125.883,6.50
126.923,12.50
127.963,20.50
129.001,-0.50
130.041,56.50
131.080,65.50
132.120,22.00
133.159,-3.00
134.199,62.50
135.238,12.00
136.277,56.50
137.316,15.00
138.355,-9.00
139.393,3.50
140.432,44.50
141.470,-14.50
142.509,21.00
143.547,55.50
144.585,118.00
145.623,107.50
146.661,128.00
147.699,169.00
148.736,257.00
149.774,298.50
150.811,379.50
151.849,461.50
152.886,602.00
153.923,744.00
154.960,880.00
155.997,1142.50
157.034,1326.50
158.072,1554.00
159.109,1709.50
160.145,2050.00
161.182,2322.00
162.218,2496.00
163.254,2667.00
164.290,2891.00
165.326,3044.50
166.361,3207.50
167.397,3336.50
168.432,3364.50
169.468,3544.00
170.503,3685.50
171.538,3667.00
172.573,3664.00
173.608,3745.50
174.643,3836.00
175.677,3887.50
176.712,3986.00
177.746,4005.50
178.781,4109.50
179.815,4176.00
180.849,4239.50
181.883,4371.00
182.917,4355.50
183.951,4378.50
184.984,4384.50
186.020,4487.50
187.053,4578.50
188.087,4621.50
189.120,4466.50
190.153,4565.50
191.186,4597.00
192.219,4513.00
193.251,4455.00
194.284,4471.50
195.317,4403.00
196.349,4554.50
197.381,4420.50
198.413,4555.00
199.445,4572.00
200.477,4464.50
201.509,4617.50
202.543,4590.00
203.575,4548.00
204.606,4581.00
205.637,4716.00
206.669,4696.50
207.700,4720.00
208.731,4757.50
209.762,4882.00
210.792,4835.50
211.823,4872.00
212.854,4924.50
213.884,4918.00
214.914,4884.50
215.947,4983.00
216.977,5043.00
218.007,4975.50
