RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],20
Exposure Count,2
Measure Time,2024/02/15 21:20:03
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No44
96.716,16.00
97.759,18.50
98.802,42.00
99.846,-19.00
100.886,28.00
101.929,0.50
102.972,1.00
104.015,1.50
105.057,34.00
106.100,23.50
107.142,-19.00
108.184,22.00
109.226,-19.00
110.268,45.50
111.310,40.00
112.352,30.00
113.393,11.50
114.435,-24.50
115.476,49.50
116.517,-36.50
117.558,24.50
118.599,-8.50
119.640,42.50
120.681,41.00
121.722,-9.00
122.762,9.50
123.803,17.50
124.843,43.00
125.883,48.50
126.923,15.50
127.963,5.50
129.001,-25.50
130.041,10.00
131.080,41.50
132.120,57.00
133.159,3.00
134.199,0.50
135.238,28.00
136.277,-24.50
137.316,29.50
138.355,42.00
139.393,-12.00
140.432,-8.00
141.470,-43.50
142.509,53.50
143.547,38.50
144.585,40.00
145.623,31.00
146.661,107.50
147.699,93.00
148.736,154.50
149.774,255.00
150.811,208.00
151.849,370.00
152.886,463.50
153.923,527.50
154.960,686.50
155.997,857.50
157.034,972.00
158.072,1105.50
159.109,1295.50
160.145,1476.50
161.182,1672.50
162.218,1818.00
163.254,1912.00
164.290,2163.50
165.326,2292.00
166.361,2372.00
167.397,2428.00
168.432,2507.50
169.468,2591.50
170.503,2720.00
171.538,2740.50
172.573,2763.00
173.608,2827.00
174.643,2803.00
175.677,2826.00
176.712,2915.00
177.746,2953.00
178.781,3059.50
179.815,3094.50
180.849,3174.50
181.883,3208.00
182.917,3240.50
183.951,3270.00
184.984,3323.50
186.020,3377.00
187.053,3375.50
188.087,3341.50
189.120,3297.00
190.153,3228.00
191.186,3239.50
192.219,3199.00
193.251,3200.00
194.284,3111.00
195.317,3131.50
196.349,3220.00
197.381,3148.50
198.413,3117.50
199.445,3099.00
200.477,3150.50
201.509,3151.50
202.543,3174.00
203.575,3176.50
204.606,3175.00
205.637,3307.50
206.669,3256.00
207.700,3265.00
208.731,3292.00
209.762,3364.00
210.792,3333.50
211.823,3283.00
212.854,3336.50
213.884,3353.00
214.914,3406.00
215.947,3434.50
216.977,3363.50
218.007,3477.00
219.037,3515.50
